label,blocks,arm,macro_mae_extractant,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman
BP_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,C_DIRECT_ROW,0.5834318225287154,0.7929658957048316,0.6349154024101079,0.3276476669220093
BP_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_SELECTED,0.5850002925993143,0.7881648819937186,0.6183764071959811,0.2633537684070066
BP_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_PHYSICS_radius+radius_sq,0.5941568339408658,0.8025789011325613,0.5978379011271043,0.2215440300068625
BP_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,B1_MEAN_CURVE,0.638466968630768,0.8744674313277798,0.5530678662625489,0.2003012032406839
BR_cond_only,COND+MASSACT,C_DIRECT_ROW,0.4875773229853475,0.6327154386389356,0.7384328735946785,0.4811061907983333
BR_cond_only,COND+MASSACT,M_SELECTED,0.5174218725529548,0.6837688551241927,0.6889830037585325,0.3683909003775961
BR_cond_only,COND+MASSACT,B1_MEAN_CURVE,0.6030312971312337,0.818284314753447,0.618600870899468,0.2668226814833344
BR_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,C_DIRECT_ROW,0.5027707363633593,0.6652802031797573,0.704899823938199,0.4377597345199933
BR_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_PHYSICS_radius+radius_sq,0.5058172414326173,0.6664381937311614,0.73210660774461,0.4392000460281915
BR_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_SELECTED,0.5071177205801563,0.6696655356101018,0.7199375930535671,0.4425620479576205
BR_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,B1_MEAN_CURVE,0.6030312971312337,0.818284314753447,0.618600870899468,0.2668226814833344
BQ_cond_only,COND+MASSACT,C_DIRECT_ROW,0.4710578442376022,0.6076282967714973,0.7510066311783339,0.5032626066867497
BQ_cond_only,COND+MASSACT,M_SELECTED,0.4939784019894849,0.6402798182472068,0.7268023475642782,0.4343527644242808
BQ_cond_only,COND+MASSACT,B1_MEAN_CURVE,0.6016707654875889,0.8155104960434502,0.6176984496454391,0.268880899895714
BQ_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,C_DIRECT_ROW,0.4946528810679037,0.6533304719933171,0.7248438473846315,0.4734628108637437
BQ_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_PHYSICS_radius+radius_sq,0.5011063370727088,0.6598576257765342,0.742527010369237,0.4446945829567182
BQ_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_SELECTED,0.5039323900603924,0.6633210489152593,0.7216813866087475,0.4202579345766624
BQ_all,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,B1_MEAN_CURVE,0.6016707654875889,0.8155104960434502,0.6176984496454391,0.268880899895714
BP_v2,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,C_DIRECT_ROW,0.5834318225287154,0.7929658957048314,0.6349154024101079,0.3276476669220093
BP_v2,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,B1_MEAN_CURVE,0.638466968630768,0.8744674313277798,0.5530678662625489,0.2003012032406839
