arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,macro_curve_spearman,pooled_mae
X_ENS_DIRECT+LOWRANK_K2,0.480980836700108,0.0075393028922894,0.5265703429573805,0.1822295694064603,0.6312902309996381,0.7335615311215148,0.4748180807249937,0.4301794114436614,0.4916783620036893
X_ENS_DIRECT+PHYSICS,0.4847046673896068,0.0099011231468436,0.5281165852976802,0.1824342431838836,0.6381837047127965,0.7343804323964871,0.4832825526711009,0.4504148644547961,0.4950731070426383
C_DIRECT_ROW,0.4953208129052949,0.0185219588129476,0.5365246496736489,0.1841089568018473,0.6539652711907815,0.7218431230559683,0.4626349332498739,0.4107171569319119,0.5245128768639454
M_LOWRANK_K2,0.4954979775099122,0.0096413839763948,0.5465608371071679,0.1887402478406047,0.6523929729977835,0.7297029967386971,0.4226100671285461,0.4166873863141559,0.489728587124164
M_LOWRANK_K1,0.4966565851459539,0.0036277617960981,0.5430163491528142,0.1927205970070462,0.6514880698678847,0.7186697690578979,0.4097673315609297,0.4498186209349332,0.4895169000009699
M_PHYSICS_radius+radius_sq,0.4979299955568417,0.0073211587423466,0.5424761748830363,0.188459742233003,0.6571930224937601,0.7440131833137927,0.4513369341476455,0.4620516417798714,0.4911850928941966
X_DIRECT_PROJ_K2,0.4988513738671536,0.0183410807982767,0.5410265560208509,0.1869345785768815,0.6567334524406399,0.6994996721552378,0.3951387946933626,0.3729460110846424,0.5251534819605735
M_PHYSICS_radius+radius_sq+tetrad_e1+tetrad_e3,0.4994308962257995,0.0078730075925142,0.5365474173132759,0.1840530323557357,0.6663222356235096,0.7445634287085461,0.4960642000743962,0.4526269240230511,0.4966767897908701
X_PHYSICS+RESID_K1,0.5011120970415412,0.0072633734418814,0.5401826487264385,0.190654604784406,0.6595347201722186,0.7470169866895245,0.443154492902439,0.4551847149964445,0.4958089598859537
M_SELECTED,0.5014269541262518,0.0054907478499305,0.5454058211738086,0.1895681207852038,0.6615792958325929,0.7379417522713343,0.4584105574262261,0.4593967088778857,0.5028568024785267
M_PHYSICS_radius+radius_sq+gd_break,0.5017973322780098,0.0156563216346579,0.5495527023932375,0.1927682629420811,0.660680514679585,0.7351571202245123,0.4492765171616725,0.4568453599044234,0.4988593283037467
M_LOWRANK_K3,0.5021394531566405,0.0095247533404885,0.5467768612243047,0.1891795220421666,0.6636838137063023,0.7344723591535498,0.4242474086047169,0.4193337694678279,0.5052440034835857
X_KRR_TANIMOTO_radius+radius_sq,0.5172916552651877,0.0055868690155205,0.5691069079002773,0.1901197146290426,0.6878231328103677,0.6897380892331328,0.3525047727970692,0.3152403848895461,0.5316716236882272
B0_ZERO,0.5885062528901843,0.0,0.6092005776059211,0.2069178777963815,0.8071706996999868,0.0,,,0.6499911278057761
B1_MEAN_CURVE,0.6032535776161899,0.0146786011080584,0.6495489717885915,0.2098949212024803,0.8187500459856366,0.6197793712385706,0.2709750673120821,0.204335134885748,0.5914108306051475
B2_PAIRMEAN,0.6050030732235534,0.0190179180892538,0.6528921543544419,0.2025869508136303,0.8262181092422777,0.6234403203032599,0.289338764320772,,0.5774978748217591
B3_NN_TANIMOTO,0.6174622180044432,0.012995127871672,0.596691363526377,0.2094629441836874,0.8457362605734288,0.5742965299359803,0.1840698542468863,0.1323890788580778,0.7051796311279597
B4_HEAVIER_ALWAYS,0.6742486431120032,0.005133850776845,0.7371911163897862,0.2300065025563724,0.913323967202493,0.6297949895142496,0.2721543078310606,,0.5313560423344641
