comparison,status,value,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,mde_80,seeds_positive,n_seeds,units_improved,n_units,loco_min,loco_max,loco_sign_stable,passes_intervals,passes_P1
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_all,-0.0061061412209568,-0.0434524222945122,0.0338810000193559,-0.0458260887986511,0.0312235081030323,0.7482,0.0538351161254188,2,5,38,90,-0.0145325387998416,0.0056107814418952,False,False,False
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_all,0.1018266234899382,0.0471755320502019,0.1537372316120379,0.0356256964176601,0.1455115792850316,0.0012,0.0748290359155732,5,5,60,90,0.0928480858895904,0.1205997614434803,True,True,True
S2_M_SELECTED_vs_B3_NN_TANIMOTO,registered,mae_all,0.1160352638781914,0.0194575932837373,0.1807040761587843,0.0389132343886248,0.1990504379762643,0.0144,0.119309332559588,5,5,57,90,0.0723215401545924,0.1298161625474083,True,True,True
S3_M_SELECTED_vs_B2_PAIRMEAN,registered,mae_all,0.1035761190973017,0.0490733038090991,0.1656323464133575,0.0410866329312217,0.1587813786242172,0.001,0.0830054234058035,5,5,56,90,0.0918071672586933,0.1229004511728864,True,True,True
S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,registered,mae_all,0.1728216889857513,0.0715504188240404,0.3088130885366711,0.0465153923613806,0.284502456749116,0.0,0.1771962087445155,5,5,62,90,0.1489713957420475,0.2394251561177102,True,True,True
P1_M_SELECTED_vs_C_DIRECT_ROW,registered,mae_far,-0.0076140246418113,-0.0732558896248343,0.0621153436576042,-0.0794398013821372,0.0575062384264613,0.8182,0.0936413055010371,2,5,39,88,-0.0211879427007782,0.0137378795789778,False,False,
S1_M_SELECTED_vs_B1_MEAN_CURVE,registered,mae_far,0.1571707501530438,0.066235412406775,0.2440317185771677,0.0495821793772056,0.2335250120326707,0.0014,0.124036174329971,5,5,57,88,0.1440306446560384,0.187582377251489,True,True,
S2_M_SELECTED_vs_B3_NN_TANIMOTO,registered,mae_far,0.1841569647408359,0.0363498631570346,0.2822731037398495,0.0657668660017587,0.3058992542684612,0.011,0.179419784856181,5,5,56,88,0.1205260128475512,0.2052699511056125,True,True,
S3_M_SELECTED_vs_B2_PAIRMEAN,registered,mae_far,0.1646388134096847,0.0729397840567794,0.2720564147792639,0.061536058093017,0.2601503518252381,0.0008,0.1382252551851668,5,5,55,88,0.1482950522100625,0.196034384539807,True,True,
S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,registered,mae_far,0.2517446713699001,0.0952927752710905,0.4726304680429878,0.0579909858645007,0.4306532285383946,0.0,0.2784408078276574,5,5,58,88,0.2208874629439238,0.3557629376363292,True,True,
