band,comparison,point,ci95_low,ci95_high,p_two_sided,mde_80,n_units
far,P1_M_SELECTED_vs_C_DIRECT_ROW,0.0495136679527111,-0.0451581654245527,0.1379803794949044,0.298,0.1320162529030029,19
far,S1_M_SELECTED_vs_B1_MEAN_CURVE,0.1665716649694519,0.0846936378563933,0.2450440063348517,0.0,0.1161751328433009,19
far,S2_M_SELECTED_vs_B3_NN_TANIMOTO,-0.0258097167597662,-0.2029329110305122,0.1344461181602268,0.792,0.2456337487623809,19
far,S3_M_SELECTED_vs_B2_PAIRMEAN,0.1740701855452849,0.0864475965416262,0.2580147005810629,0.0,0.1247751344587372,19
far,S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,0.2743803748061706,0.1141900800264839,0.4390403388406853,0.0,0.2368488066288593,19
far,X_M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,0.0536420694377844,-0.0339798514275544,0.1336211377393926,0.24,0.1236377796664905,19
far,X_X_PHYSICS+RESID_K1_vs_C_DIRECT_ROW,0.0680295346485332,-0.0249891977758227,0.161019774371051,0.163,0.1339565203051515,19
far,X_X_ENS_DIRECT+PHYSICS_vs_C_DIRECT_ROW,0.0430473067602553,-0.0007236593611819,0.0838097101597022,0.06,0.061733585978227,19
far,X_X_ENS_DIRECT+LOWRANK_K2_vs_C_DIRECT_ROW,0.0595658453653797,0.0109347315965039,0.1114869570344732,0.014,0.0752092534230834,19
far,X_X_DIRECT_PROJ_K2_vs_C_DIRECT_ROW,-0.0034194211820343,-0.0077150500300517,0.0006337075843409,0.097,0.0059133635049288,19
far,X_X_KRR_TANIMOTO_radius+radius_sq_vs_C_DIRECT_ROW,-0.0105816366245729,-0.0565211252575159,0.0266925730081322,0.64,0.0603460508061313,19
far,X_X_ENS_DIRECT+PHYSICS_vs_M_SELECTED,-0.0064663611924558,-0.0586400067899037,0.0478001730360176,0.825,0.0775632341411144,19
far,X_M_PHYSICS_radius+radius_sq_vs_M_SELECTED,0.0041284014850733,-0.033828945415732,0.0396587159336615,0.823,0.0517604008921532,19
far,X_X_PHYSICS+RESID_K1_vs_M_SELECTED,0.0185158666958221,-0.0169204578567272,0.0511261780142066,0.287,0.0480153447157592,19
mid,P1_M_SELECTED_vs_C_DIRECT_ROW,-0.0210444875184018,-0.0866872303600732,0.0238182905447121,0.393,0.0791366377867742,30
mid,S1_M_SELECTED_vs_B1_MEAN_CURVE,0.103524136654065,0.0143346846640501,0.1506399346743263,0.026,0.0982041907740721,30
mid,S2_M_SELECTED_vs_B3_NN_TANIMOTO,0.1770663649800723,0.0342574314380851,0.3301260512574602,0.005,0.211116139933632,30
mid,S3_M_SELECTED_vs_B2_PAIRMEAN,0.1008317424915745,0.014660663904388,0.1542214591945029,0.032,0.1004084113675456,30
mid,S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,0.1148589525078032,-0.045166230560161,0.2834783559933248,0.162,0.2358500703344739,30
mid,X_M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,-0.0156088229222019,-0.0811521522545303,0.0298927022103794,0.517,0.0780460767149456,30
mid,X_X_PHYSICS+RESID_K1_vs_C_DIRECT_ROW,-0.0268055215754838,-0.0920990073967292,0.0157425455201297,0.233,0.0764768928876949,30
mid,X_X_ENS_DIRECT+PHYSICS_vs_C_DIRECT_ROW,0.0027437171781135,-0.0267821041718971,0.0261766107626512,0.872,0.0367352222947932,30
mid,X_X_ENS_DIRECT+LOWRANK_K2_vs_C_DIRECT_ROW,-0.0014782331343723,-0.0314514513534108,0.0194596087482735,0.862,0.0355946925707985,30
mid,X_X_DIRECT_PROJ_K2_vs_C_DIRECT_ROW,0.000837890040128,-0.0035869236016459,0.0067145950149853,0.742,0.0073843176821179,30
mid,X_X_KRR_TANIMOTO_radius+radius_sq_vs_C_DIRECT_ROW,-0.025451839568172,-0.0684346972106592,0.0133476353043309,0.169,0.0564536690471924,30
mid,X_X_ENS_DIRECT+PHYSICS_vs_M_SELECTED,0.0237882046965153,-0.0035969355602803,0.0678135435157233,0.103,0.0515691982510287,30
mid,X_M_PHYSICS_radius+radius_sq_vs_M_SELECTED,0.0054356645961998,-0.0151504906275113,0.0309947066356511,0.67,0.0327847486783236,30
mid,X_X_PHYSICS+RESID_K1_vs_M_SELECTED,-0.0057610340570819,-0.0243795282579773,0.0134742077614019,0.511,0.0266593224941168,30
near,P1_M_SELECTED_vs_C_DIRECT_ROW,-0.0159632967662395,-0.0613561653119972,0.0300208518165291,0.503,0.0640107969852904,55
near,S1_M_SELECTED_vs_B1_MEAN_CURVE,0.0947811880598078,0.0204386564281382,0.1789692802003117,0.015,0.1071449144852841,55
near,S2_M_SELECTED_vs_B3_NN_TANIMOTO,0.1156590297180633,0.0248675191208023,0.16420043635661,0.016,0.0993907436536368,55
near,S3_M_SELECTED_vs_B2_PAIRMEAN,0.0947274292049644,0.0234340639096436,0.1934184275006275,0.011,0.1154810468064457,55
near,S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,0.1786461393404107,0.0745444554905352,0.3670170707313097,0.0,0.2163215108408897,55
near,X_M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,-0.0188351299833497,-0.0666928320308358,0.0222674647377723,0.416,0.0631090059145111,55
near,X_X_PHYSICS+RESID_K1_vs_C_DIRECT_ROW,-0.0204574059036453,-0.0650284934251363,0.0263926717230507,0.395,0.0646033734813645,55
near,X_X_ENS_DIRECT+PHYSICS_vs_C_DIRECT_ROW,0.0029429306172882,-0.0130997550707277,0.0207026202770842,0.683,0.0236202824538251,55
near,X_X_ENS_DIRECT+LOWRANK_K2_vs_C_DIRECT_ROW,0.006863472147934,-0.0155139099432591,0.0233646515621695,0.491,0.0274872277963782,55
near,X_X_DIRECT_PROJ_K2_vs_C_DIRECT_ROW,-0.005021164805078,-0.0102492202847414,-0.0017697285839266,0.001,0.0060655949946234,55
near,X_X_KRR_TANIMOTO_radius+radius_sq_vs_C_DIRECT_ROW,-0.0271405277458209,-0.0697745505017201,0.006028003710877,0.102,0.0529654226599097,55
near,X_X_ENS_DIRECT+PHYSICS_vs_M_SELECTED,0.0189062273835277,-0.0102967659321445,0.0509239728264561,0.233,0.0435134405540838,55
near,X_M_PHYSICS_radius+radius_sq_vs_M_SELECTED,-0.0028718332171101,-0.0119438089613338,0.0026025417939172,0.339,0.0105168960778685,55
near,X_X_PHYSICS+RESID_K1_vs_M_SELECTED,-0.0044941091374058,-0.0109727729056486,0.0047856128775298,0.236,0.0111126945029001,55
