comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
A2_vs_A5,A2,A5,0,0.007332428481982456,0.02517405471240952,0.10497890321829018,0.0009972305685557181
A2_vs_A5,A2,A5,1,-0.016526954010034678,-0.009285429435576198,-0.022647440761835225,-0.042099182426873494
A2_vs_A5,A2,A5,2,-0.0164622511216882,-0.020559675020987656,-0.03013655109656499,-0.005498585378517884
A2_vs_A5,A2,A5,3,0.01899876045826021,0.024304301587592336,0.06577944016357828,-0.00824294207634435
A2_vs_A5,A2,A5,4,-0.00653258721979505,-0.009585994203827108,-0.014208197183052773,0.004038724789541592
A2_vs_A6,A2,A6,0,0.003880183254733771,0.02210662184907075,0.09243513232039335,-0.009887977590562924
A2_vs_A6,A2,A6,1,-0.025931657351196957,-0.026871113571715233,-0.06710038611122005,-0.028859918360055525
A2_vs_A6,A2,A6,2,-0.017361834947706878,-0.017958338930136875,-0.026269759254674563,-0.0030402407086443928
A2_vs_A6,A2,A6,3,0.002643482927899732,-0.0036522369632645546,-0.010080326055993516,-0.007218366219321926
A2_vs_A6,A2,A6,4,-0.002573958391015374,-0.001993966757641852,-0.002929859541300317,0.006376824542134285
A3_vs_A2,A3,A2,0,0.00495296304165721,-0.033264761199284676,-0.13773463815918685,0.023080153528941494
A3_vs_A2,A3,A2,1,0.023412604180116536,0.05957072611821301,0.15518973833908856,0.04102120981865032
A3_vs_A2,A3,A2,2,0.0336850708735561,0.03119288173873358,0.046104285171071346,0.015126771541901451
A3_vs_A2,A3,A2,3,0.16992005531989718,0.27852871091526865,0.9153955710422157,0.5827358893777357
A3_vs_A2,A3,A2,4,0.01853972069524895,0.03738185581369796,0.057161413542159756,0.02877625725781796
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,0,-0.000504831382002302,0.010286018419757625,0.043453578316635655,-0.009672183857804328
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,1,-0.02138103435975436,-0.013582101495244248,-0.033319922498947885,-0.051260547221498975
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,2,-0.016718607925522877,-0.0037327140602652076,-0.005399202770801859,-0.004580617419568833
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,3,0.008631619258827716,0.011618965843910867,0.03172896972387018,-0.00024363432684237907
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,4,-0.006368886395873685,-0.005307037345264443,-0.007827652246762073,0.0006386689269549661
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,0,-0.005300935874113677,0.004142769568194593,0.017594250825427205,-0.004070686384720912
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,1,-0.018647284369636696,-0.008126992384474785,-0.01979087937859536,-0.04057296679383238
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,2,-0.008864620605193774,-0.004498638062905291,-0.006511040366928289,0.0029375161529440197
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,3,0.0017417623334655685,-0.0030714321334546213,-0.008473863664906767,0.005230549818967756
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,4,-0.006155779265209993,-0.006105225317835694,-0.009013174482036423,-0.00375345267878624
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,0,0.002771828537004528,0.017089900473969855,0.07177185687231113,-0.006161786604361841
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,1,-0.018187771952614062,-0.008932935324619917,-0.021777295801113317,-0.035114854123188266
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,2,-0.01231208497807923,-0.0016950273873456156,-0.0024478081817319586,0.003552199977771897
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,3,0.004224896497737607,0.0015913084736804972,0.004376095365659083,0.019547110617745278
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,4,-0.004781995997696464,-0.002742384950952359,-0.0040330229818927865,0.00701653821033732
A2_vs_A2+D1,A2,A2+D1,0,0.0018569451265239012,0.012241840011740446,0.05162850768437721,-2.430941241154949e-05
A2_vs_A2+D1,A2,A2+D1,1,-0.0025679754638826546,0.003304451973150102,0.00792223397884484,-0.022810667470121948
A2_vs_A2+D1,A2,A2+D1,2,-0.007705181655404292,-0.0001906475439081845,-0.0002749863956355014,0.007607485639842149
A2_vs_A2+D1,A2,A2+D1,3,0.01013269470098388,0.009215759816704971,0.025208736861652592,0.027419263269997773
A2_vs_A2+D1,A2,A2+D1,4,-0.005019806350684719,-0.00684441765494298,-0.010112991522545411,0.0013565525306030723
A2_vs_A2+D2,A2,A2+D2,0,-0.0027449509211258105,0.0019895358745748437,0.00846516975651479,-0.006463495177880585
A2_vs_A2+D2,A2,A2+D2,1,-0.010541933742276632,-0.007017671423501626,-0.01706374201151306,-0.03310183847248016
A2_vs_A2+D2,A2,A2+D2,2,-0.008787155043212869,-0.004060085172670536,-0.005874259086424249,0.00028674371180892333
A2_vs_A2+D2,A2,A2+D2,3,-0.0005910044677327475,-0.006067594054306569,-0.01677488310479136,0.01499356291854037
A2_vs_A2+D2,A2,A2+D2,4,-0.0028882160181788463,-7.474970985082985e-05,-0.00010959214136596618,-0.002164213493811795
A2_vs_A2+D3,A2,A2+D3,0,0.004117598887820595,0.008047603446113438,0.03406315878255661,0.0010372802978583229
A2_vs_A2+D3,A2,A2+D3,1,-0.009918146884739298,-0.004729023116004649,-0.011463053141377189,-0.0149210406940824
A2_vs_A2+D3,A2,A2+D3,2,0.005914730132585255,-0.006340256514845599,-0.009189910565481685,-0.0043610657448337475
A2_vs_A2+D3,A2,A2+D3,3,-0.01891918410344484,-0.022759045161281577,-0.06364882789716786,-0.05784649942809328
A2_vs_A2+D3,A2,A2+D3,4,-0.0011344754413853408,-0.010718782216992795,-0.015907700665457658,0.0007235396334495103
A2_vs_A2+D4,A2,A2+D4,0,0.0008532470837124828,0.004967541136517095,0.021082065404571138,0.0032496348400358754
A2_vs_A2+D4,A2,A2+D4,1,-0.005612827162976175,-0.007658694866168714,-0.018638632457996795,-0.022625407574216938
A2_vs_A2+D4,A2,A2+D4,2,-0.00038046753665749167,0.006108216131804234,0.008766122552464228,0.0026805856667034833
A2_vs_A2+D4,A2,A2+D4,3,-0.002104450803929847,-0.008157622347789828,-0.02258577432225528,0.005515404355179387
A2_vs_A2+D4,A2,A2+D4,4,-0.005628060193023643,-0.008972950183842365,-0.013290264553630915,-0.003631394701473445
A2_vs_A2+D5,A2,A2+D5,0,-0.0008664934153638226,0.0020200884878419645,0.008594940895543912,-0.0005772429574320559
A2_vs_A2+D5,A2,A2+D5,1,-0.0097682969072595,-0.005322311155195603,-0.012911601453350241,-0.016280455658543302
A2_vs_A2+D5,A2,A2+D5,2,0.0012135577626667393,0.0102258135105604,0.014627007358843036,0.011715029817781164
A2_vs_A2+D5,A2,A2+D5,3,-0.001177063879074569,-0.005067801996585186,-0.014001085161317262,0.01571225920599939
A2_vs_A2+D5,A2,A2+D5,4,-0.004505300704078785,-0.006809982921240354,-0.01006171636946962,-0.0022741874830267683
