ablation,outer_fold,inner_fold,scope,shuffle_seed,test_rows_touched,training_rows,shuffle_unit_columns,training_complex_pair_groups,repeated_complex_pair_groups,moved_groups,fixed_groups,moved_rows,fixed_rows,donors_from_training_only,complete_block_moved_together
A5_SHUFFLED_s1009,0,0.0,inner_training_only,1009,0,2822,"geometry_key_A,geometry_key_B",1607,369,1607,0,2822,0,True,True
A5_SHUFFLED_s1009,0,1.0,inner_training_only,11018,0,4296,"geometry_key_A,geometry_key_B",1022,304,1022,0,4296,0,True,True
A5_SHUFFLED_s1009,0,2.0,inner_training_only,21027,0,4368,"geometry_key_A,geometry_key_B",949,429,949,0,4368,0,True,True
A5_SHUFFLED_s1009,0,,outer_training_only,1000992,0,5743,"geometry_key_A,geometry_key_B",1789,551,1789,0,5743,0,True,True
A5_SHUFFLED_s2017,0,0.0,inner_training_only,2017,0,2822,"geometry_key_A,geometry_key_B",1607,369,1607,0,2822,0,True,True
A5_SHUFFLED_s2017,0,1.0,inner_training_only,12026,0,4296,"geometry_key_A,geometry_key_B",1022,304,1022,0,4296,0,True,True
A5_SHUFFLED_s2017,0,2.0,inner_training_only,22035,0,4368,"geometry_key_A,geometry_key_B",949,429,949,0,4368,0,True,True
A5_SHUFFLED_s2017,0,,outer_training_only,1002000,0,5743,"geometry_key_A,geometry_key_B",1789,551,1789,0,5743,0,True,True
A5_SHUFFLED_s3019,0,0.0,inner_training_only,3019,0,2822,"geometry_key_A,geometry_key_B",1607,369,1607,0,2822,0,True,True
A5_SHUFFLED_s3019,0,1.0,inner_training_only,13028,0,4296,"geometry_key_A,geometry_key_B",1022,304,1022,0,4296,0,True,True
A5_SHUFFLED_s3019,0,2.0,inner_training_only,23037,0,4368,"geometry_key_A,geometry_key_B",949,429,949,0,4368,0,True,True
A5_SHUFFLED_s3019,0,,outer_training_only,1003002,0,5743,"geometry_key_A,geometry_key_B",1789,551,1789,0,5743,0,True,True
A5_SHUFFLED_s1009,1,0.0,inner_training_only,1001012,0,2862,"geometry_key_A,geometry_key_B",1565,384,1565,0,2862,0,True,True
A5_SHUFFLED_s1009,1,1.0,inner_training_only,1011021,0,4356,"geometry_key_A,geometry_key_B",1014,338,1014,0,4356,0,True,True
A5_SHUFFLED_s1009,1,2.0,inner_training_only,1021030,0,4348,"geometry_key_A,geometry_key_B",915,410,915,0,4348,0,True,True
A5_SHUFFLED_s1009,1,,outer_training_only,2000995,0,5783,"geometry_key_A,geometry_key_B",1747,566,1747,0,5783,0,True,True
A5_SHUFFLED_s2017,1,0.0,inner_training_only,1002020,0,2862,"geometry_key_A,geometry_key_B",1565,384,1565,0,2862,0,True,True
A5_SHUFFLED_s2017,1,1.0,inner_training_only,1012029,0,4356,"geometry_key_A,geometry_key_B",1014,338,1014,0,4356,0,True,True
A5_SHUFFLED_s2017,1,2.0,inner_training_only,1022038,0,4348,"geometry_key_A,geometry_key_B",915,410,915,0,4348,0,True,True
A5_SHUFFLED_s2017,1,,outer_training_only,2002003,0,5783,"geometry_key_A,geometry_key_B",1747,566,1747,0,5783,0,True,True
A5_SHUFFLED_s3019,1,0.0,inner_training_only,1003022,0,2862,"geometry_key_A,geometry_key_B",1565,384,1565,0,2862,0,True,True
A5_SHUFFLED_s3019,1,1.0,inner_training_only,1013031,0,4356,"geometry_key_A,geometry_key_B",1014,338,1014,0,4356,0,True,True
A5_SHUFFLED_s3019,1,2.0,inner_training_only,1023040,0,4348,"geometry_key_A,geometry_key_B",915,410,915,0,4348,0,True,True
A5_SHUFFLED_s3019,1,,outer_training_only,2003005,0,5783,"geometry_key_A,geometry_key_B",1747,566,1747,0,5783,0,True,True
A5_SHUFFLED_s1009,2,0.0,inner_training_only,2001015,0,2863,"geometry_key_A,geometry_key_B",1560,354,1560,0,2863,0,True,True
A5_SHUFFLED_s1009,2,1.0,inner_training_only,2011024,0,4384,"geometry_key_A,geometry_key_B",992,399,992,0,4384,0,True,True
A5_SHUFFLED_s1009,2,2.0,inner_training_only,2021033,0,4321,"geometry_key_A,geometry_key_B",932,319,932,0,4321,0,True,True
A5_SHUFFLED_s1009,2,,outer_training_only,3000998,0,5784,"geometry_key_A,geometry_key_B",1742,536,1742,0,5784,0,True,True
A5_SHUFFLED_s2017,2,0.0,inner_training_only,2002023,0,2863,"geometry_key_A,geometry_key_B",1560,354,1560,0,2863,0,True,True
A5_SHUFFLED_s2017,2,1.0,inner_training_only,2012032,0,4384,"geometry_key_A,geometry_key_B",992,399,992,0,4384,0,True,True
A5_SHUFFLED_s2017,2,2.0,inner_training_only,2022041,0,4321,"geometry_key_A,geometry_key_B",932,319,932,0,4321,0,True,True
A5_SHUFFLED_s2017,2,,outer_training_only,3002006,0,5784,"geometry_key_A,geometry_key_B",1742,536,1742,0,5784,0,True,True
A5_SHUFFLED_s3019,2,0.0,inner_training_only,2003025,0,2863,"geometry_key_A,geometry_key_B",1560,354,1560,0,2863,0,True,True
A5_SHUFFLED_s3019,2,1.0,inner_training_only,2013034,0,4384,"geometry_key_A,geometry_key_B",992,399,992,0,4384,0,True,True
A5_SHUFFLED_s3019,2,2.0,inner_training_only,2023043,0,4321,"geometry_key_A,geometry_key_B",932,319,932,0,4321,0,True,True
A5_SHUFFLED_s3019,2,,outer_training_only,3003008,0,5784,"geometry_key_A,geometry_key_B",1742,536,1742,0,5784,0,True,True
A5_SHUFFLED_s1009,3,0.0,inner_training_only,3001018,0,2449,"geometry_key_A,geometry_key_B",1331,332,1331,0,2449,0,True,True
A5_SHUFFLED_s1009,3,1.0,inner_training_only,3011027,0,2505,"geometry_key_A,geometry_key_B",1468,252,1468,0,2505,0,True,True
A5_SHUFFLED_s1009,3,2.0,inner_training_only,3021036,0,2602,"geometry_key_A,geometry_key_B",1377,354,1377,0,2602,0,True,True
A5_SHUFFLED_s1009,3,,outer_training_only,4001001,0,3778,"geometry_key_A,geometry_key_B",2088,469,2088,0,3778,0,True,True
A5_SHUFFLED_s2017,3,0.0,inner_training_only,3002026,0,2449,"geometry_key_A,geometry_key_B",1331,332,1331,0,2449,0,True,True
A5_SHUFFLED_s2017,3,1.0,inner_training_only,3012035,0,2505,"geometry_key_A,geometry_key_B",1468,252,1468,0,2505,0,True,True
A5_SHUFFLED_s2017,3,2.0,inner_training_only,3022044,0,2602,"geometry_key_A,geometry_key_B",1377,354,1377,0,2602,0,True,True
A5_SHUFFLED_s2017,3,,outer_training_only,4002009,0,3778,"geometry_key_A,geometry_key_B",2088,469,2088,0,3778,0,True,True
A5_SHUFFLED_s3019,3,0.0,inner_training_only,3003028,0,2449,"geometry_key_A,geometry_key_B",1331,332,1331,0,2449,0,True,True
A5_SHUFFLED_s3019,3,1.0,inner_training_only,3013037,0,2505,"geometry_key_A,geometry_key_B",1468,252,1468,0,2505,0,True,True
A5_SHUFFLED_s3019,3,2.0,inner_training_only,3023046,0,2602,"geometry_key_A,geometry_key_B",1377,354,1377,0,2602,0,True,True
