Ln,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
Ce,913,0.5780916489077295,0.5653352911250002,0.01275635778272921,0.7816764242135458,0.7613708093588286,0.020305614854717158,0.6721702415497637,0.6747775571826441,0.0026073156328804137
Dy,1123,0.3520734125048305,0.34933190962289523,0.002741502881935254,0.5380769773330901,0.5263932827413417,0.01168369459174845,0.7285589079280457,0.734333807878099,0.005774899950053314
Er,1045,0.36845761777852715,0.37095550546937,-0.0024978876908428593,0.5862131288229492,0.5783768553176505,0.007836273505298696,0.6840584654928543,0.6632505849281782,-0.020807880564676084
Eu,949,0.36512104545490026,0.36213870794454156,0.0029823375103587013,0.49996186974183443,0.4904253507570481,0.009536518984786357,0.7988653054383886,0.7829534309541654,-0.015911874484223265
Gd,1144,0.3639040881057289,0.3541051009848125,0.00979898712091637,0.49138315256755294,0.47375360054486526,0.017629552022687678,0.6919752776644171,0.6800947183958014,-0.011880559268615754
Ho,929,0.39123811927648505,0.39417650531687476,-0.0029383860403897066,0.6059819812603494,0.5991443936330951,0.006837587627254282,0.7160585246258773,0.7002125979623677,-0.01584592666350959
La,923,0.6476845580635193,0.627483774275432,0.020200783788087318,0.8812526910235835,0.8638185228806158,0.01743416814296772,0.5892231647687324,0.6008005560081418,0.011577391239409374
Lu,849,0.35544177786960157,0.35795313438172044,-0.0025113565121188675,0.556285441324764,0.5580190311766049,-0.001733589851840911,0.7272203785187624,0.6938415220587453,-0.03337885646001715
Nd,1095,0.5185661078363996,0.5052661755269441,0.013299932309455476,0.698491427688544,0.6757865539922076,0.022704873696336447,0.6028042226800139,0.6102937612254167,0.007489538545402796
Pr,704,0.4396465940320606,0.4387211629038931,0.0009254311281674532,0.6055423714745178,0.5892229121680036,0.01631945930651424,0.7681336635588081,0.7792004021193183,0.011066738560510214
Sm,1120,0.41930735923170837,0.4139893942381232,0.005317964993585167,0.5443327154253728,0.5381421099497571,0.006190605475615674,0.6759068175560939,0.6843552174074543,0.008448399851360366
Tb,897,0.3525249409557828,0.35938895196634396,-0.006864011010561166,0.5211310691082734,0.5140415929957569,0.007089476112516535,0.7919905741762712,0.7695932040333521,-0.022397370142919093
Tm,827,0.3501200331610521,0.35259657502802283,-0.002476541866970716,0.5794831486113978,0.5773910923821615,0.002092056229236361,0.7442449028637833,0.7224700212600306,-0.021774881603752738
Yb,880,0.35650642403893357,0.35792134215746463,-0.001414918118531061,0.5659538223027988,0.5662032831470388,-0.0002494608442400459,0.7532687889105188,0.7432654970909218,-0.010003291819597027
