metal_pair,n_extractants,spearman,best_true_abs_logSF,chosen_true_abs_logSF,regret,random_pick_regret,predicted_best_in_true_top3
Tm/Yb,22,-0.15645298562316837,0.1457286432160816,0.0003997188334663,0.1453289243826153,0.105985434226536,False
Er/Yb,23,0.09735606919401477,0.5062673907093485,0.0012013686275078,0.5050660220818407,0.41276501014541317,False
Ce/Pr,26,0.10121388419426199,0.5137990874284191,0.3878340855138616,0.12596500191455745,0.30179791390233823,False
Er/Tm,21,0.11042546863658168,0.1905089974101097,0.0016010874609742,0.1889079099491355,0.1350406092720623,False
Tb/Ho,22,0.23552669676845206,0.8337614672333551,0.4212222972478193,0.4125391699855358,0.5711904870848488,False
Dy/Lu,27,0.30041215431670354,1.4138210236191735,0.3078337037189258,1.1059873199002477,1.1284741469622257,False
Gd/Dy,30,0.30659695372722306,0.5178287525436961,0.5178287525436961,0.0,0.2565008365118832,True
Tb/Lu,22,0.3473595168167818,1.2625272297231631,0.5258894643181431,0.73663776540502,0.9227845830507965,False
Ho/Lu,22,0.35074839015157966,0.6350236327813485,0.5249911475877185,0.11003248519363007,0.3747383705691668,False
Dy/Ho,23,0.3509639149777558,0.9850552611293656,0.203166536648602,0.7818887244807636,0.8456453346330275,False
Tb/Yb,23,0.35532494289592187,0.6994508762654023,0.498010730179554,0.20144014608584826,0.44226218263112094,True
La/Ce,25,0.3577611145233168,0.9542425094393248,0.9420080530223132,0.012234456417011597,0.645390806103836,True
Dy/Yb,23,0.36866816050119294,0.6263690316921853,0.2799549695803367,0.34641406211184855,0.4112119813855461,False
Tm/Lu,22,0.36938719349296795,0.412060301507539,0.0274790153051227,0.3845812862024163,0.2933025309224477,False
Ho/Er,23,0.39337782273317634,0.5120292120295526,0.1314533335378951,0.3805758784916575,0.40343083842322885,False
Gd/Er,27,0.39474889789786355,0.9812954060661015,0.796582353496525,0.1847130525695766,0.5894686078349975,True
Er/Lu,26,0.3956231892323011,0.9407949745193608,0.0290801027660969,0.9117148717532639,0.7637956467424322,False
Yb/Lu,23,0.3984181908057341,0.7874519919269884,0.0278787341385891,0.7595732577883993,0.6639024698797396,False
Tb/Tm,21,0.4048083170890188,0.693374422187982,0.4984104490130203,0.19496397317496167,0.4640797681468482,False
Sm/Gd,29,0.42074147381585386,0.549161816707729,0.4119713004279689,0.1371905162797601,0.31600932901304535,False
Eu/Gd,26,0.4240041094624489,0.46633951731031337,0.130836133480927,0.3355033838293864,0.34011790275911546,False
Ho/Tm,22,0.4247387912946666,0.7142857142857142,0.2321034044857679,0.48218230979994625,0.5550087650670055,False
Gd/Ho,23,0.4259945768793945,1.4933246180956543,0.7209952891922982,0.7723293289033561,1.115610710297545,False
Sm/Dy,28,0.44669495423104355,1.0574311736740176,0.929800052971665,0.1276311207023526,0.5799618057234732,True
Tb/Er,22,0.4586275246426452,0.6858159500098672,0.4968093615520461,0.1890065884578211,0.43382134283753465,True
Tb/Dy,23,0.47788486756655973,0.2973997391728344,0.1257767563392557,0.1716229828335787,0.16011682258046955,False
Dy/Er,28,0.4800875917409622,0.473026049099813,0.2787536009528288,0.1942724481469842,0.3347227590302,False
La/Pr,24,0.48716833405828613,0.9218394230047824,0.7812784968891003,0.14056092611568205,0.43402898797425143,False
Dy/Tm,21,0.49756417044483275,0.5056138370133512,0.280354688413803,0.22525914859954815,0.3287752478252074,False
Pr/Nd,24,0.5044575026841184,0.5228787452803376,0.3256314906693164,0.19724725461102122,0.32044343880098813,False
Sm/Eu,30,0.5152964766562036,0.5723550640188764,0.2811351669470419,0.2912198970718345,0.39293990210098595,False
Sm/Er,25,0.5301019524872371,1.530457222773831,1.208553653924494,0.3219035688493368,0.895668118586457,True
Gd/Tm,20,0.5408048520847241,0.9949165106459286,0.7981834409574992,0.1967330696884294,0.5883002698599801,True
Sm/Ho,20,0.546822152247002,2.042486434803384,1.132966589620267,0.9095198451831172,1.399822193660344,False
Ce/Nd,25,0.5581842765304652,0.8879646777971718,0.8879646777971718,0.0,0.5463204076379433,True
Nd/Ho,19,0.5651602123707907,2.931009133545844,1.9590413923210932,0.9719677412247509,1.7006219323479161,False
La/Eu,29,0.5719916289229582,2.527307604395024,1.7450747915820577,0.7822328128129665,1.405512151964736,False
Eu/Dy,26,0.5735294117647058,0.6739187731247609,0.6486648860246231,0.025253887100137762,0.33222363530828875,True
La/Sm,28,0.5931298810163427,3.025503459050283,1.8332596380131436,1.1922438210371396,1.9724356275783865,False
La/Tb,20,0.6054908288292112,3.3525201714157946,2.1322596895310446,1.22026048188475,1.677507791709167,False
Ho/Yb,23,0.607363497662153,0.4256363498982076,0.2429750908890815,0.18266125900912608,0.2674481715668203,False
La/Tm,18,0.6112545987526335,3.503109436671369,2.455149521179828,1.0479599154915409,1.7078790126989571,False
Gd/Lu,26,0.6120704483369221,1.9220903805854623,0.8256624562626219,1.0964279243228403,1.4681438048892246,True
Nd/Gd,27,0.6124255910155563,1.4376845154501896,1.2380461031287957,0.1996384123213939,0.7185715750337893,False
Gd/Yb,23,0.6192241355335051,1.134638388658474,0.7977837221240328,0.3368546665344413,0.6743661716393632,False
Pr/Sm,25,0.6212733332851146,2.2442249621611827,0.6136418638777775,1.630583098283405,1.5667671414855624,False
La/Nd,27,0.6264692486360526,1.2814090891724104,1.2814090891724104,0.0,0.674009784616664,True
Sm/Tm,17,0.6278358016367921,1.4808873321636633,1.210154741385468,0.2707325907781952,0.793765006728504,True
La/Gd,24,0.6301370011976617,2.692957020553496,1.8704039052790271,0.822553115274469,1.451272185025884,False
Eu/Ho,19,0.6330114135206321,1.6589740342541266,0.8518314226732252,0.8071426115809014,1.188792417449131,False
Nd/Dy,27,0.633796374351094,1.9459538724164784,1.7558748556724917,0.19007901674398675,0.9832266430568989,True
La/Lu,25,0.6466628317351564,4.615047401138958,2.5070458724273257,2.1080015287116325,2.9318814191619635,False
Eu/Tb,21,0.6521598265360472,0.8252125670207715,0.4306091254254058,0.3946034415953657,0.5004764956965664,False
Ce/Dy,21,0.6573563191777686,2.2896760712580257,1.977723605288848,0.3119524659691777,0.8759036952633046,False
La/Yb,19,0.6616937890179754,3.8275954092119697,2.478566495593843,1.3490289136181266,1.9314570299108544,False
Ce/Eu,27,0.6640207679256406,2.059703983656168,2.059703983656168,0.0,1.10410721498652,True
La/Ho,19,0.6660816788655747,4.18628163864915,2.3951515915045425,1.7911300471446072,2.249060485752791,False
Ce/Tb,21,0.6683988660414268,2.561964506454326,2.561964506454326,0.0,1.1887388273561792,True
La/Dy,25,0.6751298451488398,3.2012263775197844,2.289142835932333,0.9120835415874513,1.6934065534190328,False
Eu/Tm,18,0.6752711276760512,1.330555555555553,0.9290195744384262,0.40153598111712685,0.8196029214710494,True
Nd/Er,24,0.6766688570486966,2.418979921516291,2.0346284566253203,0.3843514648909707,1.2658567343428533,True
Ce/Ho,19,0.6783677704388528,3.232039129209825,2.18089014193745,1.051148987272375,1.6309338489138707,False
Ce/Tm,18,0.680433750976327,2.561101383649056,2.258078293702651,0.30302308994640503,1.0502711083798322,False
Nd/Sm,31,0.6879725813771079,1.7440943698778726,0.8072313531497406,0.936863016728132,1.2677367997291236,False
La/Er,23,0.6973066681865728,3.6742524266195975,2.4791432479786133,1.1951091786409842,1.9551689373428462,False
Pr/Tm,18,0.6979866701972641,2.7434415919817385,2.559108289366632,0.1843333026151064,1.4207135933734216,True
Eu/Lu,24,0.6988475920804984,2.087739796743935,0.956498589743549,1.1312412070003859,1.5432438853967776,True
Ce/Yb,19,0.6994296417073295,2.8733528997726445,2.257678574869185,0.6156743249034595,1.2959106442072916,False
Sm/Lu,24,0.7005871007104436,2.471252197293192,1.2376337566905908,1.233618440602601,1.7779255738159345,False
