build_id,geometry_key,geometry_source,xyz_path,n_atoms,xtb_properties_available,xtb_provenance,complex_pi_eligible
264ee7c974f3,70|CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_264ee7c974f3.xyz,193,True,extxyz_xtb_properties_present,True
274a07367e74,70|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_274a07367e74.xyz,337,True,extxyz_xtb_properties_present,True
2a33354a817f,70|CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_2a33354a817f.xyz,305,True,extxyz_xtb_properties_present,True
132184907ac8,70|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_2bda29f72b55.xyz,103,True,extxyz_xtb_properties_present,True
2db135aa133a,70|CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_2db135aa133a.xyz,137,True,extxyz_xtb_properties_present,True
360ac5f4ff3e,70|CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_360ac5f4ff3e.xyz,241,True,extxyz_xtb_properties_present,True
fab4dd563558,70|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_3721b0fce820.xyz,184,True,extxyz_xtb_properties_present,True
491f48c27404,70|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_3927fc1f583b.xyz,178,False,unverified_missing_xtb_properties,False
3ef926d9b89b,70|CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_3ef926d9b89b.xyz,233,True,extxyz_xtb_properties_present,True
406ee69b3ee1,70|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_406ee69b3ee1.xyz,327,True,extxyz_xtb_properties_present,True
42c5015cc7f3,70|CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_42c5015cc7f3.xyz,149,True,extxyz_xtb_properties_present,True
57cabc7c3566,70|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_57cabc7c3566.xyz,145,True,extxyz_xtb_properties_present,True
5ab0d6f82e9f,70|CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_5ab0d6f82e9f.xyz,157,True,extxyz_xtb_properties_present,True
