arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
S_amponly_lean,0.5394165233961027,0.019568748339173297,0.5903140725160926,0.19682954541591133,0.7182348777414107,0.6969461144133293,0.38465616529363156,0.5441014758918595,0.17024651130044072,0.8286948595551126,0.7973056482511433,90,83,88,86,5
T_amponly_kappa,0.5493649259173248,0.017582204405689736,0.6005208649450509,0.20100728489994416,0.7338832667585684,0.7624606870783568,0.3985670143916744,0.5542238835551847,0.17523735982281463,0.8490527883224479,0.8743789395624768,90,83,88,86,5
L_lean,0.5522751764799076,0.023092843411450948,0.6115587044225205,0.20455847698394872,0.7321215458191033,0.6892316659389282,0.3803532115157259,0.5563044995121886,0.17401781637401886,0.8427830271000253,0.7498455073538499,90,83,88,86,5
O_geom+counts,0.5598237954565969,0.03525834824478385,0.6061929271981052,0.20553620312935633,0.751310850012747,0.7021084610706624,0.3843147693288619,0.5745274741990753,0.17895551326701675,0.87126069542478,0.7181065381287851,90,83,88,86,5
V_amponly_gc,0.5624777137487431,0.03077034184441035,0.601999274939313,0.20222590575452468,0.7556488813813572,0.619315106529022,0.17793829001951086,0.5725025991728678,0.178809543081861,0.877953374644119,0.6303547151155605,90,83,88,86,5
U_amponly_geom,0.5639138992731764,0.02357765466894487,0.6034821056181944,0.20322614805047565,0.7571568802536824,0.7134122955684495,0.3079207945823815,0.5868194517408369,0.18073396396368613,0.9041910341815237,0.8007910023482883,90,83,88,86,5
M_geom,0.57089542432544,0.02234220712365769,0.6069554783063273,0.20906749408858266,0.7694823650445886,0.6785018325222673,0.272955191262448,0.5940940973126143,0.18254308374010825,0.9106067686453189,0.703423557038685,90,83,88,86,5
Q_select24,0.5868279250524429,0.02760109932788838,0.6130786635376985,0.20819247326589796,0.7943543220094071,0.6676821156397026,0.31507975670349925,0.5816626231569297,0.17978640609140717,0.8829988452413703,0.7470275614880731,90,83,88,86,5
R_select6,0.5895574855025573,0.03968795122939545,0.5940001341776087,0.21003720535137654,0.8018243110824385,0.6025196738527043,0.1779820415430585,0.6432099687189107,0.19093324881022217,0.9906715294872314,0.5910270671116055,90,83,88,86,5
N_donorcounts,0.5968715879659735,0.03222696666581871,0.6362020364179914,0.21184506510505852,0.8084304238304256,0.6445554493038139,0.31229273823162085,0.6230321676637589,0.18696313797405256,0.9557709065340628,0.6449388209121246,90,83,88,86,5
P_select12,0.603453218867419,0.037210394725780145,0.6137587644007974,0.21347506027882615,0.8218332411700523,0.5546090081520261,0.1100970610327096,0.6414011465317363,0.1921563982793388,0.9848074615149494,0.560697070819429,90,83,88,86,5
