design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,B|AMP_ONLY_meanb_vs_BOTH,mae_all,BOTH_COEF,AMP_ONLY_meanb,-0.011662538993162023,-0.02924285078537403,0.0006765921295562807,-0.028446418195648603,0.0011347292457795132,0.0702,0.007638103883804256,0.021386690874651913,-0.013990143431154638,90,39,0,5,-0.016727014015837538,-0.0078540134359289,True,0.02,False,False
B,B|AMP_ONLY_kappab_vs_BOTH,mae_all,BOTH_COEF,AMP_ONLY_kappab,-0.017389256547380102,-0.03583924003834717,-0.0024955181612590248,-0.03583418431207921,-0.002485651212150187,0.0226,0.008406065731086352,0.023536984047041784,-0.02153742574869012,90,37,0,5,-0.020335641003108345,-0.014692437408227043,True,0.02,False,False
B,B|AMP_ONLY_zerob_vs_BOTH,mae_all,BOTH_COEF,AMP_ONLY_zerob,-0.018845275670600792,-0.03684051540521488,-0.0029030221712908347,-0.03684162669858472,-0.0029033879302229637,0.0228,0.008460626231260211,0.02368975344752859,-0.022710194841184892,90,38,0,5,-0.021992020029226948,-0.01630889694989192,True,0.02,False,False
B,B|AMP_ONLY_meanb_vs_BOTH,mae_far,BOTH_COEF,AMP_ONLY_meanb,-0.01878223506239463,-0.04299340289165036,-0.0008293573234635686,-0.04233367642153872,-0.00042641252922570485,0.0386,0.010755457064182959,0.030115279779712283,-0.020198876507154347,88,38,0,5,-0.025309424659686018,-0.01373612734898028,True,0.02,False,False
B,B|AMP_ONLY_kappab_vs_BOTH,mae_far,BOTH_COEF,AMP_ONLY_kappab,-0.02669625303414046,-0.05693321689133244,-0.0005136188450709313,-0.0552341455782668,0.0008494276066154924,0.0458,0.013939350114651954,0.03903018032102547,-0.03457663573196384,88,38,0,5,-0.03397391244793932,-0.02150371767883457,True,0.02,False,False
B,B|AMP_ONLY_zerob_vs_BOTH,mae_far,BOTH_COEF,AMP_ONLY_zerob,-0.028603619839627448,-0.05759183117418313,-0.0013168147277229747,-0.056491160115650724,-6.615076042793286e-05,0.0418,0.013973116229333083,0.03912472544213263,-0.03560929570417853,88,38,0,5,-0.035894543850348445,-0.02368752886736205,True,0.02,False,False
B,B|AMP_ONLY_meanb_vs_BOTH,sign_acc_strong,BOTH_COEF,AMP_ONLY_meanb,-0.062453872731099945,-0.1146030881895714,-0.025498140391651054,-0.11097519837783495,-0.023235393830570855,0.0006,0.022885192096443362,0.0640785378700414,-0.07016304708399414,86,18,0,5,-0.07926120697269425,-0.05423122632570272,True,0.02,False,False
B,B|AMP_ONLY_kappab_vs_BOTH,sign_acc_strong,BOTH_COEF,AMP_ONLY_kappab,-0.027102924430498682,-0.09057872993225138,0.025313178347870356,-0.10714820932546043,0.017213548241723445,0.3056,0.029066952354417884,0.08138746659237008,-0.027355207144313245,86,25,2,5,-0.03908038570895662,-0.008190409025782665,True,0.02,False,False
B,B|AMP_ONLY_zerob_vs_BOTH,sign_acc_strong,BOTH_COEF,AMP_ONLY_zerob,-0.027102924430498682,-0.09057872993225138,0.025313178347870356,-0.10714820932546043,0.017213548241723445,0.3056,0.029066952354417884,0.08138746659237008,-0.027355207144313245,86,25,2,5,-0.03908038570895662,-0.008190409025782665,True,0.02,False,False
BP,BP|AMP_ONLY_meanb_vs_BOTH,mae_all,BOTH_COEF,AMP_ONLY_meanb,0.012858653083804943,-0.002546817937880033,0.029773300529228292,-0.004578716168139601,0.028129267895625636,0.0928,0.008131707915400585,0.02276878216312164,0.021244631906427863,90,55,5,5,0.010776105929226351,0.017291011923502426,True,0.02,False,False
