comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
BP|AMP_DESHRINK_vs_BASE,mae_all,AMP_BASE,AMP_DESHRINK,-0.011424517979941479,-0.03490474050775574,0.0025589838081168967,-0.034225616848240235,0.002770117638841069,0.1196,0.009611518716621177,0.026912252406539293,-0.02584402578162831,90,47,0,5,-0.017394570398127134,-0.006572588208653867,True,0.02,False,False
BP|AMP_PRECISION_vs_BASE,mae_all,AMP_BASE,AMP_PRECISION,-0.005405596813982608,-0.008440837164755556,-0.0014224178606079732,-0.00883221575740565,-0.0018626808794406985,0.0118,0.0017757849358364154,0.004972197820341963,-0.004799432224239703,90,29,1,5,-0.005975223225895031,-0.004335835441141294,True,0.02,False,False
BP|AMP_WELLONLY80_vs_BASE,mae_all,AMP_BASE,AMP_WELLONLY80,-0.012882661647675592,-0.0318783009504241,0.0016115025191835177,-0.03290709432435859,0.000908428959422682,0.0816,0.008540272045927591,0.023912761728597253,-0.013944944880017943,90,42,1,5,-0.016494076603313666,-0.009081317604652424,True,0.02,False,False
BP|AMP_WELLONLY95_vs_BASE,mae_all,AMP_BASE,AMP_WELLONLY95,-0.09811578296125932,-0.15622638556648316,-0.05156812130728108,-0.15302031722993714,-0.04873496587673038,0.0002,0.02639561642568556,0.07390772599191957,-0.0929937479331214,90,22,0,5,-0.11196411478888439,-0.09037985324975135,True,0.02,False,False
