arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
SMOOTH100,0.4364240533228262,0.012306152937886247,0.5169917877475994,0.1769769733298993,0.5563358576718574,0.8210296752691215,0.5349966591507184,0.4769035694951643,0.16178509254626114,0.7118558602719317,0.8828574959831912,90,83,88,86,5
SMOOTH50,0.43650097739611393,0.012176431533744252,0.5167755266524008,0.1769470838596544,0.5560606439541735,0.8237173626247193,0.5363465778445857,0.4741443282228818,0.16140468139985795,0.7073108709916228,0.8835743418613274,90,83,88,86,5
SMOOTH0,0.437349005100162,0.012135497738445605,0.5168839569519228,0.17715089061977393,0.5569581095728207,0.8262294758258903,0.5384798984237295,0.4732582358857778,0.1615889667356403,0.705132607463683,0.8831788406871833,90,83,88,86,5
CHEM_ONLY,0.4693748087055745,0.008725628159588921,0.5146301217445088,0.18087289522561084,0.6069574985426778,0.81731406528525,0.5419402561942236,0.46670127199556627,0.16010270083176062,0.6940891600027593,0.8881967618341366,90,83,88,86,5
