arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
B_trees@lean,0.5522751764799076,0.023092843411450948,0.6115587044225205,0.20455847698394872,0.7321215458191033,0.6892316659389282,0.3803532115157259,0.5563044995121886,0.17401781637401886,0.8427830271000253,0.7498455073538499,90,83,88,86,5
C_trees@chem,0.561462977507791,0.033563708914474494,0.5964499358230835,0.20396142373800358,0.7446651209263176,0.6818307557243062,0.3548105451848067,0.5378646366579558,0.17241812956163272,0.8086036033143167,0.7778024966011617,90,83,88,86,5
I_knn3@chem,0.5809318864186299,0.03883680918109919,0.6050292478356514,0.2071881414994447,0.7829413323693519,0.6779819136371401,0.32087983595374575,0.5153397204052352,0.1764104636647918,0.7585440483728708,0.8225930045729823,90,83,88,86,5
E_krr_rbf@lean,0.5833314185302145,0.056274756459592165,0.6431242915557295,0.2070255179312835,0.7905499777466563,0.6450446314780045,0.33952899330504127,0.6001289885007282,0.18194582248499877,0.9229779055441395,0.7926337906315659,90,83,88,86,5
H_knn5@chem,0.5837415343664973,0.03224087417836665,0.6093029425054214,0.21105856899666592,0.7875891074410781,0.6733611825060073,0.3108563126048005,0.5236903441094404,0.1768629143976003,0.7746460197104522,0.8168335187245087,90,83,88,86,5
A_trees@all,0.5941568339408658,0.04227393375271729,0.6415790993306215,0.21062783393438736,0.8025789011325613,0.5978379011271043,0.22154403000686257,0.5904442308812379,0.17928064014328957,0.9065458619335073,0.6932146829810901,90,83,88,86,5
K_meancurve,0.6217330292820759,0.011436410641341651,0.6416951823369196,0.20771349630614133,0.8557640370261748,0.5117685801091951,0.17095014672657893,0.6657650872886433,0.18796843242466912,1.0347955766847072,0.5011247064639723,90,83,88,86,5
J_gbm_l1@lean,0.6279277439255024,0.03998547335776866,0.6248191269132988,0.21616093444577192,0.8617474260015989,0.5232120818824483,0.10875330255239861,0.6786212973359782,0.193616293053408,1.048108405377855,0.49365962180200224,90,83,88,86,5
G_pls4@lean,0.650740349709428,0.06982225321884145,0.7946805638984318,0.2251500223889901,0.8878002065220677,0.6323140102621879,0.31284777843126693,0.5792924415269927,0.1861549639777479,0.8671934426505341,0.7151649981460882,90,83,88,86,5
D_ridge@lean,0.6639787996772137,0.0437824429910232,0.778525523850052,0.22829643287520995,0.9011438673599891,0.5631729217139791,0.19088302244448388,0.6164155553817552,0.18750729216967518,0.9406783626500174,0.5880855271289087,90,83,88,86,5
F_krr_lin@lean,0.6769127576898211,0.04328776153066554,0.8039010048848949,0.23284060355596461,0.930877037876015,0.5735512006293207,0.17389043936066206,0.6577598855032075,0.19723770721117959,1.0046992550401788,0.5931776047460141,90,83,88,86,5
