feature,n_extractants,n_chemotypes,spearman,ci_low,ci_high,p_blocked,loco_min,loco_max,spearman_chemotype_means,n_chemotype_means,spearman_excl_sc009,n_excl_sc009,partial_spearman_given_acid
coord__dist__frac_donor_pairs_within_3,80,39,-0.5299729567002173,-0.7231841593215546,-0.15474969731189903,0.0072,-0.5928930198289881,-0.40145597359119123,-0.403098695719838,39,-0.40145597359119123,57,-0.4891687715859022
coord__dist__donor_eccentricity_min,80,39,0.5090319605516048,0.0809398799305294,0.6865726999895431,0.0164,0.3294820879866069,0.5699095011646763,0.33559741115211905,39,0.3294820879866069,57,0.4837326810684722
coord__dist__donor_pair_median,80,39,0.5004238405179343,0.05207219520378947,0.6793360115303925,0.0256,0.3051740266683889,0.5608182455854926,0.28167107154876453,39,0.3051740266683889,57,0.48002619482515035
coord__dist__donor_pair_min,80,39,0.47975283406510516,0.23593726434753295,0.664135435386766,0.00040008001600320064,0.4338742385375896,0.5207974572371084,0.5277553751512735,39,0.5207974572371084,57,0.37739341927507125
coord__arm__core_branch_degree,80,39,0.422762634185046,0.06607655558026168,0.5725540042681744,0.021162349968414405,0.33663304409977735,0.46129909911320094,0.36978734744892255,39,0.33663304409977735,57,0.29060848485586127
coord__arm__mean_donor_distance_to_core,80,39,0.28169281715870237,-0.1504804873713579,0.5227697123982789,0.2036,0.10819083835103707,0.34173361602750546,0.14932187656378082,39,0.10819083835103707,57,0.2086541393892599
coord__dist__donor_pair_mean,80,39,0.28097639301362526,-0.15041990950899933,0.5197424014241729,0.2134,0.10477198633463633,0.33866863320799023,0.14685869404276852,39,0.10477198633463633,57,0.21305810637535924
coord__dist__donor_network_diameter,80,39,-0.0335701518166718,-0.40647017378615274,0.3280773968850583,0.8078,-0.14030869627438727,0.0667552948846002,-0.12349678963325873,39,-0.14030869627438727,57,0.02376074411000544
