comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
A|SMOOTH50_vs_SMOOTH0,mae_all,SMOOTH0,SMOOTH50,0.0008480277040480013,-0.00022677026257829973,0.00173057176996776,-1.11265535922128e-05,0.002127392954023306,0.215,0.0005492637539700598,0.0015379385111161674,0.00010843029952218379,90,10,5,5,0.0001354169082384622,0.0009455995117112244,True,0.02,False,False
A|SMOOTH100_vs_SMOOTH0,mae_all,SMOOTH0,SMOOTH100,0.000924951777335798,-0.000671095011318876,0.002086958557836187,-0.000267610587479567,0.002563829539456138,0.343,0.000743911293483527,0.0020829516217538754,-0.00010783079567629769,90,10,5,5,1.736428006578609e-05,0.001127170092569638,True,0.02,False,False
A|CHEM_ONLY_vs_SMOOTH0,mae_all,SMOOTH0,CHEM_ONLY,-0.03202580360541248,-0.07193347297689622,0.01535788434198544,-0.09263874699620425,0.0070589060201997995,0.4018,0.025012609597980708,0.07003530687434598,0.0022538352074140244,90,44,0,5,-0.03579775705609718,0.0002744949371547169,False,0.02,False,False
