design,model,gain,ci_low,ci_high,p_two_sided,units_better,units_worse,n_units
A,lean_all,0.2455157263693848,0.1013260521625669,0.480443948412698,0.0002,31,12,82.0
A,donor_geometry,0.2395121951219512,0.087920792079208,0.4769354838709675,0.002,28,8,82.0
A,donor_pair_min,0.047245275050153,-0.1208408431793771,0.3219309826203207,0.6156,31,38,82.0
B,donor_geometry,0.2634146341463416,0.1050826271186439,0.503448275862069,0.0004,28,6,82.0
B,lean_all,0.2085568225812126,0.0524465096095529,0.4535105654761903,0.0076,30,14,82.0
B,donor_pair_min,-0.0778080456129236,-0.319829602403556,0.2952243778306951,0.7348,34,41,82.0
BP,donor_geometry,0.2097560975609755,0.0666560509554139,0.4254100529100527,0.0022,26,7,82.0
BP,lean_all,0.1623585447975691,0.0244115924357957,0.3775950811359025,0.0186,28,20,82.0
BP,donor_pair_min,-0.1080582831802344,-0.3867901711738921,0.3060197901925108,0.7106,32,40,82.0
BQ,donor_geometry,0.2556097560975608,0.0999960629921258,0.4984139194139195,0.0008,27,8,
BQ,lean_all,0.2028121810438883,0.0536131529190471,0.4402183451295293,0.0058,30,15,
BQ,donor_pair_min,-0.120903811635519,-0.4019724865415393,0.2974091153076661,0.653,34,41,
BR,donor_geometry,0.2570731707317072,0.0985263157894738,0.4970868983957215,0.0006,28,7,
BR,lean_all,0.207080561714708,0.0540805055384764,0.444419501155624,0.0064,30,13,
BR,donor_pair_min,-0.0137071059022279,-0.2188434300823326,0.3047591902632883,0.9872,28,39,
