comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B|SMOOTH50_vs_SMOOTH0,mae_all,SMOOTH0,SMOOTH50,0.00021266174780177924,-0.00016876948101640695,0.0007795823112384876,-0.0001165250704217532,0.0008980899099890667,0.3158,0.00024139337944939133,0.0006759014624582956,0.00016732354412448352,90,12,2,5,5.931231549450542e-05,0.00030137411975821764,True,0.02,False,False
B|SMOOTH100_vs_SMOOTH0,mae_all,SMOOTH0,SMOOTH100,0.00010528177185495801,-0.0005464005457265098,0.001034473981109145,-0.0005531207861158418,0.0010259767854569678,0.7804,0.00040030474810888434,0.0011208532947048762,7.257221367420621e-05,90,11,2,5,-9.841366243952176e-05,0.000331114467369837,False,0.02,False,False
B|CHEM_ONLY_vs_SMOOTH0,mae_all,SMOOTH0,CHEM_ONLY,-0.014836049243720038,-0.03526234186901309,0.013754023812679214,-0.04195410145317197,0.007108316243777475,0.3714,0.0129799790789758,0.03634394142113224,0.0023304511096258534,90,42,1,5,-0.01817293647477372,-0.0005873855530176544,True,0.02,False,False
