arm,half,seed,g19_metal_state,n_rows,mae,mse,rmse,mean_error,unit_reading
B0,selection,,Ce(III),293,1.07285,2.08544,1.44411,0.354686,registered: metal state
B0,selection,,Cm(III),135,1.30683,2.58039,1.60636,-0.175348,registered: metal state
B0,selection,,Gd(III),375,1.28368,2.47979,1.57473,-0.451999,registered: metal state
B0,selection,,Ho(III),264,1.52007,3.1744,1.78169,-0.68111,registered: metal state
B0,selection,,Lu(III),247,1.48922,3.13349,1.77017,-0.567954,registered: metal state
B0,selection,,Nd(III),189,0.881156,1.31629,1.1473,-0.345657,registered: metal state
B0,selection,,Np(IV),216,0.820061,1.28857,1.13515,0.353393,registered: metal state
B0,selection,,Pr(III),166,1.16728,4.18452,2.04561,0.729083,registered: metal state
B0,selection,,Pu(IV),580,1.06449,1.7247,1.31328,-0.0318526,registered: metal state
B0,selection,,Tb(III),269,1.35267,2.69513,1.64168,-0.397285,registered: metal state
B0,selection,,Th(IV),773,0.946645,1.49417,1.22236,0.245203,registered: metal state
B0,selection,,U(VI),1036,0.681861,0.815341,0.902963,0.113302,registered: metal state
B0,confirmation,,Am(III),1728,1.50507,3.27742,1.81036,0.19443,registered: metal state
B0,confirmation,,Dy(III),377,1.35546,2.6195,1.61849,-0.722201,registered: metal state
B0,confirmation,,Er(III),300,1.44132,2.92628,1.71064,-0.675687,registered: metal state
B0,confirmation,,Eu(III),1687,1.66611,3.86835,1.96681,0.160344,registered: metal state
B0,confirmation,,La(III),344,1.08487,2.20628,1.48535,0.546976,registered: metal state
B0,confirmation,,Np(V),187,1.63757,3.3444,1.82877,1.63757,registered: metal state
B0,confirmation,,Pu(III),118,1.76513,3.80583,1.95085,1.48978,registered: metal state
B0,confirmation,,Pu(VI),107,0.814246,0.93205,0.965428,0.338111,registered: metal state
B0,confirmation,,Sm(III),323,1.21114,2.35523,1.53467,-0.338416,registered: metal state
B0,confirmation,,Tm(III),201,1.42423,2.90101,1.70324,-0.715895,registered: metal state
B0,confirmation,,Yb(III),231,1.52885,3.24927,1.80257,-0.561411,registered: metal state
B1,selection,,Ce(III),293,1.07285,2.08544,1.44411,0.354686,registered: metal state
B1,selection,,Cm(III),135,1.30683,2.58039,1.60636,-0.175348,registered: metal state
B1,selection,,Gd(III),375,1.28368,2.47979,1.57473,-0.451999,registered: metal state
B1,selection,,Ho(III),264,1.52007,3.1744,1.78169,-0.68111,registered: metal state
B1,selection,,Lu(III),247,1.48922,3.13349,1.77017,-0.567954,registered: metal state
B1,selection,,Nd(III),189,0.881156,1.31629,1.1473,-0.345657,registered: metal state
B1,selection,,Np(IV),216,0.820061,1.28857,1.13515,0.353393,registered: metal state
B1,selection,,Pr(III),166,1.16728,4.18452,2.04561,0.729083,registered: metal state
B1,selection,,Pu(IV),580,1.06449,1.7247,1.31328,-0.0318526,registered: metal state
B1,selection,,Tb(III),269,1.35267,2.69513,1.64168,-0.397285,registered: metal state
B1,selection,,Th(IV),773,0.946645,1.49417,1.22236,0.245203,registered: metal state
B1,selection,,U(VI),1036,0.681861,0.815341,0.902963,0.113302,registered: metal state
B1,confirmation,,Am(III),1728,1.50507,3.27742,1.81036,0.19443,registered: metal state
B1,confirmation,,Dy(III),377,1.35546,2.6195,1.61849,-0.722201,registered: metal state
B1,confirmation,,Er(III),300,1.44132,2.92628,1.71064,-0.675687,registered: metal state
B1,confirmation,,Eu(III),1687,1.66611,3.86835,1.96681,0.160344,registered: metal state
B1,confirmation,,La(III),344,1.08487,2.20628,1.48535,0.546976,registered: metal state
B1,confirmation,,Np(V),187,1.63757,3.3444,1.82877,1.63757,registered: metal state
B1,confirmation,,Pu(III),118,1.76513,3.80583,1.95085,1.48978,registered: metal state
B1,confirmation,,Pu(VI),107,0.814246,0.93205,0.965428,0.338111,registered: metal state
B1,confirmation,,Sm(III),323,1.21114,2.35523,1.53467,-0.338416,registered: metal state
B1,confirmation,,Tm(III),201,1.42423,2.90101,1.70324,-0.715895,registered: metal state
B1,confirmation,,Yb(III),231,1.52885,3.24927,1.80257,-0.561411,registered: metal state
B2,selection,,Ce(III),293,1.01522,1.51755,1.23189,0.515008,registered: metal state
B2,selection,,Cm(III),135,1.10502,1.85478,1.3619,0.131408,registered: metal state
B2,selection,,Gd(III),375,0.821647,1.11165,1.05435,-0.0852514,registered: metal state
B2,selection,,Ho(III),264,0.98167,1.41875,1.19111,-0.41303,registered: metal state
B2,selection,,Lu(III),247,1.10911,1.71625,1.31006,-0.515994,registered: metal state
B2,selection,,Nd(III),189,0.781003,0.950642,0.975009,-0.107401,registered: metal state
B2,selection,,Np(IV),216,0.724584,0.94996,0.974659,0.123529,registered: metal state
B2,selection,,Pr(III),166,1.18349,4.58234,2.14064,0.946785,registered: metal state
B2,selection,,Pu(IV),580,1.00116,1.48499,1.2186,-0.294615,registered: metal state
B2,selection,,Tb(III),269,0.893153,1.28742,1.13465,-0.279299,registered: metal state
B2,selection,,Th(IV),773,1.05221,1.63101,1.27711,-0.00450774,registered: metal state
B2,selection,,U(VI),1036,1.04331,1.52345,1.23428,-0.445362,registered: metal state
B2,confirmation,,Am(III),1728,1.1309,2.06087,1.43557,0.0395084,registered: metal state
B2,confirmation,,Dy(III),377,0.838906,1.09368,1.04579,-0.283015,registered: metal state
B2,confirmation,,Er(III),300,0.958783,1.35301,1.16319,-0.415392,registered: metal state
B2,confirmation,,Eu(III),1687,1.0857,1.79913,1.34132,-0.284267,registered: metal state
B2,confirmation,,La(III),344,1.12199,1.90516,1.38028,0.721158,registered: metal state
B2,confirmation,,Np(V),187,1.59622,3.23155,1.79765,1.58648,registered: metal state
B2,confirmation,,Pu(III),118,1.64081,3.42875,1.85169,1.07002,registered: metal state
B2,confirmation,,Pu(VI),107,0.768424,0.787099,0.887186,-0.101211,registered: metal state
B2,confirmation,,Sm(III),323,0.741638,0.946073,0.972663,0.0259253,registered: metal state
B2,confirmation,,Tm(III),201,1.10281,1.71584,1.3099,-0.490154,registered: metal state
B2,confirmation,,Yb(III),231,1.06986,1.62182,1.27351,-0.492153,registered: metal state
B3,selection,,Ce(III),293,0.570986,0.794779,0.891504,-0.135081,registered: metal state
B3,selection,,Cm(III),135,0.503415,0.669782,0.818402,0.0788902,registered: metal state
B3,selection,,Gd(III),375,0.517084,0.735991,0.857899,0.332337,registered: metal state
B3,selection,,Ho(III),264,0.499647,0.923314,0.960892,0.0130748,registered: metal state
B3,selection,,Lu(III),247,0.477953,0.928808,0.963747,0.143129,registered: metal state
B3,selection,,Nd(III),189,0.629114,0.862603,0.928764,-0.275104,registered: metal state
B3,selection,,Np(IV),216,0.704733,0.820312,0.905711,0.51737,registered: metal state
B3,selection,,Pr(III),166,0.99908,4.27083,2.0666,0.862544,registered: metal state
B3,selection,,Pu(IV),580,1.00992,1.69211,1.30081,-0.599688,registered: metal state
B3,selection,,Tb(III),269,0.525534,0.751375,0.866819,-0.0582919,registered: metal state
B3,selection,,Th(IV),773,1.10134,2.029,1.42443,-0.0452813,registered: metal state
B3,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,registered: metal state
B3,confirmation,,Am(III),1728,1.09452,2.12079,1.45629,0.144748,registered: metal state
B3,confirmation,,Dy(III),377,0.493657,0.807352,0.898528,0.118606,registered: metal state
B3,confirmation,,Er(III),300,0.435913,0.740365,0.860445,0.103964,registered: metal state
B3,confirmation,,Eu(III),1687,1.08756,2.34774,1.53223,-0.319711,registered: metal state
B3,confirmation,,La(III),344,0.793435,1.56603,1.25141,0.620938,registered: metal state
B3,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,registered: metal state
B3,confirmation,,Pu(III),118,1.45227,3.17579,1.78208,0.0468341,registered: metal state
B3,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,registered: metal state
B3,confirmation,,Sm(III),323,0.775357,1.37573,1.17292,-0.0794145,registered: metal state
B3,confirmation,,Tm(III),201,0.437012,0.846857,0.920248,0.0939045,registered: metal state
