arm,half,seed,g19_metal_state,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B0,selection,,Ce(III),293,1.07285,2.08544,1.44411,0.354686,0.761092,2.91366,0.914676,4.80717,0.938567,6.19282,registered: metal state
B0,selection,,Cm(III),135,1.30683,2.58039,1.60636,-0.175348,0.614815,2.91488,0.874074,4.80722,0.933333,6.17537,registered: metal state
B0,selection,,Gd(III),375,1.28368,2.47979,1.57473,-0.451999,0.584,2.92624,0.882667,4.7833,0.96,6.17203,registered: metal state
B0,selection,,Ho(III),264,1.52007,3.1744,1.78169,-0.68111,0.458333,2.70037,0.768939,4.42132,0.973485,6.19791,registered: metal state
B0,selection,,Lu(III),247,1.48922,3.13349,1.77017,-0.567954,0.417004,2.19541,0.663968,3.90024,0.967611,6.25036,registered: metal state
B0,selection,,Nd(III),189,0.881156,1.31629,1.1473,-0.345657,0.703704,2.20153,0.883598,3.9045,1,6.23601,registered: metal state
B0,selection,,Np(IV),216,0.821902,1.30716,1.14331,0.37878,0.708333,2.23747,0.902778,4.13646,0.953704,5.65802,registered: metal state
B0,selection,,Pr(III),166,1.16728,4.18452,2.04561,0.729083,0.518072,1.75803,0.855422,3.57157,0.96988,5.91395,registered: metal state
B0,selection,,Pu(IV),580,1.06272,1.72387,1.31296,-0.0137636,0.581034,2.20136,0.896552,4.16852,0.965517,5.69214,registered: metal state
B0,selection,,Tb(III),269,1.35267,2.69513,1.64168,-0.397285,0.386617,1.7757,0.680297,3.58567,0.947955,5.87224,registered: metal state
B0,selection,,Th(IV),773,0.946645,1.49417,1.22236,0.245203,0.556274,1.7622,0.861578,3.56974,0.978008,5.91578,registered: metal state
B0,selection,,U(VI),1036,0.681913,0.815183,0.902875,0.112602,0.724903,1.75731,0.939189,3.57632,0.997104,5.9092,registered: metal state
B0,confirmation,,Am(III),1728,1.50511,3.27779,1.81047,0.195376,0.539352,2.9394,0.782986,4.8116,0.917245,6.19494,registered: metal state
B0,confirmation,,Dy(III),377,1.35546,2.6195,1.61849,-0.722201,0.554377,2.92188,0.856764,4.77008,0.97878,6.1862,registered: metal state
B0,confirmation,,Er(III),300,1.44132,2.92628,1.71064,-0.675687,0.526667,2.93101,0.82,4.77777,0.97,6.17152,registered: metal state
B0,confirmation,,Eu(III),1687,1.66611,3.86835,1.96681,0.160344,0.433314,2.92989,0.749259,4.8217,0.90575,6.20505,registered: metal state
B0,confirmation,,La(III),344,1.08487,2.20628,1.48535,0.546976,0.738372,2.69973,0.889535,4.39509,0.94186,6.20508,registered: metal state
B0,confirmation,,Np(V),187,1.64443,3.36693,1.83492,1.64443,0.320856,2.23747,0.737968,4.13646,0.909091,5.65802,registered: metal state
B0,confirmation,,Pu(III),118,1.76697,3.81304,1.9527,1.4922,0.186441,2.20136,0.576271,4.16852,0.932203,5.69214,registered: metal state
B0,confirmation,,Pu(VI),107,0.819457,0.941488,0.970303,0.351791,0.719626,2.20136,0.990654,4.16852,1,5.69214,registered: metal state
B0,confirmation,,Sm(III),323,1.21114,2.35523,1.53467,-0.338416,0.439628,1.7784,0.755418,3.59272,0.947368,5.86519,registered: metal state
B0,confirmation,,Tm(III),201,1.42423,2.90101,1.70324,-0.715895,0.333333,1.77895,0.631841,3.59217,0.920398,5.86574,registered: metal state
B0,confirmation,,Yb(III),231,1.52885,3.24927,1.80257,-0.561411,0.307359,1.78049,0.597403,3.59063,0.904762,5.86728,registered: metal state
B1,selection,,Ce(III),293,1.07285,2.08544,1.44411,0.354686,0.761092,2.91366,0.914676,4.80717,0.938567,6.19282,registered: metal state
B1,selection,,Cm(III),135,1.30683,2.58039,1.60636,-0.175348,0.614815,2.91488,0.874074,4.80722,0.933333,6.17537,registered: metal state
B1,selection,,Gd(III),375,1.28368,2.47979,1.57473,-0.451999,0.584,2.92624,0.882667,4.7833,0.96,6.17203,registered: metal state
B1,selection,,Ho(III),264,1.52007,3.1744,1.78169,-0.68111,0.458333,2.70037,0.768939,4.42132,0.973485,6.19791,registered: metal state
B1,selection,,Lu(III),247,1.48922,3.13349,1.77017,-0.567954,0.417004,2.19541,0.663968,3.90024,0.967611,6.25036,registered: metal state
B1,selection,,Nd(III),189,0.881156,1.31629,1.1473,-0.345657,0.703704,2.20153,0.883598,3.9045,1,6.23601,registered: metal state
B1,selection,,Np(IV),216,0.821902,1.30716,1.14331,0.37878,0.708333,2.23747,0.902778,4.13646,0.953704,5.65802,registered: metal state
B1,selection,,Pr(III),166,1.16728,4.18452,2.04561,0.729083,0.518072,1.75803,0.855422,3.57157,0.96988,5.91395,registered: metal state
B1,selection,,Pu(IV),580,1.06272,1.72387,1.31296,-0.0137636,0.581034,2.20136,0.896552,4.16852,0.965517,5.69214,registered: metal state
B1,selection,,Tb(III),269,1.35267,2.69513,1.64168,-0.397285,0.386617,1.7757,0.680297,3.58567,0.947955,5.87224,registered: metal state
B1,selection,,Th(IV),773,0.946645,1.49417,1.22236,0.245203,0.556274,1.7622,0.861578,3.56974,0.978008,5.91578,registered: metal state
B1,selection,,U(VI),1036,0.681913,0.815183,0.902875,0.112602,0.724903,1.75731,0.939189,3.57632,0.997104,5.9092,registered: metal state
B1,confirmation,,Am(III),1728,1.50511,3.27779,1.81047,0.195376,0.539352,2.9394,0.782986,4.8116,0.917245,6.19494,registered: metal state
B1,confirmation,,Dy(III),377,1.35546,2.6195,1.61849,-0.722201,0.554377,2.92188,0.856764,4.77008,0.97878,6.1862,registered: metal state
B1,confirmation,,Er(III),300,1.44132,2.92628,1.71064,-0.675687,0.526667,2.93101,0.82,4.77777,0.97,6.17152,registered: metal state
