arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading,unit
B0,selection,,,55,0.747022,0.933163,0.966003,0.105175,0.745455,2.17101,0.963636,4.23043,0.981818,6.12427,exploratory: publication group (the as-run pre-seal V1 reading),pub_44555064e1
B0,selection,,,152,0.859673,1.14966,1.07222,0.0539491,0.75,2.19178,0.914474,4.24535,0.986842,6.14082,exploratory: publication group (the as-run pre-seal V1 reading),pub_45b8fb22e7
B0,selection,,,114,0.469806,0.373994,0.61155,-0.39836,0.929825,2.19554,1,4.25092,1,6.1118,exploratory: publication group (the as-run pre-seal V1 reading),pub_4a1871d85d
B0,selection,,,206,1.40948,2.55974,1.59992,-0.810449,0.466019,2.16311,0.781553,4.24996,0.985437,6.15822,exploratory: publication group (the as-run pre-seal V1 reading),pub_4cba27f5f3
B0,selection,,,13,0.407947,0.189323,0.435112,-0.407947,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_4fb6e0c041
B0,selection,,,192,1.98736,4.73322,2.1756,-1.75184,0.208333,2.1319,0.442708,4.20273,0.994792,6.16557,exploratory: publication group (the as-run pre-seal V1 reading),pub_5472c4b438
B0,selection,,,3,1.46408,3.24255,1.80071,-0.722128,0.666667,2.22808,0.666667,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_57ce0f7961
B0,selection,,,11,0.775776,0.660322,0.812602,0.0596324,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_5df1eef2f5
B0,selection,,,16,0.326844,0.155721,0.394615,0.288659,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_650a2d0d03
B0,selection,,,1,2.81189,7.90674,2.81189,2.81189,0,2.22808,0,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_65c4c3411e
B0,selection,,,87,1.15097,1.92298,1.38672,-0.515739,0.563218,2.17138,0.804598,4.25912,1,6.07986,exploratory: publication group (the as-run pre-seal V1 reading),pub_6b0ea2ccc9
B0,selection,,,2,1.89724,3.66787,1.91517,1.89724,0,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_6f71d61137
