arm,half,seed,publication_group,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B0,none,104729,pub_007f4c9de0,35,1.22753,2.36197,1.53687,0.918277,0.6,2.16605,0.8,4.26609,0.914286,6.15718,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_04794d6d09,642,1.22043,2.11673,1.4549,-0.443907,0.496885,2.16713,0.817757,4.26846,0.992212,6.15982,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_07cea54708,12,1.66306,3.7744,1.94278,-1.3875,0.416667,2.16963,0.583333,4.27701,1,6.18285,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0884e38fbe,155,0.984004,1.18571,1.0889,-0.538511,0.529032,2.16776,1,4.26617,1,6.15297,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0a8da089ad,132,0.873638,1.02028,1.01009,-0.272398,0.575758,2.16647,0.992424,4.26094,1,6.14902,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0af6736cb1,258,1.21293,2.1152,1.45437,-0.878407,0.476744,2.16677,0.868217,4.26767,0.988372,6.1607,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0c3788daa5,33,1.53671,2.96653,1.72236,-0.619982,0.30303,2.16589,0.757576,4.26551,0.969697,6.15338,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0d412f4721,20,1.75184,3.56652,1.88852,-1.69952,0.2,2.16731,0.6,4.26778,1,6.15368,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0ddbd861aa,91,0.642027,0.555099,0.74505,-0.555818,0.802198,2.16624,1,4.26639,1,6.15624,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0e366d9257,3,0.854432,0.949876,0.974616,0.854432,0.333333,2.15323,1,4.24599,1,6.15541,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0f30549d71,7,1.43419,2.71448,1.64757,1.30065,0.428571,2.15853,0.714286,4.25871,1,6.15536,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_0fd6ab4e40,29,1.48237,2.30434,1.51801,1.48237,0.137931,2.16477,0.965517,4.26939,1,6.15611,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_10aec04d23,67,0.933934,1.54236,1.24192,0.639175,0.61194,2.16763,0.910448,4.26921,0.940299,6.15887,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_13adc25944,4,0.63616,0.424697,0.651688,-0.63616,1,2.16352,1,4.26072,1,6.11061,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1605e436d7,154,0.975576,1.30071,1.14049,-0.0309009,0.577922,2.16836,1,4.26969,1,6.16139,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1739bfaf95,16,0.409349,0.23143,0.481071,-0.272589,1,2.16782,1,4.26825,1,6.16636,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1845fd6492,14,1.32601,3.67376,1.91671,1.32601,0.571429,2.17227,0.714286,4.27618,0.785714,6.17592,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1927dff570,20,1.09712,1.35598,1.16446,1.09712,0.4,2.16719,1,4.26785,1,6.15062,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_19783c039b,204,1.91956,4.87776,2.20857,-1.83038,0.245098,2.1675,0.578431,4.26633,0.867647,6.15394,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1b7737c507,261,1.0296,1.75787,1.32585,0.68233,0.62069,2.16624,0.869732,4.26687,0.984674,6.15774,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1bd76c48d9,54,0.364889,0.170224,0.412582,-0.257613,1,2.16878,1,4.26632,1,6.1557,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1c1b558856,72,2.2148,5.88042,2.42496,-2.2148,0.152778,2.16621,0.5,4.26668,0.777778,6.15058,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1d18e32c4e,101,1.21006,1.79328,1.33913,-0.822104,0.386139,2.16569,0.940594,4.26671,1,6.16147,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_1e6fec5c25,22,1.0138,1.65606,1.28688,0.820474,0.636364,2.16527,0.909091,4.26573,1,6.13902,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_22a136e9b9,24,1.24054,2.29624,1.51534,0.426917,0.5,2.17216,0.916667,4.26804,0.916667,6.15941,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_2319535dff,141,2.2208,5.81866,2.41219,2.2089,0.035461,2.16692,0.652482,4.26422,0.893617,6.15822,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_23f10a0918,269,0.596779,0.762365,0.873135,0.207893,0.858736,2.16687,0.951673,4.26601,0.981413,6.1554,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_2c76a46f18,71,1.1138,1.74389,1.32056,0.140955,0.521127,2.16748,0.901408,4.26755,1,6.15327,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_2e9f2dbea9,76,1.93784,4.60292,2.14544,-1.51218,0.210526,2.16654,0.486842,4.26555,0.973684,6.1515,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_30a5286662,3,2.09204,4.51748,2.12544,-2.09204,0,2.16399,0.333333,4.25356,1,6.13761,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_37086f6378,532,1.45775,2.94488,1.71606,-0.755543,0.396617,2.16713,0.75,4.26889,0.958647,6.15945,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_392f966ef2,13,0.76517,0.713489,0.844683,0.581134,0.846154,2.16334,1,4.26031,1,6.15996,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_3e0f6bb1b5,28,1.11216,1.55788,1.24815,0.142378,0.357143,2.16659,0.928571,4.26635,1,6.16209,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_3f3b6220e0,56,0.226636,0.0916334,0.30271,0.0730162,1,2.17341,1,4.27463,1,6.16589,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_401a06b4b7,14,1.60401,2.78462,1.66872,1.60401,0.214286,2.17034,0.857143,4.26663,1,6.14359,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_40c355ae86,24,0.660912,0.606349,0.778684,-0.371161,0.916667,2.17278,1,4.27965,1,6.18138,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_44555064e1,55,0.747323,0.932314,0.965564,0.105443,0.745455,2.16791,0.963636,4.26447,1,6.14689,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_457a2adba4,28,1.23861,1.86366,1.36516,-1.15041,0.357143,2.16208,1,4.2592,1,6.14945,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_45b8fb22e7,152,0.860081,1.15015,1.07245,0.053487,0.75,2.16758,0.914474,4.26684,0.993421,6.15823,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4a1871d85d,114,0.46813,0.371888,0.609826,-0.395565,0.929825,2.16712,1,4.26979,1,6.15913,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4cba27f5f3,206,1.40632,2.53855,1.59328,-0.796506,0.466019,2.16733,0.800971,4.26657,0.970874,6.15723,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4f42448406,81,0.778664,1.03056,1.01517,0.544063,0.728395,2.16863,0.962963,4.26695,1,6.15679,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_4fb6e0c041,13,0.417362,0.196879,0.443711,-0.417362,1,2.1679,1,4.27655,1,6.15514,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_515c63b970,90,0.474068,0.283767,0.532698,-0.245648,0.911111,2.1658,1,4.26668,1,6.15521,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_51c0693f9c,116,0.849963,1.27835,1.13064,0.0217476,0.741379,2.16725,0.913793,4.26543,1,6.15527,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_51ddfefa0c,96,1.35983,6.25454,2.50091,1.01033,0.552083,2.16761,0.947917,4.26572,0.96875,6.15129,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_5472c4b438,192,1.96671,4.6417,2.15446,-1.72531,0.213542,2.16596,0.479167,4.26632,0.994792,6.15038,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_56338b6e47,192,1.40116,3.03121,1.74104,0.978232,0.453125,2.16778,0.708333,4.26791,0.927083,6.15237,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_57ce0f7961,3,1.46656,3.25628,1.80452,-0.731204,0.333333,2.1548,0.666667,4.25337,1,6.1248,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_58ab6ca575,55,0.679565,0.665008,0.81548,-0.50182,0.745455,2.17108,1,4.27158,1,6.1605,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_5a68dc5665,874,1.16253,1.90901,1.38167,0.447389,0.508009,2.16726,0.877574,4.2675,0.995423,6.15659,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_5df1eef2f5,11,0.775876,0.661455,0.813299,0.0544147,0.909091,2.1675,1,4.26233,1,6.16583,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_63013e43b6,48,1.13914,2.03156,1.42533,0.861491,0.583333,2.16701,0.8125,4.2663,0.958333,6.15571,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_650a2d0d03,16,0.321219,0.150941,0.388512,0.280792,1,2.16399,1,4.26357,1,6.16058,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_65c4c3411e,1,2.802,7.8512,2.802,2.802,0,2.15662,0,4.26058,1,6.101,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_691fc07992,75,1.51111,3.4609,1.86035,-1.2705,0.48,2.16775,0.693333,4.26813,0.88,6.15958,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_6a0ef8528c,164,3.02815,10.1917,3.19245,3.02815,0.0304878,2.1646,0.20122,4.26359,0.512195,6.14913,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_6b0ea2ccc9,87,1.14999,1.91883,1.38522,-0.512948,0.574713,2.16778,0.804598,4.27053,1,6.16015,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_6f71d61137,2,1.88732,3.63163,1.90568,1.88732,0,2.15427,0.5,4.24951,1,6.14691,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_723ceb6c2c,11,1.04854,1.86132,1.3643,1.04854,0.545455,2.17087,0.818182,4.26161,0.909091,6.14657,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_74428aeab2,26,2.08067,4.69112,2.1659,0.129437,0.0769231,2.17049,0.538462,4.27304,1,6.15779,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_792969545c,1,3.10548,9.64401,3.10548,3.10548,0,2.15115,0,4.23895,0,6.1724,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_84113c17ad,16,1.00259,1.1827,1.08752,-1.00259,0.5625,2.16458,1,4.26633,1,6.1491,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_8415538291,120,1.15819,2.66751,1.63325,0.565487,0.608333,2.1672,0.8,4.26743,0.9,6.15436,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_86cd2c5ec0,36,1.48628,3.02176,1.73832,0.31205,0.333333,2.16344,0.75,4.26154,0.972222,6.14516,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_886ede1e0e,3,0.484734,0.281342,0.530417,-0.484734,1,2.17548,1,4.27819,1,6.16245,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_8a081dc888,47,1.06387,1.94616,1.39505,0.58205,0.617021,2.16761,0.829787,4.26602,0.978723,6.15704,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_8dafaf94bc,63,0.634141,0.573553,0.757333,0.218025,0.873016,2.1679,1,4.26382,1,6.15473,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_917a4583d4,27,0.948967,1.14354,1.06936,-0.723499,0.518519,2.16679,1,4.26472,1,6.15734,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_92fd5bea1e,108,1.00077,1.6503,1.28464,0.267695,0.638889,2.16521,0.888889,4.2623,0.972222,6.1459,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_9428119866,12,0.236773,0.0779053,0.279115,-0.0490616,1,2.16873,1,4.27358,1,6.15069,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_97510df3a0,21,1.2034,1.80072,1.34191,1.19736,0.47619,2.16401,1,4.25987,1,6.15831,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_9a95bb9836,110,1.04833,1.62806,1.27596,0.414818,0.581818,2.1658,0.918182,4.26448,0.972727,6.15561,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_a470dfb784,40,0.323349,0.195152,0.44176,-0.0251176,0.975,2.1686,1,4.26523,1,6.14972,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_a49146c8fd,51,1.82313,3.97571,1.99392,1.45114,0.176471,2.16509,0.745098,4.26612,0.901961,6.15509,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_a671b3a07d,140,0.908054,1.38548,1.17707,0.4725,0.685714,2.16676,0.907143,4.26389,0.992857,6.15686,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_a9266a9412,50,1.07851,1.65867,1.28789,-0.11595,0.56,2.16768,0.88,4.26875,1,6.16334,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_ad5a7268e5,133,0.969267,1.50222,1.22565,-0.562089,0.691729,2.16837,0.849624,4.26866,1,6.15832,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_aed382b25f,36,1.62765,4.01265,2.00316,-1.43124,0.472222,2.1661,0.638889,4.26421,0.833333,6.14795,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_af7a1cd919,14,1.29364,3.39779,1.84331,1.12926,0.571429,2.16763,0.714286,4.26723,0.857143,6.15726,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b048b54fa9,93,1.30869,2.46908,1.57133,0.745262,0.44086,2.16767,0.806452,4.269,0.967742,6.15955,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b0b3296ec5,228,0.846561,1.08957,1.04382,0.00681219,0.631579,2.1671,0.991228,4.26537,1,6.1552,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b155314682,35,0.983644,1.4968,1.22344,0.857149,0.542857,2.16995,0.942857,4.27306,1,6.16262,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b4273fb42a,16,1.01537,1.43735,1.1989,-0.0780286,0.5,2.17333,1,4.26971,1,6.1691,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b62729e38f,53,0.63928,0.806849,0.898248,0.304915,0.811321,2.16817,0.924528,4.26977,1,6.15043,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b8175dc3a1,14,1.40104,2.05536,1.43365,1.40104,0,2.16532,1,4.26561,1,6.16108,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b92b9c1ebe,208,0.499823,0.448223,0.669494,0.0986335,0.865385,2.1676,0.990385,4.26731,1,6.15755,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_b9dfc468cd,136,0.50258,0.37359,0.61122,-0.222812,0.911765,2.16643,1,4.26735,1,6.15532,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_bdb1564c49,134,1.16902,1.94972,1.39632,-1.10988,0.477612,2.16549,0.873134,4.26528,1,6.16018,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_bef16e560c,48,1.07012,1.54048,1.24116,-0.220996,0.5,2.16727,0.9375,4.26656,1,6.15875,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_c07b8473b8,14,1.34891,2.39213,1.54665,0.733166,0.357143,2.17024,0.785714,4.27617,1,6.17172,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_c649e663f3,4,1.6023,2.56858,1.60268,-1.6023,0,2.16975,1,4.28132,1,6.19181,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_c8195b4ca7,216,1.76903,3.73593,1.93286,-1.76262,0.226852,2.16792,0.601852,4.26603,1,6.15726,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_c929bc0daa,31,0.692039,0.80976,0.899867,0.155714,0.806452,2.16509,0.967742,4.2637,1,6.16308,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_ca616a18dd,28,0.858447,0.870974,0.93326,-0.858447,0.714286,2.16331,1,4.26184,1,6.15211,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_ca7dd9b99d,303,1.5818,3.37865,1.83811,1.15243,0.363036,2.16612,0.656766,4.26572,0.940594,6.15826,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_cd72e4a7bb,135,1.34303,2.76431,1.66262,-0.570829,0.459259,2.16504,0.807407,4.26443,0.940741,6.15497,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_cdc2243314,94,1.74442,4.29306,2.07197,0.856763,0.329787,2.16483,0.62766,4.26188,0.840426,6.14655,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_d3c970567f,15,1.05735,1.4791,1.21618,0.213671,0.533333,2.16791,0.933333,4.2765,1,6.16105,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_d59c40b453,37,1.44785,2.85022,1.68826,-0.235269,0.324324,2.16434,0.783784,4.2691,0.945946,6.1576,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_dc1c90a4de,3,0.429753,0.222085,0.471259,-0.429753,1,2.16425,1,4.25339,1,6.14442,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_dfa96a5118,42,1.25877,1.96848,1.40302,-0.875918,0.428571,2.16779,0.880952,4.26964,1,6.16481,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_e287124c22,1096,1.9313,4.85233,2.2028,0.881544,0.25,2.16724,0.572993,4.26592,0.834854,6.15629,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_e4bbba9576,89,0.857396,1.08256,1.04046,-0.280903,0.674157,2.16695,0.988764,4.26453,1,6.161,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_e4dd361427,10,1.62866,3.34435,1.82876,1.2983,0.4,2.16073,0.6,4.25405,1,6.13623,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_e9799b75f3,56,0.31655,0.15954,0.399425,-0.00736541,1,2.16584,1,4.26989,1,6.16319,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_f5d1922154,36,1.61811,3.34707,1.8295,-1.59355,0.333333,2.16707,0.694444,4.26918,0.972222,6.15429,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_f6d85bdb79,5,1.40769,1.98478,1.40882,1.40769,0,2.16148,1,4.26661,1,6.14855,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,104729,pub_f926473989,3,0.264636,0.0764012,0.276408,-0.264636,1,2.16582,1,4.26076,1,6.11381,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_007f4c9de0,35,1.22484,2.35496,1.53459,0.916595,0.6,2.15685,0.828571,4.30417,0.942857,6.17922,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_04794d6d09,642,1.2203,2.11647,1.45481,-0.443069,0.493769,2.16083,0.823988,4.29665,0.992212,6.17951,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_07cea54708,12,1.6635,3.77791,1.94369,-1.38735,0.416667,2.15797,0.583333,4.30234,1,6.18892,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0884e38fbe,155,0.984539,1.1879,1.08991,-0.539469,0.529032,2.16336,1,4.28953,1,6.18383,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0a8da089ad,132,0.874861,1.02285,1.01136,-0.274429,0.575758,2.16198,1,4.29179,1,6.1816,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0af6736cb1,258,1.21214,2.11436,1.45408,-0.878121,0.472868,2.16275,0.864341,4.29229,0.988372,6.18186,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0c3788daa5,33,1.53465,2.9597,1.72038,-0.618127,0.30303,2.16493,0.757576,4.28753,0.969697,6.17615,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0d412f4721,20,1.75313,3.56955,1.88932,-1.69969,0.2,2.16117,0.6,4.29422,1,6.17897,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0ddbd861aa,91,0.641794,0.555024,0.744999,-0.555899,0.802198,2.16167,1,4.29403,1,6.18224,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0e366d9257,3,0.859311,0.952707,0.976067,0.859311,0.333333,2.16481,1,4.29195,1,6.20443,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0f30549d71,7,1.43882,2.72853,1.65183,1.30502,0.428571,2.16475,0.714286,4.28988,1,6.17998,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_0fd6ab4e40,29,1.48462,2.31193,1.5205,1.48462,0.137931,2.16021,1,4.30262,1,6.17996,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_10aec04d23,67,0.934451,1.54365,1.24244,0.640677,0.61194,2.16125,0.910448,4.29629,0.940299,6.17736,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_13adc25944,4,0.629553,0.416697,0.645521,-0.629553,1,2.16631,1,4.29487,1,6.18727,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1605e436d7,154,0.975923,1.30279,1.1414,-0.0305327,0.577922,2.1627,1,4.29318,1,6.18306,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1739bfaf95,16,0.405655,0.228653,0.478177,-0.271044,1,2.16441,1,4.29189,1,6.19297,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1845fd6492,14,1.32708,3.67262,1.91641,1.32708,0.571429,2.16408,0.714286,4.29025,0.785714,6.18442,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1927dff570,20,1.09628,1.35052,1.16212,1.09628,0.4,2.16376,1,4.29363,1,6.18115,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_19783c039b,204,1.91968,4.87756,2.20852,-1.83043,0.245098,2.16412,0.578431,4.28917,0.887255,6.18059,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1b7737c507,261,1.02993,1.7589,1.32623,0.68273,0.62069,2.16235,0.869732,4.29297,0.984674,6.18244,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1bd76c48d9,54,0.366035,0.1708,0.41328,-0.258088,1,2.163,1,4.29101,1,6.18433,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1c1b558856,72,2.2149,5.88624,2.42616,-2.2149,0.152778,2.16103,0.5,4.29551,0.791667,6.18161,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1d18e32c4e,101,1.2103,1.79385,1.33935,-0.821697,0.386139,2.16122,0.950495,4.29562,1,6.18111,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_1e6fec5c25,22,1.01201,1.65545,1.28664,0.822491,0.636364,2.16393,0.909091,4.29339,1,6.18717,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_22a136e9b9,24,1.23743,2.28997,1.51326,0.424385,0.5,2.16623,0.916667,4.28712,0.916667,6.17941,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_2319535dff,141,2.2203,5.81937,2.41234,2.20847,0.035461,2.16244,0.659574,4.29307,0.893617,6.18028,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_23f10a0918,269,0.595922,0.761331,0.872543,0.207834,0.858736,2.16258,0.951673,4.29211,0.981413,6.18181,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
B0,none,130363,pub_2c76a46f18,71,1.11517,1.74755,1.32195,0.140687,0.521127,2.16184,0.915493,4.29418,1,6.17969,registered: publication group (group_cross_publication_copy) within each seed (section 3.6 resolution)
