arm,half,seed,g19_metal_state,n_rows,mae,mse,rmse,mean_error,unit_reading
B0,selection,,Ce(III),293,1.07322,2.08695,1.44463,0.356799,registered: metal state
B0,selection,,Cm(III),135,1.30669,2.57967,1.60614,-0.173292,registered: metal state
B0,selection,,Gd(III),375,1.28301,2.47793,1.57414,-0.449938,registered: metal state
B0,selection,,Ho(III),264,1.51934,3.17164,1.78091,-0.679077,registered: metal state
B0,selection,,Lu(III),247,1.48873,3.13117,1.76951,-0.56591,registered: metal state
B0,selection,,Nd(III),189,0.880326,1.31485,1.14667,-0.343565,registered: metal state
B0,selection,,Np(IV),216,0.822087,1.30884,1.14405,0.380998,registered: metal state
B0,selection,,Pr(III),166,1.16795,4.18764,2.04637,0.73122,registered: metal state
B0,selection,,Pu(IV),580,1.06252,1.72382,1.31294,-0.0115321,registered: metal state
B0,selection,,Tb(III),269,1.35216,2.6935,1.64119,-0.395228,registered: metal state
B0,selection,,Th(IV),773,0.946722,1.49527,1.22281,0.247425,registered: metal state
B0,selection,,U(VI),1036,0.681749,0.8157,0.903161,0.114873,registered: metal state
B0,confirmation,,Am(III),1728,1.50522,3.27878,1.81074,0.197892,registered: metal state
B0,confirmation,,Dy(III),377,1.35446,2.61656,1.61758,-0.720169,registered: metal state
B0,confirmation,,Er(III),300,1.44052,2.92353,1.70983,-0.67365,registered: metal state
B0,confirmation,,Eu(III),1687,1.66602,3.86915,1.96702,0.162811,registered: metal state
B0,confirmation,,La(III),344,1.08557,2.20864,1.48615,0.549133,registered: metal state
B0,confirmation,,Np(V),187,1.64665,3.37423,1.83691,1.64665,registered: metal state
B0,confirmation,,Pu(III),118,1.76867,3.8197,1.95441,1.49443,registered: metal state
B0,confirmation,,Pu(VI),107,0.820312,0.943063,0.971114,0.354022,registered: metal state
B0,confirmation,,Sm(III),323,1.21046,2.35383,1.53422,-0.336355,registered: metal state
B0,confirmation,,Tm(III),201,1.4236,2.8981,1.70238,-0.71386,registered: metal state
B0,confirmation,,Yb(III),231,1.5284,3.24698,1.80194,-0.559367,registered: metal state
B1,selection,,Ce(III),293,1.07322,2.08695,1.44463,0.356799,registered: metal state
B1,selection,,Cm(III),135,1.30669,2.57967,1.60614,-0.173292,registered: metal state
B1,selection,,Gd(III),375,1.28301,2.47793,1.57414,-0.449938,registered: metal state
B1,selection,,Ho(III),264,1.51934,3.17164,1.78091,-0.679077,registered: metal state
