arm,half,seed,g19_metal_state,extractant_system_key,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B0,selection,,Am(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,65,1.18948,2.10624,1.45129,0.127445,0.523077,2.37956,0.876923,4.43568,1,6.31763,registered: hidden cell
B0,selection,,Am(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC,27,1.44812,2.85946,1.69099,1.44812,0.37037,2.33482,0.62963,4.15918,1,5.7113,registered: hidden cell
B0,selection,,Am(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,31,1.99277,4.41132,2.10032,-1.06085,0.129032,1.83284,0.354839,3.83777,0.935484,5.42121,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,2.57649,7.42679,2.72521,-2.57649,0.0714286,2.25507,0.428571,4.42688,0.642857,6.1312,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,11,1.78924,3.74362,1.93484,1.78924,0.181818,2.25858,0.545455,4.23789,1,6.10593,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,18,1.97414,5.88603,2.42611,1.67842,0.333333,2.26611,0.611111,4.42731,0.666667,6.12646,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,22,1.04408,1.26165,1.12323,-0.0930765,0.590909,2.27299,1,4.44376,1,6.14409,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,515,1.3482,2.58184,1.60681,-0.527629,0.398058,2.02467,0.763107,3.93334,0.941748,5.47366,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,50,1.12901,1.82825,1.35213,-0.703587,0.5,1.93211,0.78,3.98224,1,5.70637,registered: hidden cell
B0,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,12,3.1541,11.0862,3.32959,3.1541,0,2.24302,0.25,4.20219,0.416667,6.11407,registered: hidden cell
