quantity,source_file,experiment,cohort,seeds,aggregation,n_units,recomputed,reported,reported_from,abs_delta,verdict,note
frozen-pipeline macro MAE at k=0,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 11 final_locked,99-extractant common cohort,5 split seeds x 12 repeats,"mean over extractants of mean over (seed, repeat)",99,1.0357994416277343,1.0358,GEN10_FINAL_DECISION_REPORT.md §3.10 / final_locked/frontier_best.csv,5.583722657576118e-07,PASS,
frozen-pipeline macro MAE at k=1,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 11 final_locked,99-extractant common cohort,5 split seeds x 12 repeats,"mean over extractants of mean over (seed, repeat)",99,0.653872837772772,0.6539,GEN10_FINAL_DECISION_REPORT.md §3.10 / final_locked/frontier_best.csv,2.716222722798367e-05,PASS,
frozen-pipeline macro MAE at k=2,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 11 final_locked,99-extractant common cohort,5 split seeds x 12 repeats,"mean over extractants of mean over (seed, repeat)",99,0.5592988144741076,0.5593,GEN10_FINAL_DECISION_REPORT.md §3.10 / final_locked/frontier_best.csv,1.1855258924553524e-06,PASS,
frozen-pipeline macro MAE at k=3,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 11 final_locked,99-extractant common cohort,5 split seeds x 12 repeats,"mean over extractants of mean over (seed, repeat)",99,0.4928089826231498,0.4928,GEN10_FINAL_DECISION_REPORT.md §3.10 / final_locked/frontier_best.csv,8.98262314980025e-06,PASS,
frozen-pipeline macro MAE at k=5,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 11 final_locked,99-extractant common cohort,5 split seeds x 12 repeats,"mean over extractants of mean over (seed, repeat)",99,0.4405418081356232,0.4405,GEN10_FINAL_DECISION_REPORT.md §3.10 / final_locked/frontier_best.csv,4.1808135623211395e-05,PASS,
REC_ecfp_plus_recovered + SLOPE_L_s1_K3 at k=2,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 rerun vs gen9's own frontier table,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants,99,0.590884263062458,0.590884263062458,runs/gen9_shape/frontier/table_b_common_cohort.csv,0.0,PASS,
REC_ecfp_plus_recovered + SLOPE_L_s1_K3 at k=3,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 rerun vs gen9's own frontier table,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants,99,0.5229939263529746,0.5229939263529747,runs/gen9_shape/frontier/table_b_common_cohort.csv,1.1102230246251565e-16,PASS,
REC_ecfp_plus_recovered + SLOPE_L_s1_K3 at k=5,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 rerun vs gen9's own frontier table,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants,99,0.4772405328678428,0.4772405328678428,runs/gen9_shape/frontier/table_b_common_cohort.csv,0.0,PASS,
GEN9_SHAPE_RECOMPOSED + SLOPE_L_s1_K3 at k=2,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 rerun vs gen9's own frontier table,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants,99,0.5760830056051939,0.5760830056051939,runs/gen9_shape/frontier/table_b_common_cohort.csv,0.0,PASS,
GEN9_SHAPE_RECOMPOSED + SLOPE_L_s1_K3 at k=3,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 rerun vs gen9's own frontier table,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants,99,0.5127249638969309,0.5127249638969309,runs/gen9_shape/frontier/table_b_common_cohort.csv,0.0,PASS,
