arm,width_quartile,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
FROZEN,Q1,3244,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,Q2,3564,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,Q3,2249,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,Q4,2116,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOMPOSED_ALL,Q1,3244,21,0.05386801715385231,0.272452636423575,0.38589026204126603,1.3397936287783527,0.15663221383156944,0.5432128124270105,0.6986077453117918,1.73890375163281,0.1713745317407974,0.6018242706256298,0.7758172586674001,1.7889464496374856,0.18503974739216628,0.6554304375174222,0.8627338088296314,1.877632363043745,0.06357295991522202,0.2786473453570294,0.37292311965789593,1.3397936287783527,0.12991462040923407,0.5116043010776594,0.6941876180546628,1.613838814619572,0.03457473803423579,0.19284896721967076,0.2442341296109825,0.6393878259156853
RECOMPOSED_ALL,Q2,3564,43,0.07762445382338609,0.25882026584553874,0.37152352000746836,1.3107238368652845,0.1684740277174359,0.4429029600357678,0.5635902601699418,1.579141863923875,0.18450482768791576,0.4777852606176014,0.6117782491273356,1.6342550163544172,0.1976598005239435,0.509238652653469,0.6475473235750531,1.6893681687849593,0.07533297578265205,0.24421848865005083,0.3304322449173448,1.3107238368652845,0.1523820023724457,0.4140394856508314,0.5534370137097643,1.4453287129878851,0.03941556563665158,0.15572393370015641,0.2113017403424914,0.8805338774428322
RECOMPOSED_ALL,Q3,2249,33,0.04935343765353936,0.2573254244583635,0.5086665915597393,1.6678925232263988,0.11843554785799718,0.5045135525245494,0.6846464646852957,1.7231429110093344,0.12809026098992257,0.5512917037666414,0.7272713174253432,1.8013813871768953,0.13656630560292793,0.5757472329847022,0.797395831480323,1.8846286023388854,0.04831832984197526,0.23966669099419505,0.462852382464813,1.0170578863514241,0.09819098158124007,0.4364712281473607,0.654688477459846,1.422128403870124,0.0293783427759452,0.17144489061631785,0.23241725059816962,1.0798967291636021
RECOMPOSED_ALL,Q4,2116,69,0.036996355795599206,0.15433795936750372,0.2475004826010048,1.037987626445295,0.08100309300166086,0.28185429077539503,0.41506645344005977,1.2182534339121507,0.09190059806040171,0.3005004626453568,0.4337091413735028,1.2903542047890946,0.1026709747276382,0.3250326003973676,0.4508895398554747,1.362454975666039,0.032992760416307415,0.1635039847549934,0.25522825425103723,1.037987626445295,0.08428169893822021,0.2496172813477377,0.353143791100175,1.3301410207528988,0.015840738202193116,0.09111353711345621,0.1280284372134689,0.4777392255899503
RECOMPOSED_HYBRID,Q1,3244,21,0.04966821238156505,0.2294506461338453,0.349530044041472,1.2092785585371904,0.13226584968360997,0.49329845407300754,0.649729808522893,1.5714944557355714,0.14504023312039332,0.536887277640864,0.7199963804627155,1.6167760612239435,0.15360147899161286,0.5694036446231978,0.7815820822709831,1.6879676258041245,0.05584612534705645,0.244532760173607,0.3552356176041814,1.2092785585371904,0.11452028736708503,0.4227133512342391,0.6486813444301793,1.4372405501679877,0.03142017263826859,0.17129829351475048,0.22219685798350008,0.6357233481861483
RECOMPOSED_HYBRID,Q2,3564,43,0.06619108845226954,0.22125975778644444,0.31723180021971237,1.2617324014097624,0.14690747409051302,0.3915495381471313,0.5205458973777772,1.5033503714081184,0.16174279787049872,0.422726274089191,0.5569443683169767,1.5335526176579128,0.17554808889381135,0.4498756203365549,0.5946609221691997,1.5637548639077075,0.0648938617728827,0.21194392699873987,0.3022946883619248,1.2617324014097624,0.13057811770419603,0.35117072995771126,0.48258407437759765,1.4195283845944036,0.037836765082088164,0.14303880336277616,0.19070724121030075,0.8303761877064225
RECOMPOSED_HYBRID,Q3,2249,33,0.04536683758673987,0.24824239521538718,0.4305790198011225,1.4915506099836868,0.10848697014976408,0.44922402974652853,0.6579832436280594,1.609890393534429,0.11654624217077854,0.4887136258911583,0.6930006501333027,1.6857225964322216,0.12354482747470585,0.5194171816521563,0.7232526424050127,1.7615547993300142,0.04620958927815766,0.2389540957031867,0.3985375528022591,0.9646784386824101,0.08984006203425315,0.39020725624836367,0.5967191415367732,1.349996811900183,0.02892275169783609,0.15260132700044535,0.21976397053638128,0.9869887166574872
RECOMPOSED_HYBRID,Q4,2116,69,0.034136373935520145,0.14832023068742098,0.24438986767906762,0.9508132329407277,0.07650401443890999,0.2849842201085373,0.399066902572063,1.1746788581392607,0.08658962026352926,0.30322207982077604,0.4191482423893264,1.2495894424346998,0.09608086533933047,0.3319622804707342,0.4378888944276679,1.3245000267301394,0.0315962926460811,0.15877306267604818,0.26607460864175136,0.9508132329407277,0.08016808396866687,0.2567267549075454,0.3594790170444513,1.2250776282732683,0.014222718903586395,0.08582263867653579,0.1260568792323308,0.41373767025916613
RECOMPOSED_RANK,Q1,3244,21,0.04473183136747333,0.22389687560654192,0.3609200717298269,1.2639489131417738,0.12275136416960537,0.48112331333140584,0.6432233453869708,1.6457038035869176,0.13102613258900453,0.5344402285389127,0.7100155836097944,1.6937421562678903,0.13746556784368227,0.5906397178090957,0.7532098713438518,1.741780508948863,0.05099378100942258,0.23991704785631138,0.36186883269224396,1.2639489131417738,0.10042180992088914,0.42519399659356943,0.6431746840871772,1.5256910634612915,0.028449107279414763,0.16083306812897114,0.21841845426329848,0.6913386880259128
RECOMPOSED_RANK,Q2,3564,43,0.06396769356311646,0.20232404092809503,0.31365606752774144,1.2308176679587242,0.13915911174709522,0.3845099987825727,0.5146482134740545,1.5055997869770184,0.15400632003782766,0.41887466174420296,0.5518751136990068,1.539947551854305,0.1653378085770797,0.45472821154231496,0.5910358554665184,1.5742953167315918,0.06177739078198141,0.18958258640936423,0.2852047644986998,1.230817667958724,0.12027035647100028,0.35446129174220103,0.47071576525434056,1.3984656056706348,0.03812603579530416,0.1395282229262646,0.19166162667640568,0.8410342037685066
RECOMPOSED_RANK,Q3,2249,33,0.04544523609985118,0.22955770031009004,0.4195880443541534,1.353795331911267,0.11192088697098088,0.4347515709437085,0.6246410399917623,1.556446774381936,0.12165768360116193,0.46938789075456433,0.653997776994943,1.6339957087885104,0.13030079737176448,0.5082758364660406,0.7042826382333652,1.7115446431950851,0.04764245689614438,0.22734327795701648,0.39942660920388195,0.893561623487761,0.09308229303868137,0.386778384126058,0.5715938566975873,1.3652145928648995,0.030155833542179808,0.15023662187372216,0.209156005242016,0.9134697379395896
RECOMPOSED_RANK,Q4,2116,69,0.030759408107415082,0.12478844919782305,0.2150306231730949,0.8933868722667426,0.07181296793693587,0.25396403178838955,0.3849471940768961,1.1787346450667604,0.08205529261361823,0.27797039675316504,0.41837279859013854,1.275090931874975,0.0912232720822046,0.3026548415200485,0.44342317643677265,1.37144721868319,0.028756561661498398,0.13242975183427058,0.2347779593693242,0.8933868722667426,0.07022706152142694,0.24265898447468506,0.34943141221966745,1.1460122603582552,0.014858127647028416,0.0795677404740918,0.11470217494504252,0.40444968197767067
SHAPE_RECOMPOSED,Q1,3244,21,0.027760110998263556,0.2214315780455473,0.3027426067478714,0.9320977972393804,0.08068753581198407,0.47531450994080404,0.562191544613224,1.260166732538418,0.08743259645533047,0.5267627400757657,0.6334646617407532,1.3012134515854392,0.09341302519467515,0.5862684922980923,0.718043434342279,1.4375308226981816,0.022694149804781807,0.2219845147961817,0.3013331904522422,1.0030373051180985,0.05957704189463739,0.48768843949676643,0.5904205180648618,1.17515896583248,0.018294643897970753,0.14710242232453746,0.18814531417042654,0.45012835665758844
SHAPE_RECOMPOSED,Q2,3564,43,0.0561794246385039,0.21889335159640877,0.29471818413134704,0.9967580192473076,0.12086098456298264,0.3799976451836749,0.4903607921529914,1.1620696955950407,0.1325947001077057,0.4171462292711432,0.526541631786343,1.197447876321044,0.14471720134687738,0.46449438265622806,0.5801656587298242,1.2328260570470477,0.0411450479026752,0.20958106928623704,0.2905984166713215,0.9967580192473076,0.10550923053103012,0.3846773012347529,0.49357109434136365,1.124108470538078,0.032189763112410896,0.12275457487190235,0.15945335609461858,0.6144664617938853
SHAPE_RECOMPOSED,Q3,2249,33,0.03678801831873421,0.2053015329187255,0.34491407127936036,1.136078197761162,0.08183940318402684,0.34873496785060565,0.5144906358412036,1.269406669342421,0.08823392451103912,0.3912973886853823,0.5573332253261517,1.3239697573064186,0.0951250979144399,0.4173096559997049,0.6172438063834041,1.3785328452704166,0.025053692067321776,0.18994432420385549,0.34015013771882,0.8395367299958172,0.05948884374649466,0.3405544833671215,0.5206285241233616,1.0340747221444893,0.024056273090147684,0.12162500059486796,0.1654901945733498,0.7181609092436797
SHAPE_RECOMPOSED,Q4,2116,69,0.020932790014987705,0.0903879910848184,0.1665464326093557,0.6949405667689149,0.04136097831151718,0.15080314187687738,0.2674826711160723,0.7996072655798632,0.049841706865561296,0.16578291470916673,0.2810831385918,0.8392135985646022,0.056356200613389,0.19111417949913379,0.29940651757866765,0.8788199315493415,0.01185193962243005,0.07387831001137152,0.1580706932386552,0.6949405667689148,0.03361300919116747,0.14906975099445918,0.2275050724248962,0.8348508281639452,0.012354903656528318,0.0662019892252288,0.09551534589954187,0.28626671127456427
