arm,family,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
FROZEN,CONTEXT,674,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,DECOY,720,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,DENSITY,1066,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,EXTEND,2160,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,NESTED,3370,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,PERMUTE,674,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,SPARSE,2509,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECOMPOSED_ALL,CONTEXT,674,130,0.0,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,2.997602166487922e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,5.551115123125783e-17,1.1102230246251565e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,1.8596235662471498e-16,4.440892098500626e-16
RECOMPOSED_ALL,DECOY,720,66,0.14269047214428288,0.2858833405016569,0.35287145759770366,1.0782110321525742,0.26518980731415676,0.5066547124393185,0.5904232581376025,1.4105248774992656,0.281588944197259,0.5555591039477746,0.6392589929632781,1.4393379601615743,0.30192761077686614,0.6073089109831934,0.6760163117064042,1.5196757953997921,0.1545370671957942,0.2890059610168557,0.3528012020587103,0.634824496657904,0.2794224504500915,0.5564653601992651,0.6036085958014726,1.310103753887602,0.027030848847335268,0.0795715067875874,0.12630404521579303,1.0415621463312352
RECOMPOSED_ALL,DENSITY,1066,66,0.03993839781631553,0.20785419674699307,0.32100302519008583,1.6678925232263988,0.11475388512523738,0.5016012996442489,0.70182244768213,1.7181341720149053,0.12546289450692172,0.5374740513578817,0.7919080741162298,1.8013813871768953,0.13561224938505234,0.5855750351668696,0.9091582533235882,1.8846286023388854,0.04888178798871176,0.21895503612904194,0.3123003453237455,0.7987033800444003,0.10638546405581116,0.5328889581703091,0.7751514661123788,1.5643651582631999,0.032398032354417294,0.12980994384102493,0.2198316979355941,1.0798967291636021
RECOMPOSED_ALL,EXTEND,2160,66,0.0820561735080865,0.21019089475468106,0.2582335666668619,1.084336633981429,0.18695771554033652,0.4377369732916171,0.5184180653372199,1.7231429110093344,0.20602601441837354,0.4767594406317424,0.5989520091725631,1.7520728812458806,0.22485997657149948,0.5136250339815038,0.6679197617284438,1.781002851482427,0.08327701452099574,0.210274782909405,0.25493032673735583,0.6488705973587908,0.1739881016132504,0.41193591022897647,0.5253634185113126,1.2813534861150806,0.054492071743826864,0.16504636276435472,0.199109919083235,0.9945118686631316
RECOMPOSED_ALL,NESTED,3370,130,0.06405354855089312,0.22797780934533554,0.3109578716450429,0.8092838498952266,0.1430054568720309,0.46414764336883224,0.6011526696452344,1.4992706715815274,0.1553768777857787,0.4962227245999154,0.6470228041092427,1.6484234944787441,0.1698628024898886,0.5281753335710816,0.6974302406565768,1.8389891476421611,0.05984191018066253,0.216393054956721,0.28586338078001705,0.6789951793769677,0.1260065482932656,0.3500416935761693,0.4745644778021365,1.2700583252469926,0.04231838910097746,0.20606183772440698,0.2758725150525548,0.8805338774428322
