comparison,dropped_chemotype,delta,n_units
P1_M_SELECTED_vs_C_DIRECT_ROW,(none),-0.001468025274498931,90
P1_M_SELECTED_vs_C_DIRECT_ROW,sc000,-0.00042278527987700494,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc001,-0.0037593575521598184,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc007,-0.0005142290750492128,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc008,-0.0020562729641541485,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc009,0.0019317850124520013,67
P1_M_SELECTED_vs_C_DIRECT_ROW,sc010,-0.00140016970310503,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc012,0.0004784542993769326,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc015,-0.0005476859810046929,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc016,-0.003756432250883888,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc017,0.0004173649572552058,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc018,-0.0009851672789351847,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc019,-0.0025825521542974334,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc020,9.336739181645531e-05,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc021,0.00174152061446328,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc027,0.010193550952581367,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc028,0.00042206343819494244,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc029,0.0023315357105428013,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc030,-0.005264621289290196,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc031,-0.006760058275086376,87
P1_M_SELECTED_vs_C_DIRECT_ROW,sc032,-0.0018262517087780214,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc033,-0.0006483570016658698,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc036,-0.006015482317800139,86
P1_M_SELECTED_vs_C_DIRECT_ROW,sc055,-0.003748417518326555,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc057,-0.0003340142244606584,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc058,-0.0018790331698622298,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc059,-0.0001257168642265871,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc060,-0.004335918078699984,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc061,-0.011087385918048694,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc062,9.184182131035412e-05,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc063,-0.001904239396438104,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc068,-0.0018490450645213584,84
P1_M_SELECTED_vs_C_DIRECT_ROW,sc069,0.0005901922892107861,88
P1_M_SELECTED_vs_C_DIRECT_ROW,sc070,-0.0012665873953927268,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc071,-0.002658438980217865,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc075,-0.004393388702302764,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc076,-0.002252324226151168,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc077,-0.0011900822205400754,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc078,0.0003380151006951381,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc083,-0.0003771837188517347,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc084,-0.0018098518178266763,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc085,-0.0019095895501374984,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc086,-0.0012953226053523152,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc092,-0.0012484878258542211,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc096,-0.001465590809153259,89
P1_M_SELECTED_vs_C_DIRECT_ROW,sc097,-0.0018891161202049432,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,(none),0.10526102571615933,90
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc000,0.10484509880617429,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc001,0.10187947635687235,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc007,0.10549453574641615,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc008,0.1065596907165994,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc009,0.10472283611906816,67
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc010,0.10614236534893921,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc012,0.11044820625440857,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc015,0.10435179987904747,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc016,0.10311996359640785,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc017,0.10753923711942695,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc018,0.10523165291836602,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc019,0.10538088714169483,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc020,0.10434503080836753,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc021,0.10697476026805475,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc027,0.12362657422524129,84
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc028,0.10798492129377925,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc029,0.10665337782417286,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc030,0.10490893152661168,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc031,0.09852320135769423,87
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc032,0.10584086904811908,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc033,0.09963888611782619,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc036,0.09985986892286795,86
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc055,0.10382496489720451,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc057,0.09997191868788514,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc058,0.10647426678590038,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc059,0.10368525879341298,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc060,0.10225004231805102,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc061,0.10051593954899798,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc062,0.1053637071481304,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc063,0.10839220992916793,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc068,0.0976640460374954,84
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc069,0.10991332906870936,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc070,0.10668185405538805,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc071,0.10733931567498321,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc075,0.1048687007583507,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc076,0.10637594404189622,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc077,0.106008105849121,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc078,0.10807414056368231,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc083,0.10966067850741855,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc084,0.10597618053917197,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc085,0.1055378971788495,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc086,0.10391410913531386,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc092,0.10463379883418555,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc096,0.10237539238379324,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc097,0.10337818338064171,89
