ablation,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A0,0,0,3,104729,0.35,2,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,0.08766266035911245,0.10342629722346923,True
A0,0,1,3,104729,0.7,2,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,-0.060610837160772084,-0.00732237441442125,False
A0,0,2,3,104729,1.0,4,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,-0.017299438931337265,-0.0921007727321306,False
A1,0,0,3,104729,0.35,2,0.37955352175718327,5743,0.49945758359498044,0.7481933953498627,0.013263960009261777,0.4603573811774215,0.44190718626249564,True
A1,0,1,3,104729,0.7,2,0.4026284996858709,5743,0.5346991148587579,0.8126770977597149,-0.1641509381718882,0.38421035107666535,0.3208163616522284,False
A1,0,2,3,104729,1.0,4,0.4108564808877466,5743,0.5641688089709596,0.8752774604840824,-0.3504071864933189,0.31279746828872695,0.27460960966777687,False
A2,0,0,3,104729,0.35,2,0.3441122324860767,5743,0.3685325440500684,0.5385101408588435,0.48883510231947147,0.704048341512169,0.7210377405972352,True
A2,0,1,3,104729,0.7,2,0.3491797086171919,5743,0.38878106681745933,0.5654034437344867,0.4365048930803621,0.6694429612501869,0.7015237544697601,False
A2,0,2,3,104729,1.0,4,0.37132770867412973,5743,0.41119706287220814,0.5982854611532127,0.3690569671765498,0.6264982732073648,0.6836680247316922,False
A3,0,0,3,104729,0.35,2,0.3622271597459203,5743,0.4969711036973464,0.7532821206298225,-0.000203959461227754,0.4439703177091229,0.39556870198993294,True
A3,0,1,3,104729,0.7,2,0.3645218398881866,5743,0.5048181855847446,0.7718135746318574,-0.05002121998009956,0.4246251380899803,0.3716944745937011,False
A3,0,2,3,104729,1.0,4,0.37250275061873345,5743,0.5270979159604847,0.818336526274512,-0.18042153253455484,0.3619578993547596,0.327121562136298,False
A4,0,0,3,104729,0.35,2,0.3426503587013983,5743,0.35921594372006305,0.527388109276833,0.5097315817478093,0.7162006085400456,0.7309122401118784,True
A4,0,1,3,104729,0.7,2,0.3477526095140814,5743,0.3779308559825658,0.5545099130821891,0.45800924381062114,0.6831288236400647,0.7196511392884595,False
A4,0,2,3,104729,1.0,4,0.36570777552017214,5743,0.40578165064882876,0.5931521686270343,0.3798375087018506,0.6335146316088803,0.7001186121678028,False
A5,0,0,3,104729,0.35,2,0.3479696488785434,5743,0.3623583477513199,0.5325764500440664,0.5000378033447104,0.7097824060019156,0.7258090924252265,True
A5,0,1,3,104729,0.7,2,0.35002250744828234,5743,0.3753976174890508,0.5511823801954088,0.46449454110495336,0.6869435681726426,0.7193046089639875,False
A5,0,2,3,104729,1.0,4,0.3632207427238885,5743,0.39743043779779297,0.5814738010022147,0.40401743602852147,0.6491085887570199,0.702350329058452,False
A6,0,0,3,104729,0.35,2,0.3448025368135774,5743,0.35743391290780197,0.5255622862534476,0.5131203341759571,0.7184317555082874,0.7322808361919115,True
A6,0,1,3,104729,0.7,2,0.3466435273363102,5743,0.36887809620869116,0.5432630073606289,0.4797722466488029,0.6972188113723768,0.7221935863785325,False
A6,0,2,3,104729,1.0,4,0.3633617710502297,5743,0.391971432547055,0.5752122720958993,0.4167838565822318,0.6572955362362201,0.706709469086534,False
A2+D1,0,0,3,104729,0.35,2,0.34581780459357925,5743,0.3684879539624856,0.5377710004699322,0.4902373538259627,0.7038920916996063,0.7239241515237417,True
A2+D1,0,1,3,104729,0.7,2,0.34930501189618746,5743,0.38037582049849716,0.5549974679727447,0.4570557300534066,0.6819336447785344,0.7157096578848514,False
A2+D1,0,2,3,104729,1.0,4,0.3664339560621851,5743,0.4070217184141771,0.5914653816846639,0.3833596894866851,0.6360458906939847,0.6964405126702193,False
A2+D2,0,0,3,104729,0.35,2,0.34611842428438194,5743,0.36970487315505673,0.5382542851238985,0.4893207139789024,0.7034284897959688,0.7236923881756627,True
A2+D2,0,1,3,104729,0.7,2,0.35519338384351107,5743,0.38695045170672443,0.5624304446436686,0.44241524263129006,0.6727114152227257,0.7134134764429498,False
A2+D2,0,2,3,104729,1.0,4,0.37004890549515856,5743,0.4098434604511693,0.5952481751785917,0.37544686035633523,0.6304875133440349,0.6920883184746889,False
A2+D3,0,0,3,104729,0.35,2,0.3424384424870333,5743,0.3608246954522268,0.5332848539314865,0.49870687436427563,0.7106586492990964,0.7224444811790856,True
A2+D3,0,1,3,104729,0.7,2,0.3494857151658453,5743,0.3707014747655906,0.5479033990586785,0.47084702770334397,0.6934049030871782,0.7092916561757665,False
A2+D3,0,2,3,104729,1.0,4,0.3676848370526416,5743,0.3916442051087356,0.5759159320135844,0.41535608163076254,0.6577275930965991,0.6940844203247323,False
A2+D4,0,0,3,104729,0.35,2,0.34898079812196187,5743,0.37765577972697234,0.550081637793284,0.46663127478974287,0.6886607302342999,0.7200686011462365,True
A2+D4,0,1,3,104729,0.7,2,0.35318908649316527,5743,0.3960908624980926,0.5758758181342658,0.4154375224019843,0.6556664173118846,0.7042748382070738,False
