arm,support_design,n_pairs,n_extractants,n_cells,macro_mae_zero_shot,macro_mae_zero_shot_seed_sd,macro_mae_conditional,macro_mae_conditional_seed_sd,macro_mae_rescale,macro_mae_rescale_seed_sd,macro_mae_no_model_linear,macro_mae_no_model_linear_seed_sd,gain,macro_mae_basis_shift,macro_mae_basis_shift_seed_sd
C_DIRECT_ROW,widest,68145,89,383,0.541019722969172,0.011565477772477467,0.26640871991798126,0.0035176219178391643,0.4017961679325152,0.006975501931883021,0.27182623903950676,0.0,0.27461100305119074,,
M_SELECTED,widest,68145,89,383,0.5308765824422977,0.015622994775764938,0.274244615127198,0.007040445449144168,0.42814188789788926,0.019876216196426773,0.27182623903950676,0.0,0.25663196731509974,0.3209242637820075,0.015989774593572165
B1_MEAN_CURVE,widest,68145,89,383,0.6087914896604649,0.016268774505586656,0.27770099507970814,0.0025087175813564145,0.5072637663636814,0.030536998514049844,0.27182623903950676,0.0,0.3310904945807568,,
C_DIRECT_ROW,random,204435,89,383,0.5549253013301838,0.01588830201612778,0.4120696555328087,0.01323920868006484,0.4943739039737379,0.01153045420454705,0.48401679817285903,0.027040574622190325,0.14285564579737509,,
M_SELECTED,random,204435,89,383,0.5437590646298809,0.02085951463151567,0.4156131205115818,0.020027285540841624,0.5017397940338295,0.023652254034518753,0.48401679817285903,0.027040574622190325,0.1281459441182991,0.580139354077729,0.0883450003526356
B1_MEAN_CURVE,random,204435,89,383,0.6260335931542832,0.019503376227561486,0.45086015380067207,0.013407421215049748,0.5818285153371743,0.018211662224442936,0.48401679817285903,0.027040574622190325,0.17517343935361113,,
