label,candidate,n_ext,n_scr,n_str,feed_stage_offset,scrub_return_offset,oa_ext,s_over_a,w_over_a,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,saponification_degree,scrub_complexant_M,strip_anion_M,feed_dilution,f_bleed
transfer-unsupported,0,26,6,7,8,0,1.182977172,2.733690865,2.158770057,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,1,8,30,25,7,0,1.037238399,1.517996998,0.557798013,2.835276847,34.39563898,2.458301442,0.006219239466,0,0,0,0,0
transfer-unsupported,2,19,15,14,0,6,4.943209142,3.745796482,3.673914941,2.015637044,22.02108072,4.329089878,0.188460329,0,0,0,0,0
transfer-unsupported,3,11,11,19,9,0,0.2477275091,0.7089494695,3.96968408,2.809052863,45.21662799,4.264471401,0.2538111279,0,0,0,0,0
transfer-unsupported,4,30,22,2,0,8,4.65843035,2.658474156,0.6921496296,1.940031555,34.50982134,2.22298542,0.07645239932,0,0,0,0,0
transfer-unsupported,5,24,8,20,2,0,3.691957983,3.244256125,3.662108406,0.1176768114,39.21234166,1.477360814,0.1803819368,0,0,0,0,0
transfer-unsupported,6,16,10,16,0,2,1.469388166,2.169230911,1.942851862,3.477672304,7.444653963,3.386021606,0.05550869182,0,0,0,0,0
transfer-unsupported,7,6,7,26,0,5,2.167915947,1.949623263,4.402625891,2.20552732,2.403798463,1.046261284,0.2241988895,0,0,0,0,0
transfer-unsupported,8,11,26,4,10,0,1.346858116,2.344210712,2.421927853,0.5566105264,45.87394819,2.543717056,0.1967046316,0,0,0,0,0
transfer-unsupported,9,17,28,25,0,16,4.230571436,2.445604553,4.321531478,3.59922982,11.02736738,0.1251117881,0.1691198985,0,0,0,0,0
transfer-unsupported,10,5,5,5,0,4,0.5796523928,0.2936701183,4.535104853,2.32098897,46.82011528,1.732616465,0.2660368104,0,0,0,0,0
transfer-unsupported,11,15,24,20,0,14,1.682833364,3.270170342,1.589552669,4.230740695,8.137364051,4.535729824,0.1904203332,0,0,0,0,0
transfer-unsupported,12,19,21,10,1,0,0.5658808703,2.984079993,4.231806661,1.551638441,28.59042999,1.867105819,0.1495814981,0,0,0,0,0
transfer-unsupported,13,6,7,18,0,3,0.426003103,4.856069311,2.324070101,4.445785078,39.45556594,4.159439915,0.2261674727,0,0,0,0,0
transfer-unsupported,14,25,8,22,0,7,2.000695207,3.029057838,2.862793718,0.9684708527,39.82305446,3.144945431,0.08000659909,0,0,0,0,0
transfer-unsupported,15,23,10,1,0,6,3.683231093,1.854391347,4.110636232,2.127317105,1.298859883,2.681711998,0.05322006479,0,0,0,0,0
transfer-unsupported,16,21,11,12,6,0,1.208572503,3.996464379,0.2708499904,1.579916554,26.01488674,2.975263425,0.2282081467,0,0,0,0,0
transfer-unsupported,17,30,13,28,0,0,4.630229346,2.599203143,2.146849053,4.470227632,5.876911222,2.315193579,0.2468113524,0,0,0,0,0
transfer-unsupported,18,19,19,27,17,0,3.78295667,1.789727308,2.230392589,0.2230934605,20.53446353,1.204464758,0.2860653419,0,0,0,0,0
transfer-unsupported,19,2,20,29,1,0,4.179824127,4.080457035,4.408291904,2.504407072,16.46350673,1.02514689,0.2608222745,0,0,0,0,0
transfer-unsupported,20,20,5,20,2,0,0.476081338,4.337158993,3.391569923,3.915297495,30.72156523,0.5583208133,0.2516119529,0,0,0,0,0
transfer-unsupported,21,18,9,12,0,14,3.327804542,2.386089116,1.154583025,4.259456006,5.295844422,4.707514837,0.1955777122,0,0,0,0,0
transfer-unsupported,22,29,8,24,23,0,4.541670618,4.54943836,4.344125004,0.3051407921,40.81033165,4.783631023,0.2136975098,0,0,0,0,0
transfer-unsupported,23,9,18,13,8,0,1.484006909,2.116950827,3.996136274,4.188889223,4.240845274,2.281519171,0.2599172194,0,0,0,0,0
transfer-unsupported,24,13,18,1,12,0,1.950550453,1.837709004,1.199606148,3.291245934,11.7753875,0.2560808921,0.09308482543,0,0,0,0,0
transfer-unsupported,25,27,16,9,0,15,1.279598999,0.4341059523,1.426907841,4.310037026,42.24103356,1.642048915,0.1080983489,0,0,0,0,0
transfer-unsupported,26,28,20,14,0,1,0.4198391122,0.8151851608,0.2200402088,1.178808264,45.08553866,3.849106806,0.0364727197,0,0,0,0,0
transfer-unsupported,27,21,22,2,0,1,4.560166377,4.158166911,2.242829696,0.5416187073,47.95793029,4.097932202,0.1044405373,0,0,0,0,0
transfer-unsupported,28,7,21,3,5,0,3.098524035,2.310080714,1.85310682,3.349282857,41.2539683,2.433540098,0.008879355968,0,0,0,0,0
transfer-unsupported,29,22,3,11,0,15,0.849977821,2.407261584,1.315387155,2.406641541,39.91081784,4.021028414,0.1028144428,0,0,0,0,0
transfer-unsupported,30,30,15,3,15,0,4.805345703,3.974032312,1.126474415,3.001129705,35.56343302,3.724288061,0.04348586135,0,0,0,0,0
transfer-unsupported,31,6,20,16,0,5,1.971989924,1.82727094,1.648967865,3.428371325,35.0594212,1.820455175,0.2101828127,0,0,0,0,0
transfer-unsupported,32,4,25,23,0,3,1.854752644,1.705840236,1.634452768,0.696915923,33.2337971,1.586408067,0.0826163406,0,0,0,0,0
transfer-unsupported,33,25,28,27,0,8,2.587613543,3.190185714,2.876214703,3.708753449,28.33274437,0.3970079519,0.01967223109,0,0,0,0,0
transfer-unsupported,34,27,29,17,12,0,1.876620971,2.486666431,4.077277328,4.451556042,23.60561515,2.297878585,0.1530939926,0,0,0,0,0
transfer-unsupported,35,21,5,26,19,0,1.66692328,4.141131226,2.736035125,1.775534354,14.63380718,3.324590563,0.08409621494,0,0,0,0,0
transfer-unsupported,36,27,2,7,0,17,0.9361409997,0.8972290163,0.7776647947,0.4350515369,19.84480421,3.028602833,0.1688615762,0,0,0,0,0
transfer-unsupported,37,10,23,26,9,0,0.9235325163,4.062743227,0.4213004943,2.323934081,48.75063494,2.271750902,0.2368281534,0,0,0,0,0
transfer-unsupported,38,21,8,15,0,15,4.053672695,0.9714312959,4.267639713,2.578342708,4.7972304,0.3313700741,0.2698271301,0,0,0,0,0
transfer-unsupported,39,22,9,19,21,0,0.2656645473,2.276407358,1.593690722,0.6347770175,2.119799627,0.3705163177,0.02544306807,0,0,0,0,0
transfer-unsupported,40,1,18,23,0,0,4.497729031,0.2624936743,0.5232209801,3.116270544,34.15321844,0.164969554,0.2639285637,0,0,0,0,0
