cell,purity_min,recovery_min,label,headline_allowed,n_eligible,n_ineligible,candidate,support_rank,p_both_feasible,p_both,p_feasible,p_constraints,purity_p50,recovery_p50,purity_p5,purity_p95,recovery_p5,recovery_p95,consumption_index_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,throughput_median,statuses_used,feed_stage_offset,scrub_return_offset,s_over_a,w_over_a,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,s2d_fraction_kept,s2d_passes
0.95_0.80,0.95,0.8,transfer-unsupported,False,153,147,100,2,0,0.125,0,0,0.84028,0.701007,0.793693,1,0.155785,0.858434,1245.06,26,4,15,7,4.8301,0.0143314,INTERPOLATION,0,3,1.07797,4.88408,4.07904,38.0618,2.7531,0.220167,0.55,False
0.95_0.85,0.95,0.85,transfer-unsupported,False,153,147,100,2,0,0.109375,0,0,0.84028,0.701007,0.793693,1,0.155785,0.858434,1245.06,26,4,15,7,4.8301,0.0143314,INTERPOLATION,0,3,1.07797,4.88408,4.07904,38.0618,2.7531,0.220167,0.35,False
0.95_0.90,0.95,0.9,transfer-unsupported,False,153,147,214,2,0,0.046875,0,0,0.771215,0.798305,0.650794,0.999593,0.224521,0.939433,1430.75,30,14,3,13,3.11887,0.0103345,INTERPOLATION,1,0,0.440069,4.72758,3.69485,4.41602,2.78364,0.274186,0.65,False
0.97_0.80,0.97,0.8,transfer-unsupported,False,153,147,100,2,0,0.125,0,0,0.84028,0.701007,0.793693,1,0.155785,0.858434,1245.06,26,4,15,7,4.8301,0.0143314,INTERPOLATION,0,3,1.07797,4.88408,4.07904,38.0618,2.7531,0.220167,0.55,False
0.97_0.85,0.97,0.85,transfer-unsupported,False,153,147,100,2,0,0.109375,0,0,0.84028,0.701007,0.793693,1,0.155785,0.858434,1245.06,26,4,15,7,4.8301,0.0143314,INTERPOLATION,0,3,1.07797,4.88408,4.07904,38.0618,2.7531,0.220167,0.35,False
0.97_0.90,0.97,0.9,transfer-unsupported,False,153,147,214,2,0,0.046875,0,0,0.771215,0.798305,0.650794,0.999593,0.224521,0.939433,1430.75,30,14,3,13,3.11887,0.0103345,INTERPOLATION,1,0,0.440069,4.72758,3.69485,4.41602,2.78364,0.274186,0.65,False
0.99_0.80,0.99,0.8,transfer-unsupported,False,153,147,214,2,0,0.078125,0,0,0.771215,0.798305,0.650794,0.999593,0.224521,0.939433,1430.75,30,14,3,13,3.11887,0.0103345,INTERPOLATION,1,0,0.440069,4.72758,3.69485,4.41602,2.78364,0.274186,0.65,False
0.99_0.85,0.99,0.85,transfer-unsupported,False,153,147,100,2,0,0.0625,0,0,0.84028,0.701007,0.793693,1,0.155785,0.858434,1245.06,26,4,15,7,4.8301,0.0143314,INTERPOLATION,0,3,1.07797,4.88408,4.07904,38.0618,2.7531,0.220167,0.5,False
0.99_0.90,0.99,0.9,transfer-unsupported,False,153,147,214,2,0,0.046875,0,0,0.771215,0.798305,0.650794,0.999593,0.224521,0.939433,1430.75,30,14,3,13,3.11887,0.0103345,INTERPOLATION,1,0,0.440069,4.72758,3.69485,4.41602,2.78364,0.274186,0.65,False
