label,draw,z_Nd,u_Nd,z_Pr,u_Pr,member,mean_offset_Nd,mean_offset_Pr
transfer-unsupported,0,-0.4323400055,0.3327471576,-1.129288009,0.1293881789,4,-0.4452845378,-1.163099603
transfer-unsupported,1,0.6738436579,0.7497946423,-0.3728644626,0.3546246613,1,0.6940189617,-0.3840282596
transfer-unsupported,2,2.013915583,0.9779908014,2.03397695,0.9790230402,0,2.074213485,2.094875501
transfer-unsupported,3,-0.3592629381,0.3596991986,0.1838364543,0.5729291214,1,-0.3700194969,0.1893406336
transfer-unsupported,4,1.61158909,0.9464743068,3.184687104,0.999275447,4,1.659841083,3.280038643
transfer-unsupported,5,-0.9232646653,0.1779346485,0.1742680855,0.5691726102,0,-0.9509077913,0.1794857818
transfer-unsupported,6,0.5177406292,0.6976803766,0.1384648773,0.555063487,4,0.5332421099,0.142610603
transfer-unsupported,7,1.092198183,0.8626269995,1.107244471,0.8659058774,3,1.124899285,1.140396068
transfer-unsupported,8,1.076240836,0.8590902195,0.3288747139,0.6288748062,4,1.108464165,0.3387214301
transfer-unsupported,9,-0.002491476637,0.4990060457,0.291950584,0.6148377965,3,-0.002566073018,0.3006917685
transfer-unsupported,10,0.01960235639,0.507819708,0.02543089218,0.5101443647,2,0.02018926329,0.02619230911
transfer-unsupported,11,-0.768416498,0.221119891,-0.4199955969,0.3372443352,4,-0.7914233723,-0.4325705297
transfer-unsupported,12,0.1876463981,0.5744230741,0.07992695433,0.531852324,3,0.1932646496,0.08232001772
transfer-unsupported,13,-0.01474794159,0.4941166358,0.5078897912,0.6942346827,3,-0.01518950426,0.5230963316
transfer-unsupported,14,-0.658603089,0.2550753394,0.0773006392,0.5308078088,0,-0.6783220806,0.07961506905
transfer-unsupported,15,-0.1534832816,0.4390085867,-0.0609013328,0.475718894,2,-0.1580786678,-0.06272475709
transfer-unsupported,16,-0.1908915281,0.4243052889,0.5407827794,0.7056713432,2,-0.1966069408,0.5569741567
transfer-unsupported,17,0.760569918,0.7765430034,0.5132602499,0.6961153572,3,0.7833418606,0.5286275852
transfer-unsupported,18,-0.4385210147,0.3305043199,1.086761068,0.8614287912,0,-0.4516506103,1.119299379
transfer-unsupported,19,0.5390181728,0.7050628424,-0.4917329578,0.3114540681,4,0.5551567166,-0.5064557525
transfer-unsupported,20,-0.004381248975,0.4982521401,-0.08644176668,0.4655576231,4,-0.00451242633,-0.08902988765
transfer-unsupported,21,0.7218949489,0.7648204665,0.3143785927,0.6233832434,3,0.7435089386,0.3237912859
transfer-unsupported,22,-0.7393272288,0.2298541596,0.5003320065,0.6915793396,0,-0.7614631519,0.5153122621
transfer-unsupported,23,-1.992542779,0.02315576814,-2.38397015,0.008563495764,4,-2.052200766,-2.455347719
transfer-unsupported,24,-0.522775577,0.3005652187,-0.7320146062,0.2320798264,4,-0.5384278072,-0.7539315848
transfer-unsupported,25,-0.1272912491,0.4493549431,-0.09367988342,0.4626817253,0,-0.1311024293,-0.09648471817
transfer-unsupported,26,0.9978008479,0.8408120305,-0.4624908614,0.3218646771,2,1.027675634,-0.4763381293
transfer-unsupported,27,2.983604158,0.9985756247,2.450057694,0.9928583337,3,3.072935147,2.523413966
transfer-unsupported,28,-0.7730795279,0.219737658,-0.9418863774,0.1731254076,0,-0.7962260161,-0.9700870492
transfer-unsupported,29,-0.4829002926,0.314583267,-1.981898917,0.02374527757,0,-0.4973586317,-2.04123822
transfer-unsupported,30,0.4007697693,0.655705181,-0.558016974,0.2884163967,2,0.4127690688,-0.5747243539
