label,draw,candidate,status,regime_status,in_domain,on_spec,purity_mol,recovery_from_feed,recovery_total,net_product_mol_h,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,consumption_index,consumption_index_incomplete,acid_mol_per_kg_oxide,throughput_kg_oxide_per_h,throughput_mol_T_per_h_per_L_org,max_loading,flags,n_flags,ood_distance_max,balance_rel_max,iterations,front,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,saponification_degree,scrub_complexant_M,strip_anion_M,feed_dilution,f_bleed
transfer-unsupported,0,0,converged_newton,INADMISSIBLE,False,False,1,1.772380046e-06,0.417760722,-0.06930312449,39,26,6,7,1.182977172,2.733690865,2.158770057,3414.031448,False,3414.031448,0.005271367455,0.02648576396,0.6365069147,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.522066522e-15,14,3,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,1,0,converged_newton,INADMISSIBLE,False,False,1,5.284619568e-05,0.3029896047,-0.0779109583,39,26,6,7,1.182977172,2.733690865,2.158770057,4707.251407,False,4707.251407,0.00382316828,0.01920934815,0.8335740546,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,37,5,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,2,0,failed,INADMISSIBLE,False,,,,,,39,26,6,7,1.182977172,2.733690865,2.158770057,,True,,,,,HIGH_LOADING|NOT_CONVERGED|OA_ASSUMED|THIRD_PHASE_RISK,4,0,0.8835617103,20,8,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,3,0,converged_newton,INADMISSIBLE,False,False,0.9874495306,4.794952285e-07,0.4068368534,-0.07012241464,39,26,6,7,1.182977172,2.733690865,2.158770057,3505.700702,False,3505.700702,0.005133528442,0.02579319764,0.688849654,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,8.219159218e-15,15,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,4,0,converged_newton,INADMISSIBLE,False,False,0.9276010806,1.385771542e-13,0.1453241287,-0.089735869,39,26,6,7,1.182977172,2.733690865,2.158770057,9814.256282,False,9814.256282,0.001833721654,0.009213457291,0.9573117799,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.826479826e-15,31,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,5,0,converged_newton,INADMISSIBLE,False,False,0.9195683829,1.215532219e-11,0.3408937296,-0.07506814893,39,26,6,7,1.182977172,2.733690865,2.158770057,4183.850036,False,4183.850036,0.004301448214,0.02161244555,0.6337681264,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.065446565e-15,15,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,6,0,converged_newton,INADMISSIBLE,False,False,1,3.96014591e-05,0.3214691839,-0.07652498985,39,26,6,7,1.182977172,2.733690865,2.158770057,4436.656184,False,4436.656184,0.004056346383,0.02038094171,0.8145447053,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.389228514e-13,25,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,7,0,converged_newton,INADMISSIBLE,False,False,0.9999993144,8.282000417e-05,0.2551445707,-0.08149933584,39,26,6,7,1.182977172,2.733690865,2.158770057,5589.961168,False,5589.961168,0.003219452465,0.01617600344,0.8811273566,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.008820283e-13,71,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,8,0,failed,INADMISSIBLE,False,,,,,,39,26,6,7,1.182977172,2.733690865,2.158770057,,True,,,,,HIGH_LOADING|NOT_CONVERGED|OA_ASSUMED|THIRD_PHASE_RISK,4,0,0.9999318149,20,12,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,9,0,converged_newton,INADMISSIBLE,False,False,0.999720611,7.58387032e-06,0.3809355496,-0.07206501242,39,26,6,7,1.182977172,2.733690865,2.158770057,3744.067058,False,3744.067058,0.004806701906,0.02415107146,0.7427887449,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,17,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
