cell,rank,label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used,support_rank,obj_p_both_feasible,obj_p_both
0.95_0.80,11,transfer-unsupported,167,64,64,0,0.79344,0.998081,1,1.52894e-23,0.0297071,0.0842963,1,0.03125,0.03125,0,0.96875,0.671875,0.65625,0.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075.45,0.00229339,54,1,30,23,3.66486,4.80842,3.9234,0,0,0.755649,10.7137,1.45613,0.291712,INTERPOLATION,2,0,0
0.95_0.80,12,transfer-unsupported,285,64,64,0,0.87854,0.971048,0.999842,0.0121199,0.0536677,0.0669766,1,0.03125,0.03125,0,0.96875,0.6875,0.515625,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4910.09,0.00418411,22,1,1,20,3.64916,2.07789,3.56864,0,0,2.19023,44.3425,4.48162,0.0606577,INTERPOLATION,2,0,0
0.95_0.80,13,transfer-unsupported,243,64,60,4,0.89667,1,1,2.2834e-20,7.28922e-07,0.00470333,0.9375,0.03125,0.03125,0,0.96875,0.8125,0.734375,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4976.51,0.00268673,49,22,18,9,2.28893,4.95226,0.943982,4,0,2.4668,10.8624,1.22279,0.0843851,INTERPOLATION,2,0,0
0.95_0.80,14,transfer-unsupported,160,64,64,0,0.871491,1,1,2.51749e-17,1.15597e-06,0.00188873,1,0.03125,0.03125,0,0.96875,0.859375,0.828125,0.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6017.27,0.00217805,37,25,7,5,1.50599,2.42471,3.54219,13,0,1.91176,13.8725,2.39129,0.0710048,INTERPOLATION,2,0,0
0.95_0.80,15,transfer-unsupported,143,64,64,0,0.903824,1,1,4.36772e-18,1.80725e-07,0.00470507,1,0.03125,0.03125,0,0.96875,0.90625,0.828125,0.796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6594.29,0.000418085,17,4,10,3,2.3503,3.78861,1.28399,3,0,0.2046,22.2568,1.5435,0.233505,INTERPOLATION,2,0,0
0.95_0.80,16,transfer-unsupported,121,64,63,1,0.674322,0.869727,1,0.000413634,0.125189,0.161178,0.984375,0.03125,0.03125,0,0.96875,0.375,0.359375,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10986.6,0.00222886,47,2,28,17,4.88184,1.68719,4.0447,1,0,2.88831,6.41557,4.84942,0.0773165,INTERPOLATION,2,0,0
0.95_0.80,17,transfer-unsupported,71,64,64,0,0.612213,0.907284,1,2.22544e-08,0.0366775,0.0452615,1,0.03125,0.03125,0,0.96875,0.421875,0.390625,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22389.4,0.000729933,29,1,27,1,4.06687,4.43541,2.0664,0,0,2.36162,3.23964,2.83914,0.103313,INTERPOLATION,2,0,0
0.95_0.80,18,transfer-unsupported,127,64,64,0,0.329218,0.999761,1,1.08523e-29,0.00237304,0.557098,1,0.015625,0.015625,0,0.984375,0.671875,0.671875,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.132,0.00632832,57,21,14,22,4.47637,2.00725,3.82177,16,0,0.177006,20.4521,0.155609,0.178235,INTERPOLATION,2,0,0
0.95_0.80,19,transfer-unsupported,73,64,64,0,0.953222,1,1,2.26164e-14,9.248e-08,2.85579e-05,1,0.015625,0.015625,0,0.984375,0.953125,0.90625,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.433,0.00705411,48,15,12,21,4.81851,4.91679,1.0025,0,14,0.764964,41.1386,0.304158,0.0738371,INTERPOLATION,2,0,0
0.95_0.80,20,transfer-unsupported,19,64,64,0,0.804007,0.886611,1,0.000222129,0.559957,0.663409,1,0.015625,0.015625,0,0.984375,0.40625,0.375,0.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897.809,0.0164158,51,2,20,29,4.17982,4.08046,4.40829,1,0,2.50441,16.4635,1.02515,0.260822,INTERPOLATION,2,0,0
