cell,rank,label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used,support_rank,obj_p_both_feasible,obj_p_both
0.95_0.85,90,transfer-unsupported,132,64,64,0,0.9842,0.999999,1,2.74372e-09,3.69266e-06,9.54935e-05,1,0,0,0,1,1,0.96875,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4225.09,0.000723412,32,19,5,8,0.398783,3.28627,0.370568,0,13,0.787635,25.716,1.2632,0.252175,INTERPOLATION,2,0,0
0.95_0.85,91,transfer-unsupported,264,64,62,2,0.981916,1,1,5.48694e-23,7.1929e-13,7.11006e-09,0.96875,0,0,0,1,0.953125,0.9375,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353.19,0.00130855,69,22,20,27,0.838483,3.67736,0.923726,0,1,1.15424,18.5928,1.57167,0.14386,INTERPOLATION,2,0,0
0.95_0.85,92,transfer-unsupported,286,64,64,0,0.370785,0.815529,0.99561,0.00909237,0.0443881,0.056372,1,0,0,0,1,0.234375,0.203125,0.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4765.11,0.000758618,18,6,1,11,2.26649,0.73269,2.44001,0,4,0.0521574,30.4793,1.46583,0.197336,INTERPOLATION,2,0,0
0.95_0.85,93,transfer-unsupported,186,64,64,0,0.799501,0.942123,1,1.33249e-09,0.0971226,0.12631,1,0,0,0,1,0.484375,0.453125,0.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4804.64,0.00278926,41,9,11,21,1.72307,1.54719,1.82898,6,0,2.91346,21.1823,4.86268,0.203534,INTERPOLATION,2,0,0
0.95_0.85,94,transfer-unsupported,20,64,64,0,0.870971,1,1,2.37643e-10,5.14924e-07,8.14365e-06,1,0,0,0,1,0.921875,0.890625,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817.65,0.00391845,45,20,5,20,0.476081,4.33716,3.39157,2,0,3.9153,30.7216,0.558321,0.251612,INTERPOLATION,2,0,0
0.95_0.85,95,transfer-unsupported,12,64,63,1,0.967317,1,1,5.52154e-26,2.8966e-17,6.87293e-14,0.984375,0,0,0,1,0.984375,0.921875,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5728.73,0.00218747,50,19,21,10,0.565881,2.98408,4.23181,1,0,1.55164,28.5904,1.86711,0.149581,INTERPOLATION,2,0,0
0.95_0.85,96,transfer-unsupported,272,64,63,1,0.88771,1,1,6.06794e-15,7.56705e-05,0.00682091,0.984375,0,0,0,1,0.84375,0.765625,0.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5862.3,0.00257315,24,9,14,1,2.96579,1.89684,3.52189,8,0,1.1629,46.9879,3.65676,0.115874,INTERPOLATION,2,0,0
0.95_0.85,97,transfer-unsupported,29,64,64,0,0.952284,0.999725,1,1.43291e-05,0.000886478,0.00133977,1,0,0,0,1,0.953125,0.890625,0.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6310.63,0.00175619,36,22,3,11,0.849978,2.40726,1.31539,0,15,2.40664,39.9108,4.02103,0.102814,INTERPOLATION,2,0,0
0.95_0.85,98,transfer-unsupported,189,64,64,0,0.762814,0.92816,0.999995,0.00226961,0.0869079,0.106747,1,0,0,0,1,0.453125,0.4375,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6542.22,0.00225548,18,4,3,11,1.77131,1.89002,2.05196,0,3,2.76068,14.4133,4.64825,0.159226,INTERPOLATION,2,0,0
0.95_0.85,99,transfer-unsupported,117,64,64,0,0.429251,0.837067,1,0.00769018,0.187261,0.280888,1,0,0,0,1,0.359375,0.328125,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7236.71,0.00265851,27,13,12,2,3.06553,0.376578,4.14928,7,0,1.24531,16.6975,4.5236,0.184229,INTERPOLATION,2,0,0
0.95_0.85,100,transfer-unsupported,124,64,63,1,0.98843,1,1,3.92454e-26,1.07174e-18,1.94348e-16,0.984375,0,0,0,1,0.984375,0.984375,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8238.76,0.00138175,47,10,22,15,0.721188,3.20856,0.703637,0,7,2.60434,36.3926,4.30295,0.122705,INTERPOLATION,2,0,0
0.95_0.85,101,transfer-unsupported,297,64,63,1,0.707364,0.991185,1,4.89263e-07,0.0381115,0.0493725,0.984375,0,0,0,1,0.5625,0.546875,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10189.4,0.0015368,32,21,10,1,1.16595,0.586399,2.93918,0,10,4.65276,36.1928,4.39939,0.112951,INTERPOLATION,2,0,0
0.95_0.85,102,transfer-unsupported,3,64,64,0,0.8511,1,1,2.99114e-20,4.96766e-10,5.66353e-07,1,0,0,0,1,0.890625,0.875,0.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10292.9,0.00183818,41,11,11,19,0.247728,0.708949,3.96968,9,0,2.80905,45.2166,4.26447,0.253811,INTERPOLATION,2,0,0
0.95_0.85,103,transfer-unsupported,95,64,64,0,0.785492,0.940491,1,0.000268428,0.0506987,0.0827466,1,0,0,0,1,0.46875,0.453125,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10503.6,0.00181033,31,16,4,11,1.90105,4.30998,1.50449,0,12,2.97705,10.3057,4.11031,0.243267,INTERPOLATION,2,0,0
0.95_0.85,104,transfer-unsupported,262,64,64,0,0.878983,0.982361,1,4.65171e-09,0.0309011,0.0443858,1,0,0,0,1,0.578125,0.515625,0.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10768.3,0.00158308,56,5,22,29,4.99139,4.10147,0.488107,0,4,3.64603,25.273,4.28572,0.17712,INTERPOLATION,2,0,0
0.95_0.85,105,transfer-unsupported,153,64,64,0,0.574713,0.8318,1,8.51007e-05,0.0836464,0.110371,1,0,0,0,1,0.375,0.375,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10857.4,0.00133991,39,7,29,3,3.56906,2.95258,1.68618,0,5,2.67692,5.5171,3.9403,0.279217,INTERPOLATION,2,0,0
0.95_0.85,106,transfer-unsupported,13,64,64,0,0.980498,1,1,6.68431e-11,3.17337e-08,1.59255e-07,1,0,0,0,1,1,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12003.5,0.00260389,31,6,7,18,0.426003,4.85607,2.32407,0,3,4.44579,39.4556,4.15944,0.226167,INTERPOLATION,2,0,0
0.95_0.85,107,transfer-unsupported,202,64,64,0,0.996653,1,1,9.48904e-32,4.49856e-26,1.09446e-23,1,0,0,0,1,1,1,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13858.9,0.00154275,44,24,16,4,0.440461,3.35612,2.56922,7,0,3.21151,44.832,4.12676,0.133847,INTERPOLATION,2,0,0
0.95_0.85,108,transfer-unsupported,107,64,64,0,0.556623,0.849618,1,1.9654e-06,0.111555,0.138269,1,0,0,0,1,0.375,0.375,0.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14617.9,0.00185312,43,10,23,10,4.03653,4.69642,2.62297,0,9,4.82278,2.67629,1.69184,0.106415,INTERPOLATION,2,0,0
0.95_0.85,109,transfer-unsupported,126,64,64,0,0.260345,0.851918,1,5.45401e-08,0.0686553,0.0927127,1,0,0,0,1,0.390625,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14932.9,0.00101786,48,8,13,27,3.54031,0.652648,4.6252,0,7,0.315819,8.97446,3.24136,0.22557,INTERPOLATION,2,0,0
0.95_0.85,110,transfer-unsupported,36,64,64,0,0.687592,0.933676,0.999907,0.000209245,0.00455713,0.00767069,1,0,0,0,1,0.4375,0.375,0.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16144.5,0.000170066,36,27,2,7,0.936141,0.897229,0.777665,0,17,0.435052,19.8448,3.0286,0.168862,INTERPOLATION,2,0,0
0.95_0.85,111,transfer-unsupported,21,64,64,0,0.630392,0.837612,1,0.00163955,0.0578702,0.0793397,1,0,0,0,1,0.34375,0.3125,0.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17255.3,0.000904053,39,18,9,12,3.3278,2.38609,1.15458,0,14,4.25946,5.29584,4.70751,0.195578,INTERPOLATION,2,0,0
0.95_0.85,112,transfer-unsupported,74,64,64,0,0.100452,0.869171,1,0.000243268,0.0220239,0.0283359,1,0,0,0,1,0.390625,0.359375,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17559.1,0.000284391,42,17,5,20,4.33584,4.1211,0.386299,0,7,1.10185,0.423085,1.17195,0.255552,INTERPOLATION,2,0,0
0.95_0.85,113,transfer-unsupported,231,64,64,0,0.740739,0.987339,1,3.24139e-09,0.00321499,0.00914739,1,0,0,0,1,0.640625,0.609375,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18061.1,0.000209223,18,2,9,7,4.97802,3.49156,1.06722,0,1,0.573,12.6604,1.66614,0.191636,INTERPOLATION,2,0,0
0.95_0.85,114,transfer-unsupported,221,64,64,0,0.992359,1,1,6.23505e-19,1.10643e-12,5.99449e-10,1,0,0,0,1,1,1,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19185.9,0.00101654,52,11,13,28,0.3533,3.42634,3.13526,0,10,1.29042,18.0371,4.81035,0.156806,INTERPOLATION,2,0,0
0.95_0.85,115,transfer-unsupported,193,64,64,0,0.168556,0.894637,1,0.000420496,0.0467073,0.0600427,1,0,0,0,1,0.40625,0.390625,0.359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19251.5,0.000615978,42,11,6,25,4.60114,3.80025,2.29983,0,3,0.985301,0.827133,3.52785,0.28518,INTERPOLATION,2,0,0
0.95_0.85,116,transfer-unsupported,138,64,64,0,0.662012,0.826028,0.994475,0.0203991,0.0585225,0.0736619,1,0,0,0,1,0.203125,0.125,0.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19692.2,0.000916852,34,13,1,20,1.82119,3.59458,0.649789,0,11,4.36384,3.67996,3.64473,0.144457,INTERPOLATION,2,0,0
0.95_0.85,117,transfer-unsupported,128,64,64,0,0.771441,0.975912,1,7.40865e-26,0.00930346,0.0334703,1,0,0,0,1,0.609375,0.53125,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27233,0.000862395,62,8,28,26,4.63719,2.68802,4.60598,0,5,0.462341,26.4339,4.82899,0.276721,INTERPOLATION,2,0,0
0.95_0.85,118,transfer-unsupported,182,64,64,0,0.935337,1,1,3.46524e-26,6.73606e-11,0.00319719,1,0,0,0,1,0.921875,0.90625,0.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29533,0.000408559,47,12,19,16,2.5526,1.57073,3.44343,0,11,0.154992,44.0241,3.43336,0.134151,INTERPOLATION,2,0,0
0.95_0.85,119,transfer-unsupported,172,64,64,0,0.980691,1,1,2.59844e-16,1.27904e-09,0.000217221,1,0,0,0,1,0.953125,0.953125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164521,9.05734e-05,26,12,7,7,0.251339,0.464851,3.59108,0,11,0.0268862,27.2216,4.14602,0.232623,INTERPOLATION,2,0,0
0.95_0.85,120,transfer-unsupported,79,64,64,0,0.964672,1,1,1.55438e-35,2.00213e-16,0.00577684,1,0.625,0.625,0,0,0.953125,0.9375,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56487.8,0.000223093,39,14,13,12,3.82992,2.89053,2.13148,12,0,2.28084,3.40844,2.81925,0.0214036,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,121,transfer-unsupported,98,64,64,0,1,1,1,5.95566e-54,2.46573e-32,1.99107e-11,1,0.546875,0.546875,0,0.109375,0.96875,0.96875,0.953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31072.3,0.000177522,51,29,4,18,1.45207,2.21815,2.59802,22,0,0.108685,7.80557,2.03012,0.0325723,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,122,transfer-unsupported,39,64,64,0,1,1,1,1.06539e-79,9.63625e-54,1.22341e-23,1,0.546875,0.546875,0,0,1,0.984375,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127140,1.60219e-05,50,22,9,19,0.265665,2.27641,1.59369,21,0,0.634777,2.1198,0.370516,0.0254431,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,123,transfer-unsupported,237,64,63,1,0.623441,1,1,3.17253e-24,1.04963e-09,0.000655554,0.984375,0.5,0.5,0,0,0.84375,0.828125,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9877.99,0.000797717,39,1,24,14,3.36081,0.49501,4.16873,0,0,1.72098,20.1393,1.68587,0.0097835,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,124,transfer-unsupported,220,64,64,0,0.979647,1,1,1.7034e-14,5.57792e-10,9.78058e-08,1,0.4375,0.4375,0,0,0.96875,0.953125,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607.12,0.00045483,43,23,4,16,2.87394,0.717407,1.36748,3,0,0.504947,47.191,0.269583,0.00747231,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,125,transfer-unsupported,134,64,63,1,0.964819,1,1,7.85698e-40,7.88522e-25,1.97564e-18,0.984375,0.328125,0.328125,0,0.28125,0.953125,0.921875,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063.29,0.00102366,72,29,19,24,1.29938,2.01756,1.70347,12,0,2.07722,18.7381,2.38522,0.0334287,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,126,transfer-unsupported,122,64,63,1,0.991251,1,1,1.92418e-51,4.70086e-33,1.05736e-21,0.984375,0.328125,0.328125,0,0,0.984375,0.953125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9105.17,0.00117926,67,16,29,22,3.79193,3.76248,3.04507,7,0,1.41904,14.8897,1.77277,0.0182617,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,127,transfer-unsupported,251,64,63,1,0.989693,1,1,2.32394e-40,4.76202e-27,3.98763e-21,0.984375,0.328125,0.328125,0,0.1875,0.984375,0.96875,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13716,0.00194883,61,6,26,29,2.91002,4.37647,3.87762,5,0,2.50487,22.8284,4.06633,0.0317073,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,128,transfer-unsupported,177,64,64,0,0.595457,0.939541,1,3.24167e-12,0.00356418,0.00570482,1,0.1875,0.1875,0,0.8125,0.46875,0.421875,0.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138122,7.45723e-05,58,29,2,27,3.62627,4.6599,0.611271,14,0,1.75643,0.960067,3.46041,0.0483488,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,129,transfer-unsupported,129,64,64,0,1,1,1,1.75781e-52,1.68151e-44,7.91901e-40,1,0.15625,0.15625,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48255.3,0.000415578,45,10,25,10,3.09244,2.92185,2.03996,3,0,3.58414,30.9828,4.69671,0.00474746,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,130,transfer-unsupported,135,64,61,3,0.95371,1,1,4.65275e-41,4.51343e-25,9.69275e-20,0.953125,0.140625,0.140625,0,0.09375,0.90625,0.875,0.859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4646.28,0.00350778,55,12,26,17,4.25228,3.22747,3.22342,11,0,2.88048,30.2581,2.17206,0.0273492,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,131,transfer-unsupported,187,64,64,0,0.965267,0.999999,1,7.10035e-11,1.81327e-07,9.71969e-06,1,0.125,0.125,0,0,0.953125,0.90625,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61813.1,0.000213292,41,28,1,12,0.643459,0.632665,3.98199,3,0,0.137253,38.4377,3.28738,0.0239317,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,132,transfer-unsupported,28,64,64,0,1,1,1,1.61404e-40,4.97448e-34,4.67345e-30,1,0.109375,0.109375,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13131.3,0.000932736,31,7,21,3,3.09852,2.31008,1.85311,5,0,3.34928,41.254,2.43354,0.00887936,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,133,transfer-unsupported,113,64,64,0,0.992457,1,1,1.67861e-15,3.5829e-12,6.99537e-11,1,0.109375,0.109375,0,0,1,1,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19830.6,0.001572,50,22,10,18,4.67324,2.56682,4.74528,0,0,3.93927,43.4286,4.43842,0.0109358,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,134,transfer-unsupported,266,64,63,1,0.969017,1,1,1.8812e-25,5.07158e-17,5.15299e-14,0.984375,0.046875,0.046875,0,0.953125,0.953125,0.921875,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412.1,0.00545559,78,28,20,30,4.53288,4.66607,1.66255,0,4,1.3989,48.9968,0.707609,0.0423467,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,135,transfer-unsupported,184,64,64,0,0.588231,0.999961,1,7.99732e-07,0.00133398,0.00971527,1,0.046875,0.046875,0,0.796875,0.75,0.734375,0.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2597.69,0.00587998,17,7,1,9,4.31081,3.11148,2.46217,5,0,4.84727,24.5927,0.0737783,0.0389396,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,136,transfer-unsupported,267,64,64,0,0.837624,1,1,1.89702e-23,8.00124e-12,2.21811e-06,1,0.046875,0.046875,0,0,0.890625,0.890625,0.859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808.67,0.00037293,64,27,16,21,3.4079,0.34757,0.646287,0,4,0.408167,27.0786,1.40102,0.0063099,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,137,transfer-unsupported,263,64,64,0,0.978991,1,1,1.96281e-12,5.83181e-08,4.83859e-06,1,0.046875,0.046875,0,0.203125,1,0.96875,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061.84,0.00201532,41,13,7,21,3.92944,3.93471,1.88895,0,12,0.928109,31.4358,1.33269,0.0286497,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,138,transfer-unsupported,180,64,64,0,0.830028,1,1,1.47403e-17,7.88408e-09,7.92359e-06,1,0.046875,0.046875,0,0,0.890625,0.890625,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642.92,0.000558947,34,15,4,15,1.44739,0.365988,0.462221,13,0,3.07168,24.0865,1.97308,0.0137754,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,139,transfer-unsupported,299,64,63,1,0.883092,1,1,4.48317e-12,1.55574e-05,0.000938436,0.984375,0.046875,0.046875,0,0.75,0.875,0.84375,0.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6861.79,0.00396129,56,23,12,21,4.76012,4.77565,3.74082,0,10,3.72641,14.006,2.50896,0.0356449,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,140,transfer-unsupported,66,64,62,2,0.944961,1,1,8.0341e-34,8.75967e-21,6.51056e-15,0.96875,0.046875,0.046875,0,0,0.90625,0.90625,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7033.56,0.00119502,74,21,27,26,2.78106,2.0454,3.03071,0,15,2.85276,17.3398,0.848053,0.0160352,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,141,transfer-unsupported,159,64,64,0,0.975064,1,1,2.09862e-22,9.19848e-16,1.06739e-12,1,0.046875,0.046875,0,0,0.96875,0.96875,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7319.81,0.000785089,42,22,16,4,1.243,1.58463,2.69299,0,2,3.24995,21.7621,0.221515,0.0208508,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,142,transfer-unsupported,217,64,64,0,0.824966,1,1,6.2404e-30,2.1173e-08,0.024529,1,0.046875,0.046875,0,0,0.859375,0.828125,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7827.99,0.00131083,42,3,29,10,4.46689,1.03282,2.82988,0,2,2.34522,16.9816,2.77003,0.022743,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,143,transfer-unsupported,26,64,64,0,0.999887,1,1,6.6266e-33,1.84865e-25,2.20113e-21,1,0.046875,0.046875,0,0.8125,1,1,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368.11,0.000216047,62,28,20,14,0.419839,0.815185,0.22004,0,1,1.17881,45.0855,3.84911,0.0364727,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,144,transfer-unsupported,273,64,64,0,0.954045,0.999997,1,7.21254e-08,7.99875e-05,0.000378122,1,0.046875,0.046875,0,0.09375,1,0.90625,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8847.81,0.00210962,56,21,6,29,4.9558,3.07712,1.26233,0,13,4.04406,28.7484,4.92851,0.0267816,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,145,transfer-unsupported,284,64,64,0,0.999999,1,1,1.39812e-21,1.0968e-16,2.41519e-14,1,0.046875,0.046875,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10363.3,0.00130552,41,24,11,6,3.20575,4.35892,1.13029,0,20,2.55148,47.1056,2.11958,0.0166715,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,146,transfer-unsupported,274,64,64,0,0.974377,1,1,1.64486e-09,6.02282e-07,4.01804e-06,1,0.046875,0.046875,0,0.671875,0.984375,0.953125,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11959.4,0.00101967,12,2,5,5,1.15737,2.94864,2.48657,0,1,2.17404,25.5621,2.32605,0.03496,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,147,transfer-unsupported,106,64,62,2,0.971848,1,1,2.87894e-20,2.5861e-14,2.10744e-12,0.96875,0.046875,0.046875,0,0.953125,0.9375,0.921875,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12357.1,0.00127599,63,25,15,23,1.00952,3.00027,1.9268,0,1,4.29211,19.111,1.49988,0.040386,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,148,transfer-unsupported,45,64,64,0,0.999995,1,1,2.26331e-39,1.43283e-31,5.11829e-27,1,0.046875,0.046875,0,0.3125,1,1,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14700.3,0.000924683,55,10,26,19,0.980404,3.94933,1.73021,0,9,3.03543,19.7866,0.925893,0.0298305,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,149,transfer-unsupported,258,64,64,0,0.845662,1,1,5.15935e-33,2.79198e-12,0.00200821,1,0.046875,0.046875,0,0.9375,0.90625,0.875,0.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23855.8,0.000487411,31,2,28,1,1.63067,0.678823,4.09105,0,1,0.716455,22.5241,2.72332,0.0396125,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,150,transfer-unsupported,222,64,64,0,0.99999,1,1,1.33337e-25,5.17104e-20,8.06573e-17,1,0.046875,0.046875,0,0,1,1,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27534.6,0.000302186,67,25,15,27,0.675653,1.2967,3.77627,0,21,3.85634,20.84,0.878956,0.0150062,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,151,transfer-unsupported,191,64,64,0,0.999672,1,1,3.21706e-33,9.40689e-25,2.28127e-20,1,0.046875,0.046875,0,0,1,1,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32927.4,0.000358224,57,14,23,20,1.26537,1.7631,0.891998,0,1,4.17311,15.6101,4.97501,0.012854,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
0.95_0.85,152,transfer-unsupported,219,64,64,0,1,1,1,2.17111e-67,6.42088e-50,4.13135e-36,1,0.046875,0.046875,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47886.8,5.91444e-05,65,23,25,17,0.313551,2.64335,1.01869,0,15,0.864222,10.4648,0.536804,0.0179973,CONDITION_EXTRAPOLATION|INTERPOLATION,1,0,0
