label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used
transfer-unsupported,10,64,64,0,0.387367,0.926291,1,0.000421914,0.1435,0.195457,1,0,0,0,1,0.453125,0.453125,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519.48,0.00338937,15,5,5,5,0.579652,0.29367,4.5351,0,4,2.32099,46.8201,1.73262,0.266037,INTERPOLATION
transfer-unsupported,11,64,63,1,0.787238,0.935116,1,1.53204e-14,0.0582306,0.0913728,0.984375,0,0,0,1,0.46875,0.4375,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12115.2,0.00173708,59,15,24,20,1.68283,3.27017,1.58955,0,14,4.23074,8.13736,4.53573,0.19042,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,12,64,63,1,0.967317,1,1,5.52154e-26,2.8966e-17,6.87293e-14,0.984375,0,0,0,1,0.984375,0.921875,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5728.73,0.00218747,50,19,21,10,0.565881,2.98408,4.23181,1,0,1.55164,28.5904,1.86711,0.149581,INTERPOLATION
transfer-unsupported,13,64,64,0,0.980498,1,1,6.68431e-11,3.17337e-08,1.59255e-07,1,0,0,0,1,1,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12003.5,0.00260389,31,6,7,18,0.426003,4.85607,2.32407,0,3,4.44579,39.4556,4.15944,0.226167,INTERPOLATION
transfer-unsupported,14,64,63,1,0.964447,1,1,1.5659e-10,1.52074e-06,2.63431e-05,0.984375,0.015625,0.015625,0,0.984375,0.984375,0.90625,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4669.02,0.00255662,55,25,8,22,2.0007,3.02906,2.86279,0,7,0.968471,39.8231,3.14495,0.0800066,INTERPOLATION
transfer-unsupported,15,64,63,1,0.200886,0.885788,1,1.32272e-06,0.0463054,0.0604378,0.984375,0.03125,0.03125,0,0.96875,0.40625,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22561.2,0.000663459,34,23,10,1,3.68323,1.85439,4.11064,0,6,2.12732,1.29886,2.68171,0.0532201,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,16,64,63,1,0.955156,1,1,2.49807e-17,3.76775e-08,4.46711e-05,0.984375,0.015625,0.015625,0,0.984375,0.9375,0.890625,0.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7826.19,0.000909757,44,21,11,12,1.20857,3.99646,0.27085,6,0,1.57992,26.0149,2.97526,0.228208,INTERPOLATION
transfer-unsupported,17,64,34,30,0.723994,0.821627,1,0.0633417,0.286761,0.399585,0.53125,0,0,0,1,0.1875,0.171875,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3731.17,0.00444617,71,30,13,28,4.63023,2.5992,2.14685,0,0,4.47023,5.87691,2.31519,0.246811,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,18,64,64,0,0.59434,0.951626,1,8.24534e-29,0.0392618,0.079657,1,0.015625,0.015625,0,0.984375,0.5,0.453125,0.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919.67,0.00160742,65,19,19,27,3.78296,1.78973,2.23039,17,0,0.223093,20.5345,1.20446,0.286065,INTERPOLATION
transfer-unsupported,19,64,64,0,0.804007,0.886611,1,0.000222129,0.559957,0.663409,1,0.015625,0.015625,0,0.984375,0.40625,0.375,0.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897.809,0.0164158,51,2,20,29,4.17982,4.08046,4.40829,1,0,2.50441,16.4635,1.02515,0.260822,INTERPOLATION
