cohort,model,macro_mae,macro_sd,n_rows
CORRECTED,GEN9_A0_ROW_ONLY,0.9892946856419286,0.024928388580739484,5248
CORRECTED,GEN9_A1_ADJ_d05,0.9967689779862807,0.027502297774869726,5248
CORRECTED,GEN9_A2_END_d05,1.070725929581012,0.061812718443449245,5248
CORRECTED,GEN9_A3_RAND_d05,1.0084370647569822,0.022123804257260144,5248
CORRECTED,GEN9_A4_MULTI_d05,0.9952896484819614,0.01755598047967,5248
CORRECTED,GEN9_REL_MONOLITH,0.9857290845367734,0.024564033119237206,5248
CORRECTED,GEN9_SHAPE_RECOMPOSED,0.9693209718485825,0.024657803714427048,5248
CORRECTED,GEN9_X_MULTI_d2,1.192720606716884,0.05160153370259452,5248
CORRECTED,GEN9_X_MULTI_d8c,1.2740043656444824,0.05699641011962978,5248
CORRECTED,REC_ecfp_plus_recovered,0.9805445161139122,0.021874907577231803,5248
FROZEN,GEN9_A0_ROW_ONLY,0.9893875800856147,0.025362775007779437,5248
FROZEN,GEN9_A1_ADJ_d05,0.9966690214030747,0.027919074434589377,5248
FROZEN,GEN9_A2_END_d05,1.0708683311051341,0.06184158247670083,5248
FROZEN,GEN9_A3_RAND_d05,1.0083215605028493,0.021647514689345584,5248
FROZEN,GEN9_A4_MULTI_d05,0.9954521864927575,0.017137873941884676,5248
FROZEN,GEN9_REL_MONOLITH,0.9858074152350824,0.024969251595615895,5248
FROZEN,GEN9_SHAPE_RECOMPOSED,0.9694845437352135,0.025371070455110056,5248
FROZEN,GEN9_X_MULTI_d2,1.1950837853623368,0.05183594732725963,5248
FROZEN,GEN9_X_MULTI_d8c,1.2730629582056383,0.057543140689452696,5248
FROZEN,REC_ecfp_plus_recovered,0.9807059571567518,0.022326183687605465,5248
QUARANTINED,GEN9_A0_ROW_ONLY,0.9885734661351575,0.025036222603812257,5178
QUARANTINED,GEN9_A1_ADJ_d05,0.9959402407170949,0.027542008484255573,5178
QUARANTINED,GEN9_A2_END_d05,1.070244235407372,0.0614292835939025,5178
QUARANTINED,GEN9_A3_RAND_d05,1.007568634724577,0.021976913413342125,5178
QUARANTINED,GEN9_A4_MULTI_d05,0.9945056966829032,0.017573922682116803,5178
QUARANTINED,GEN9_REL_MONOLITH,0.9850648684706051,0.024665535675199055,5178
QUARANTINED,GEN9_SHAPE_RECOMPOSED,0.9685722832113178,0.024834751431577755,5178
QUARANTINED,GEN9_X_MULTI_d2,1.1934965324309312,0.051642158319667904,5178
QUARANTINED,GEN9_X_MULTI_d8c,1.2739681802980678,0.05727088377942805,5178
QUARANTINED,REC_ecfp_plus_recovered,0.9797978551958082,0.021989721555951927,5178
