model,axis_label,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median,cohort
GEN9_A0_ROW_ONLY,acid,2105,1950,68,1.6557758087863772,0.38014228586656473,1.573632831690856,1.3167312845274695,0.17580767090810137,0.1804960024085286,0.2133011714762599,0.833729216152019,1.9269282814614344,0.46189053,0.22155679458756816,0.23817541518393792,0.12551381959878583,0.36935482895826655,0.21860539049810823,0.5959568777329679,0.5422527795547307,0.6237437865208048,0.7999855077347705,1.2757725301203773,5.0,5.0,1.0,0.9470198525344138,0.917337219586492,FROZEN
GEN9_A0_ROW_ONLY,contact_time,40,0,8,0.00014296899524398737,2.2344604124314783e-17,0.001590831783721304,0.0007401060706645178,0.029231124085575808,0.2854154414539576,0.5085688642824475,0.8,0.06287846248431395,0.017727335499999997,,0.059636278672119514,,,,0.03941835843327689,0.02491240078312181,0.20373406519139997,0.5533333333333333,1.9591603845672707,3.0,5.0,0.6,0.48523033936179816,0.1646628381999693,FROZEN
GEN9_A0_ROW_ONLY,extractant,775,775,25,2.573675226299942,0.10782603015388033,2.4439657529087198,2.339783220448659,0.043137629588542836,-0.0012953738774483428,-0.17323756645964394,0.8838709677419355,2.073913043478258,0.09307970999999993,0.04644511481739399,0.04644511481739399,0.018897339317352154,0.0829011477785474,0.04896026190879742,0.6662629248967843,0.5834469208871259,0.691652254394124,0.822923825278664,1.2206655594806421,5.0,5.0,1.0,0.8536828099550392,0.9940258395786431,FROZEN
GEN9_A0_ROW_ONLY,metal_concentration,45,30,4,-1.1226193871745382,-0.00041611708824528887,0.8496701789077875,1.1185152195740937,0.0017067319335272737,0.07700043360494738,0.03313511552031433,0.5555555555555556,0.72923076923077,0.006984108000000017,0.010897703197282699,0.015195555053999088,0.0034017827697843967,0.025048775212475536,0.010885138832140458,0.2651651999445861,0.22869910686538455,0.08519835124613408,0.5392158041667846,0.5525907865070766,6.0,8.0,0.8333333333333334,0.5608896733453907,0.7515429813530872,FROZEN
GEN9_A0_ROW_ONLY,metal_series,1605,1210,84,0.08443469855079262,0.044390836829882985,0.09401197240775981,0.08125226522875942,0.3119933048400828,0.3648604373649872,0.3829345800291866,0.7806853582554517,1.0261096605744122,0.4867136729999999,0.37776992312640684,0.4389345164110066,0.23014353108025973,0.5854128099885655,0.3781117094611297,0.2976969527362266,0.2407243121416207,0.49780783116816296,0.7272565586186797,1.0966585730744929,8.0,8.0,1.0,0.8278321207720577,0.8742223263723046,FROZEN
GEN9_A0_ROW_ONLY,temperature,160,160,5,-0.04032650561688559,0.0,0.038361391870903476,0.04044036932942144,0.0,-0.10999505797296709,-0.03897763102668089,0.49375,1.1765941508309075,0.0684819445,0.058980234553815056,0.058980234553815056,0.01996735568780316,0.09951755049554169,0.06672394517827582,0.38947553403340285,0.3819523404759144,0.11551598924193882,0.5877083333333333,1.2379727215188445,3.0,4.0,0.6,0.599748533385414,0.9893613987029377,FROZEN
GEN9_A1_ADJ_d05,acid,2105,1950,68,1.6557758087863772,0.43213839039278323,1.547899138046538,1.226732013055565,0.20734754408849843,0.1574484715749653,0.17212626408364226,0.8223277909738718,1.9269282814614344,0.5932939190000001,0.2821417386605821,0.30196158991780664,0.16161488733713347,0.49563090570704826,0.2782551991825143,0.5968595209123935,0.549603323989668,0.5657820195528609,0.7650130676090032,1.2733702319518148,5.0,5.0,1.0,0.8811582956125907,0.917337219586492,FROZEN
GEN9_A1_ADJ_d05,contact_time,40,0,8,0.00014296899524398737,8.9478140536824e-17,0.003542903749412224,0.0006578222215723199,5.089480212213434e-14,-0.030718406257594057,0.1446369644058525,0.65,0.06287846248431395,0.02653305750000002,,0.06424186278371656,,,,0.06128145224436815,0.026118146590986196,0.17485129433415342,0.5538088768115942,1.880690816820718,3.0,5.0,0.6,0.46369100793562035,0.1646628381999693,FROZEN
GEN9_A1_ADJ_d05,extractant,775,775,25,2.573675226299942,0.1052541365504362,2.4584764942750836,2.366008949901849,0.03944784807109573,-0.07683925086182991,-0.14668926946820796,0.7703225806451612,2.073913043478258,0.13953305600000002,0.06833425096099477,0.06833425096099477,0.03530408503803198,0.11470989065027817,0.06894010015007718,0.6760445244407953,0.5878734784411749,0.44448105295225765,0.700161369096853,1.2154207661644536,5.0,5.0,1.0,0.6885953532934765,0.9940258395786431,FROZEN
GEN9_A1_ADJ_d05,metal_concentration,45,30,4,-1.1226193871745382,-0.00209977664915062,0.8473890277919304,1.1183112023333643,0.0023096885294457774,0.2653103508144268,0.24188634329829464,0.5777777777777777,0.72923076923077,0.008363088999999997,0.013663329810971386,0.016614614391834037,0.003985018410661224,0.031104913770262595,0.013531633835997224,0.26472060812528736,0.2265129693653845,0.21111179931789523,0.5851580463835366,0.5603010020599049,6.0,8.0,0.8333333333333334,0.4835518643100649,0.7515429813530872,FROZEN
GEN9_A1_ADJ_d05,metal_series,1605,1210,84,0.08443469855079262,0.045938881511764715,0.09784289780079716,0.08385667059000004,0.3197407530217107,0.2945189531708505,0.3625840607302849,0.7657320872274144,1.0261096605744122,0.58620659,0.43023897683633205,0.5259522641251967,0.2984571630821755,0.6645624607808848,0.4167885543054102,0.3195142961465473,0.2554803970763355,0.44284527169488513,0.6968276060698515,1.104183335727802,8.0,8.0,1.0,0.7477244196708186,0.8742223263723046,FROZEN
GEN9_A1_ADJ_d05,temperature,160,160,5,-0.04032650561688559,-0.00046966121453824916,0.03691803368317742,0.0388107330374302,0.014132179213340392,0.018179636005046046,0.005503315769674661,0.59375,1.1765941508309075,0.0815704765,0.06751232003044852,0.06751232003044852,0.023423561822597132,0.16726248571579935,0.07338785554761112,0.3827540029575336,0.3555112674682798,0.2666857596845208,0.6142708333333333,1.2524340842524802,3.0,4.0,0.6,0.598994609853066,0.9893613987029377,FROZEN
GEN9_A2_END_d05,acid,2105,1950,68,1.6557758087863772,0.518530561820996,1.5127125919324824,1.1269188349825736,0.27221735797946794,0.03546107121094785,0.10183239236962648,0.7923990498812351,1.9269282814614344,0.8312778139999999,0.42024828611810894,0.45232604260370235,0.21322443212043737,0.7806879615197369,0.4237926513214119,0.6175336389537688,0.5341551734016419,0.5272974391769417,0.7486727797463523,1.2881268079066326,5.0,5.0,1.0,0.8193188786210762,0.917337219586492,FROZEN
GEN9_A2_END_d05,contact_time,40,0,8,0.00014296899524398737,4.468950441773841e-17,0.005189193730070134,0.0019254088999672788,2.1809829737921944e-14,-0.22207269813016586,0.004726476433851741,0.65,0.06287846248431395,0.01942855350000003,,0.05888587409955863,,,,0.08456674093568904,0.03004357958425965,0.16715678368415404,0.5402083333333334,2.2806651678160654,3.0,5.0,0.6,0.45248480106514843,0.1646628381999693,FROZEN
