arm,B,BR,BQ,A,BP
ALWAYS_HEAVY,0.613535,0.612559,0.612348,0.609564,0.626984
FLAT,0.588506,0.588506,0.588506,0.588506,0.588506
G14,0.493208,0.490592,0.490543,0.492134,0.500079
LOGK_DIR,0.538434,0.536754,0.537616,0.535442,0.55198
LOGK_PERM_0,0.608628,0.607728,0.607572,0.604541,0.621933
LOGK_PERM_1,0.607655,0.606667,0.606338,0.604334,0.6207
LOGK_PERM_2,0.613535,0.612559,0.612348,0.609564,0.626984
LOGK_PERM_3,0.619609,0.618746,0.618496,0.615704,0.632701
LOGK_PERM_4,0.608373,0.607327,0.607055,0.605024,0.621515
RAND_LIGHT_0,0.602205,0.602189,0.601204,0.601248,0.610817
RAND_LIGHT_1,0.622531,0.622536,0.621561,0.621776,0.63009
RAND_LIGHT_2,0.637841,0.638774,0.637459,0.63601,0.64598
