arm,B,BR,BQ,A,BP
ALWAYS_HEAVY,0.298448,0.298827,0.298233,0.301765,0.298087
FLAT,,,,,
G14,0.506237,0.502507,0.507846,0.51113,0.503769
LOGK_DIR,0.493073,0.491753,0.492119,0.493438,0.480483
LOGK_PERM_0,0.308333,0.308723,0.308099,0.311763,0.307998
LOGK_PERM_1,0.301707,0.302185,0.301487,0.305058,0.301243
LOGK_PERM_2,0.298448,0.298827,0.298233,0.301765,0.298087
LOGK_PERM_3,0.279581,0.279903,0.27932,0.282909,0.280291
LOGK_PERM_4,0.298448,0.298827,0.298233,0.301765,0.298087
RAND_LIGHT_0,0.251345,0.251435,0.253016,0.253859,0.255405
RAND_LIGHT_1,0.213052,0.215389,0.216371,0.211506,0.22269
RAND_LIGHT_2,0.184986,0.185785,0.187752,0.186915,0.194815
