arm,B,BR,BQ,A,BP
ALWAYS_HEAVY,0.629732,0.629617,0.629753,0.629712,0.628528
FLAT,0.0,0.0,0.0,0.0,0.0
G14,0.80815,0.8093,0.810177,0.808472,0.812246
G14_AUG_0.25,0.829186,0.819561,0.832211,0.823138,0.73453
G14_AUG_1.0,0.835291,0.832342,0.831414,0.831622,0.737266
LOGK_DIR,0.756665,0.756003,0.756253,0.757319,0.748544
LOGK_DIR_CB,0.409911,0.412722,0.414595,0.409529,0.423144
LOGK_NN,0.473042,0.475566,0.476693,0.473204,0.48365
