arm,B,BR,BQ,A,BP
ALWAYS_HEAVY,0.629732,0.629617,0.629753,0.629712,0.628528
FLAT,0.0,0.0,0.0,0.0,0.0
G14,0.80815,0.8093,0.810177,0.808472,0.812246
LOGK_DIR,0.756665,0.756003,0.756253,0.757319,0.748544
LOGK_PERM_0,0.637828,0.637735,0.637849,0.637808,0.636624
LOGK_PERM_1,0.641359,0.641245,0.641381,0.641339,0.640156
LOGK_PERM_2,0.629732,0.629617,0.629753,0.629712,0.628528
LOGK_PERM_3,0.618104,0.617989,0.618125,0.618084,0.617597
LOGK_PERM_4,0.641359,0.641245,0.641381,0.641339,0.640156
RAND_LIGHT_0,0.608687,0.609134,0.609211,0.609808,0.610898
RAND_LIGHT_1,0.583194,0.584726,0.584436,0.581052,0.587656
RAND_LIGHT_2,0.566869,0.568383,0.569147,0.568012,0.571668
