comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,split_seed
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,mae,0.03329766172009632,-0.039903235266527455,0.09835469937544551,0.27854429114177165,73,131,79,5000,-0.01726622672865444,40,0.21374045801526717,0.039739302412871026,-0.04581721200518932,0.11241253544538196,0.4046456952772287,-0.025199546514843265,0.1250450232989586,0.10396137589283386,0.142302635279569,104729
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,offset_mae,0.03667585702297103,-0.04637351871685457,0.10495587222271803,0.2531493701259748,73,131,79,5000,-0.016641691422010843,44,0.21374045801526717,0.04263446407065218,-0.04820284080244421,0.12155455484838626,0.3922933775519721,-0.02990752854922821,0.13142454291147357,0.08231025472694935,0.13055085596291116,104729
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,shape_mae,0.011040865686138882,-0.002998717666322233,0.02200101864096966,0.0623875224955009,71,131,79,5000,0.007149148270533574,41,0.21374045801526717,0.006371869705060395,-0.001644552439030618,0.023726283811308382,0.0870920636778492,-0.0017093264286434874,0.022865141994194368,0.004010615991203968,0.04714247855681878,104729
metalphys_vs_gen6_reference,IND_all,MET_physical,mae,0.06020207565446066,-0.01764012971440793,0.12081759025863924,0.06998600279944012,73,131,79,5000,0.04008201049112632,38,0.21374045801526717,0.03695010668649549,-0.013359935934628142,0.13376408724354946,0.10728606925201296,-0.0037756942410748762,0.13720178890362794,0.057684425107984175,0.09147769900997331,104729
metalphys_vs_gen6_reference,IND_all,MET_physical,offset_mae,0.06445685827467351,-0.028237113364808244,0.13439247778985672,0.08778244351129774,78,131,79,5000,0.036129773147143475,44,0.21374045801526717,0.0421757571368859,-0.019508624196209537,0.14842234074555655,0.1304854823427774,-0.010934826176941758,0.1463101220934483,0.04664018984972224,0.0849403360725049,104729
metalphys_vs_gen6_reference,IND_all,MET_physical,shape_mae,0.002316519145631255,-0.023375488420482905,0.020983754764924988,0.42811437712457506,69,131,79,5000,-0.0115517066370005,38,0.21374045801526717,0.011511286375923533,-0.020600691594128064,0.02523372988539057,0.8410356009511587,-0.02083571592165931,0.022989571953894443,0.003007958465459176,0.05988160910119514,104729
recovered_vs_its_base,REC_base,REC_plus_recovered,mae,0.021487581792080043,-0.052074790193685,0.07967471253138425,0.2591481703659268,69,131,79,5000,-0.005741648451216463,44,0.21374045801526717,0.03214384857304001,-0.0425059049198835,0.08548106850404359,0.5057995233554294,-0.052172318070708094,0.07945505419102203,-0.027074892876565244,0.012718963558879465,104729
recovered_vs_its_base,REC_base,REC_plus_recovered,offset_mae,0.041514600545241406,-0.05623679938893692,0.11617474945183062,0.1951609678064387,74,131,79,5000,-0.0024211140631293883,46,0.21374045801526717,0.043283296860344905,-0.044655824137682515,0.12768502522816533,0.3404535571132689,-0.046117021038454276,0.1231863789162595,-0.0005013256759256267,0.05136337378043915,104729
recovered_vs_its_base,REC_base,REC_plus_recovered,shape_mae,-0.0133038247936884,-0.030012047574757637,0.010290565138459606,0.8652269546090782,63,131,79,5000,-0.004424482734881438,42,0.21374045801526717,0.010070719308219631,-0.03335308680928275,0.00674543722190595,0.1903504122753898,-0.03313304868881016,0.005874525808339247,-0.0441309779476149,-0.07390790582577031,104729
indicators_on_vs_off,IND_none,IND_all,mae,0.07231890629946666,0.03194316786747626,0.10585422982956458,0.0003999200159968006,81,131,79,5000,0.06474401188132571,54,0.21374045801526717,0.018005424141394225,0.03647286042486071,0.10816495217407261,0.00013496096845622252,0.03597092264586985,0.10886861559578714,0.017045897714989287,0.03713261434608536,104729
indicators_on_vs_off,IND_none,IND_all,offset_mae,0.07674171109830939,0.03684242871872724,0.1138653098561618,0.0001999600079984003,79,131,79,5000,0.07350082780034448,53,0.21374045801526717,0.018454091413506547,0.04000243730014689,0.1134809848964719,8.157596785762242e-05,0.03907685465585121,0.1155976817672567,0.013034836136889385,0.01243059165652653,104729
indicators_on_vs_off,IND_none,IND_all,shape_mae,0.007355101968359261,-0.002853320677455614,0.014844100925563071,0.08358328334333133,65,131,79,5000,0.005187886561706649,43,0.21374045801526717,0.004558311296907069,-0.001719798715819394,0.016430002652537915,0.1106619325133174,-0.0011336672154950744,0.016284957440072557,0.05366759628332598,0.07295705320322231,104729
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,mae,0.044737461355246484,-0.06726752698317479,0.16858392152729607,0.1965606878624275,74,131,79,5000,0.018712693965127508,48,0.21374045801526717,0.055966423139744294,-0.06668312810438823,0.1561580508148812,0.4265078060651439,-0.07611025764422828,0.15564455022779808,-0.04814585694552706,-0.016540851798037742,104729
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,offset_mae,-0.011615889797311553,-0.14179331731048517,0.12162553623611377,0.5686862627474505,63,131,79,5000,-0.054026653263949516,39,0.21374045801526717,0.061791579495401296,-0.1346334747129758,0.1114016951183527,0.8513766069991887,-0.14491973597637886,0.11814841480095697,-0.02356448643428617,-0.0009307816284442524,104729
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,shape_mae,0.09215018236885887,0.04301548561436128,0.16018659321756903,0.0001999600079984003,82,131,79,5000,0.11685681584719919,59,0.21374045801526717,0.030472233953962986,0.03148462472146758,0.15281574001625015,0.0033751378397870713,0.0376113156204982,0.1530656758406861,-0.026573386823392654,-0.04954880002823387,104729
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,mae,0.07506585459890468,0.0033117174671495986,0.13522833699108366,0.01919616076784643,83,131,79,5000,0.05023391051725832,47,0.21374045801526717,0.0365124263456099,0.0023751976335444486,0.1477565115642649,0.04313786960728976,0.017787561994932092,0.15644019015736646,0.09438919327026575,0.1083819094130491,130363
