model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows,macro_mae_sd,macro_mae_min,macro_mae_max,offset_mae_sd,offset_mae_min,offset_mae_max,shape_mae_sd,shape_mae_min,shape_mae_max,n_seeds,suite
ORACLE_cell,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.0,0.0,0.0,408.6666666666667,0.0,0.0,0.0,1494.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,oracles
ORACLE_batch,0.35021931908097725,4.442716246752828e-17,0.3634308159676645,0.536381147868747,0.3634308159676645,0.5713767311230444,0.7711675438591001,5.845695831696751e-33,0.2921383896626785,0.8050082828998867,0.6144632210681663,0.7771781588681317,0.5656122967479674,0.8027820121951219,0.8450143937777499,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.3076368661925844,6.454719785949346e-17,0.3076368661925844,408.6666666666667,0.4215622934425726,5.629048865429798e-17,0.4283975597589618,1494.3333333333333,0.006736193065570784,0.34559335857402007,0.3579477092042347,3.646520614586714e-18,4.100674409299924e-17,4.826402776239317e-17,0.006282149610483241,0.35717331416760206,0.3697373266360162,3,oracles
ORACLE_level,0.49735807186418185,6.329430554353302e-17,0.5086473579264782,0.20727481931289274,0.5086473579264782,0.8125454025600859,0.6087276233322503,6.824045847736871e-33,0.40136167937835115,1.036895310349291,0.46875281494747106,0.6557522766153511,0.3981834349593496,0.6611407520325203,0.759211674377887,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.3761351301647004,9.874833069857377e-17,0.3761351301647004,408.6666666666667,0.5295848356865932,7.355950550661262e-17,0.5388073551370708,1494.3333333333333,0.0030426105359542144,0.49406376645529176,0.5000626472741794,2.7482562848866286e-18,6.164708120129126e-17,6.646693912412712e-17,0.0008935762613256416,0.5079123373114746,0.5096419942631356,3,oracles
ABL_minus_lig2d,0.9696254411264262,0.8142469979087027,0.49849220345978185,0.21059966572486177,0.9888092913638801,1.138555971034849,0.2703200170830813,0.4655067923217227,0.9155340622676164,1.9167703862948902,0.4805176383669773,0.6392595290906763,0.28398119918699183,0.5018419715447154,0.4900547771211099,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8444415186570908,0.7174179257196404,0.37816981891325163,408.6666666666667,1.053722499761519,0.8919675328120746,0.5169439319606364,1494.3333333333333,0.024047787840624984,0.9436430232036337,0.9911008453467566,0.030527253207996013,0.7885231796120739,0.8479805880532049,0.014253454193262785,0.4895706210538357,0.5149306814999483,3,ablations
REC_ecfp_plus_recovered,0.9807059571567519,0.82117153046591,0.5024541231074512,0.2023357258225238,0.9971829528549282,1.1589899640913768,0.23543114448609465,0.4840619582572788,0.9052439699304395,1.937511192553251,0.42714721058178107,0.6354975092350383,0.2839176829268293,0.4984756097560975,0.4762259383776505,5248.0,152.0,131.0,79.0,6.256051615740402,131.0,0.8578259069808618,0.72128469906543,0.3883979592655174,407.6,1.0807442162605763,0.9183398550246583,0.5371665414869108,1383.0,0.022326183687605514,0.9484962582691019,0.997252604577614,0.03316600978636245,0.7844620743662055,0.8569169661896682,0.008557620226316854,0.4938562815221469,0.5159591106212044,5,finalists
LP_everything,0.9909187720079684,0.8383898637981598,0.49695084652958016,0.2133907533468676,1.0125831932345306,1.1360939364550329,0.2721000720605307,0.46331807681655035,0.9114104668387801,1.9761199816392852,0.489439059503781,0.6432417523177879,0.27934451219512196,0.5078760162601627,0.501646346732192,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8882550648377011,0.7699324699961633,0.3661340332458025,408.6666666666667,1.0851829395418264,0.931136619825088,0.5134051738116302,1494.3333333333333,0.03809009293221584,0.965343506814879,1.0346948627351171,0.06245115494354388,0.8008442147787619,0.9104814461100306,0.009814125980383878,0.4910568508108329,0.5082801280640263,3,ligphys
MET_physical,0.9931608706754189,0.8365614796238464,0.5025519925874603,0.1748435772108575,1.0083156878212398,1.1377068557788592,0.2675802432469091,0.4430679658859627,0.9010653059499041,1.967453548774378,0.437995399143926,0.6278699100868218,0.2820757113821138,0.5013338414634146,0.5089272654616778,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8531536110073494,0.7357293595795656,0.38594221570985704,408.6666666666667,1.0935673560233834,0.9466372629397908,0.5232181564041686,1494.3333333333333,0.026603805716473174,0.9624528334093512,1.0092393298161528,0.03301892547902311,0.8029849956013542,0.8689930662360649,0.008749883284671257,0.49625448760929164,0.512543005725104,3,metal
MET_all,0.9946597269873981,0.8381060787952883,0.5035472957748475,0.17462315502542267,1.0112013356868341,1.140676525045678,0.2603949158028368,0.4467313853239978,0.9025861933106891,1.986865919980093,0.42696722933082804,0.6295185567834048,0.2839811991869919,0.5013973577235773,0.5117413996039569,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8388861145988035,0.71681727272152,0.38137945810762663,408.6666666666667,1.0973487290065653,0.9490370997316754,0.5219819720532085,1494.3333333333333,0.03339068097520036,0.9568696927938971,1.0201783807535416,0.03883971557842635,0.8010621993404033,0.8785217791045042,0.009461738400660894,0.49383308547560045,0.512734537441839,3,metal
ABL_minus_ligphys,0.9946889320247516,0.8422402756751234,0.5003895314679532,0.19757926669365902,1.0155108107335618,1.146412982694612,0.2570093673415174,0.4643568774199296,0.9069902332807361,1.984904010755938,0.47182700671661165,0.6331401712568829,0.28226626016260165,0.502858231707317,0.5014712936722748,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8892209310620979,0.7690031643727707,0.37768774085820334,408.6666666666667,1.0886258524499681,0.9356800351958668,0.5175831033920398,1494.3333333333333,0.03606580331072593,0.9694448742657357,1.0359953700727011,0.06044058428461834,0.7968558874912999,0.9108482318814884,0.009438408757170719,0.4925061420200079,0.5108483335238988,3,ablations
ABL_minus_donors,0.9958184411143837,0.8380082712628396,0.5024669788030522,0.20343755349623915,1.015971939290701,1.1386196683711127,0.2665240786163186,0.46054754285397276,0.8886066282794425,1.9861033038148577,0.4833860555905008,0.6381011149038708,0.2817581300813008,0.5070503048780487,0.4974897792519557,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8741878167835818,0.7528630939748564,0.3828266979478889,408.6666666666667,1.0951252884729197,0.9372337647892411,0.5196030682022631,1494.3333333333333,0.03342388788394336,0.9699016941213285,1.0335436866429604,0.05959206474768919,0.8001613541443534,0.9067004180644165,0.010580548586661867,0.49247562543180384,0.5135517976082894,3,ablations
