comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,split_seed
BEST_vs_gen6_reference,IND_all,REC_ecfp_plus_recovered,mae,0.07217227718640207,-0.015073455190214902,0.1441987316911816,0.0651869626074785,76,131,79,5000,0.035611765056355445,41,0.21374045801526717,0.04476161777210162,-0.016941258350455735,0.16128581272325987,0.11092063596939143,0.0017397921933321925,0.17130607947452797,0.07476712377922373,0.12219904172848918,104729
BEST_vs_gen6_reference,IND_all,REC_ecfp_plus_recovered,offset_mae,0.08057030539661304,-0.01749974116810463,0.16071022862161688,0.07198560287942411,79,131,79,5000,0.04043632890305932,43,0.21374045801526717,0.04989350262536499,-0.018760028057843242,0.17990063885106933,0.1103823733254706,-0.00020900044230792486,0.18501809304661654,0.08029831289205504,0.11507213357802322,104729
BEST_vs_gen6_reference,IND_all,REC_ecfp_plus_recovered,shape_mae,0.0025660676807276847,-0.0255802528577485,0.022626086333792508,0.4253149370125975,70,131,79,5000,-0.011769228369646069,36,0.21374045801526717,0.012331015775384684,-0.021983098931167632,0.027115234292623,0.8356943613670264,-0.02163452899888942,0.02505114683549324,0.016544501343174756,0.06728385922755419,104729
exploratory_vs_gen6_reference,IND_all,GEN7_everything_EXPLORATORY,mae,0.03831969484645863,-0.03455800619575597,0.1021986515238579,0.23995200959808038,78,131,79,5000,-0.011867084354427009,44,0.21374045801526717,0.039423899209185494,-0.040167259335275846,0.1168066490281931,0.3340594120787294,-0.019649544549679702,0.1300686199864798,0.1024493677275445,0.14349630748327247,104729
exploratory_vs_gen6_reference,IND_all,GEN7_everything_EXPLORATORY,offset_mae,0.04317994651275704,-0.03677854151824853,0.11020092878490717,0.19996000799840033,75,131,79,5000,-0.005359767124152662,42,0.21374045801526717,0.04110059629245355,-0.038645055142486756,0.12500494816800084,0.29669026658399894,-0.019218748232401276,0.13587639658857759,0.10043372051146988,0.1316494221852907,104729
exploratory_vs_gen6_reference,IND_all,GEN7_everything_EXPLORATORY,shape_mae,0.016043444909739805,0.0004111332179096192,0.02797770503113259,0.022595480903819236,79,131,79,5000,0.008656117549439166,44,0.21374045801526717,0.007116373556434293,0.0018758334743435648,0.030211056345136045,0.02697391268438672,0.0032466212523386325,0.029894190189267044,0.03560164077923748,0.08061633552616701,104729
SELECT_inner_vs_gen6_reference,IND_all,SELECT_inner,mae,0.0712191261084909,-0.00867778426722809,0.1356389902312564,0.04299140171965607,75,131,79,5000,0.06685983811571114,42,0.21374045801526717,0.038059222516635724,-0.004550965480005234,0.14698921769698703,0.065057225142737,0.004369762561014155,0.151042722418265,0.05316555488880454,0.07274316183653073,104729
SELECT_inner_vs_gen6_reference,IND_all,SELECT_inner,offset_mae,0.08252676040406791,-0.007531357112935939,0.1548242299800379,0.03699260147970406,76,131,79,5000,0.07616248354811288,44,0.21374045801526717,0.041831874833468986,-0.0007541049910413655,0.16580762579917718,0.05205929294784283,0.006287979214001315,0.16998341240793927,0.04914969544003147,0.06804910974103812,104729
SELECT_inner_vs_gen6_reference,IND_all,SELECT_inner,shape_mae,0.0035463625170691015,-0.022957703548436348,0.02420443857275292,0.3877224555088982,74,131,79,5000,-0.003653523572061552,43,0.21374045801526717,0.012305514299327415,-0.020952034555967232,0.028044759590105432,0.773963461205288,-0.021690236248971928,0.02490437509133373,-0.012032106029748954,0.03608844221066969,104729
BEST_vs_no_ligand,NULL_metal_cond,REC_ecfp_plus_recovered,mae,0.08361207682155224,-0.01885182153777424,0.19437824568325182,0.05378924215156969,75,131,79,5000,0.07159068575013737,50,0.21374045801526717,0.05192441554343983,-0.019761493662865143,0.18698564730596962,0.11137982620492755,-0.02863579999004616,0.18625682460218165,-0.04664018984972238,-0.015550275492197889,104729
