                       model      suite  macro_mae  macro_mae_sd  offset_mae  shape_mae  shape_r2  pooled_mae  nn_lt_0_4__macro_mae  n_seeds
                 ORACLE_cell    oracles     0.0000        0.0000      0.0000     0.0000    1.0000      0.0000                0.0000        3
                ORACLE_batch    oracles     0.3502        0.0067      0.0000     0.3634    0.5364      0.5714                0.3076        3
                ORACLE_level    oracles     0.4974        0.0030      0.0000     0.5086    0.2073      0.8125                0.3761        3
               LP_everything    ligphys     0.9909        0.0381      0.8384     0.4970    0.2134      1.1361                0.8883        3
                MET_physical      metal     0.9932        0.0266      0.8366     0.5026    0.1748      1.1377                0.8532        3
                     MET_all      metal     0.9947        0.0334      0.8381     0.5035    0.1746      1.1407                0.8389        3
     MET_continuous_physical      metal     0.9976        0.0337      0.8406     0.5045    0.1693      1.1406                0.8481        3
             LP_ecfp_ligphys    ligphys     0.9976        0.0285      0.8473     0.5042    0.1672      1.1387                0.8524        3
              MET_continuous      metal     0.9976        0.0295      0.8468     0.5045    0.1703      1.1431                0.8409        3
     TREE_MC_ecfp_massaction   learners     0.9976        0.0295      0.8468     0.5045    0.1703      1.1431                0.8409        3
              REAL_best_tree    oracles     0.9976        0.0295      0.8468     0.5045    0.1703      1.1431                0.8409        3
          REC_plus_recovered  recovered     1.0012        0.0312      0.8327     0.5073    0.1068      1.3202                0.9622        3
                     LP_ecfp    ligphys     1.0012        0.0281      0.8501     0.5058    0.1664      1.1529                0.8564        3
              TREE_MC_donors   learners     1.0069        0.0390      0.8553     0.4998    0.0578      1.1551                0.8515        3
    TREE_MC_all2d_massaction   learners     1.0074        0.0356      0.8570     0.5065    0.1769      1.1358                0.8748        3
                  MET_onehot      metal     1.0078        0.0342      0.8554     0.5167    0.1385      1.1691                0.8403        3
                    MET_none      metal     1.0198        0.0307      0.8631     0.5288    0.1075      1.1838                0.8387        3
           LP_donors_ligphys    ligphys     1.0342        0.0522      0.8642     0.5069    0.1290      1.1285                0.8793        3
                    REC_base  recovered     1.0359        0.0519      0.8874     0.4956    0.1061      1.2398                1.0195        3
 REC_plus_recovered_catboost  recovered     1.0433        0.0598      0.8953     0.5356    0.1306      1.2797                1.0342        3
                     IND_all indicators     1.0475        0.0206      0.8704     0.5095    0.1548      1.1320                0.9825        3
TREE_MC_lig2d_ext_massaction   learners     1.0475        0.0206      0.8704     0.5095    0.1548      1.1320                0.9825        3
 REC_champion_plus_recovered  recovered     1.0529        0.0455      0.8992     0.5054    0.1490      1.1879                1.1005        3
                   LP_donors    ligphys     1.0537        0.0427      0.8862     0.5093    0.1265      1.1420                0.8397        3
        IND_nomassaction_all indicators     1.0737        0.0194      0.8878     0.5219    0.1364      1.1415                1.0261        3
           LRN_catboost_rmse   learners     1.0771        0.0595      0.9423     0.4999    0.1460      1.1133                1.0948        3
              IND_nocond_all indicators     1.0779        0.0276      0.8938     0.5171    0.1278      1.1387                1.0357        3
                  LP_ligphys    ligphys     1.0846        0.0224      0.9368     0.5132    0.1051      1.1955                0.8982        3
                     TREE_MC   learners     1.0852        0.0091      0.9107     0.5499    0.0262      1.2794                0.8676        3
          LRN_lightgbm_huber   learners     1.0856        0.1097      0.9379     0.5030    0.1272      1.1014                1.1655        3
           IND_noligand_none indicators     1.0876        0.0142      0.9432     0.5267   -0.0121      1.3606                0.9829        3
             NULL_metal_cond   learners     1.0882        0.0123      0.8905     0.5614    0.0247      1.2693                0.9289        3
            LRN_randomforest   learners     1.0901        0.0309      0.9215     0.5146    0.1030      1.1252                1.0456        3
            IND_noligand_all indicators     1.0903        0.0062      0.9396     0.5322    0.0576      1.2687                0.8834        3
                     LP_base    ligphys     1.0903        0.0062      0.9396     0.5322    0.0576      1.2687                0.8834        3
             LRN_lightgbm_l1   learners     1.1020        0.0535      0.9380     0.5214    0.1090      1.1302                1.1281        3
              LRN_extratrees   learners     1.1089        0.0286      0.9446     0.5158    0.1168      1.1874                1.1301        3
                    IND_none indicators     1.1089        0.0286      0.9446     0.5158    0.1168      1.1874                1.1301        3
                REC_champion  recovered     1.1089        0.0286      0.9446     0.5158    0.1168      1.1874                1.1301        3
                 LRN_hgb_mae   learners     1.1175        0.0475      0.9674     0.5143    0.0997      1.1722                1.1168        3
             LRN_xgboost_mae   learners     1.1199        0.0239      0.9476     0.5426    0.0396      1.1343                1.0349        3
                  LRN_hgb_l2   learners     1.1386        0.0676      1.0103     0.5193   -0.0212      1.2253                1.0458        3
            LRN_catboost_mae   learners     1.1393        0.0444      0.9671     0.5271    0.1313      1.1388                1.2504        3
         LRN_kernelridge_rbf   learners     1.2684        0.0231      1.0809     0.5980    0.0204      1.3993                1.3666        3
                     LRN_mlp   learners     1.3599        0.0157      1.2083     0.5439    0.0119      1.2508                1.4191        3
                   LRN_ridge   learners     1.4563        0.0549      1.2591     0.6100    0.0342      1.4086                1.4185        3
              LRN_elasticnet   learners     1.5125        0.0610      1.3144     0.6429    0.0342      1.3453                1.6410        3
            NULL_global_mean   learners     1.5525        0.0742      1.3898     0.6028    0.0000      1.6265                1.7893        3

cohort fingerprint bed178ec1a7a82b0; 48 models
artifacts -> /Users/lilshadix/PycharmProjects/ml_separator/runs/gen7_architecture/leaderboard_all.csv
