          model  k  zero_shot  offset_only  no_model   affine  n_ligands
NULL_metal_cond  0   1.040180          NaN       NaN      NaN        143
NULL_metal_cond  1   1.038725     0.814956  0.865014      NaN        143
NULL_metal_cond  2   1.038273     0.698286  0.753786 4.258247        143
NULL_metal_cond  3   1.036379     0.664313  0.714835 0.856619        143
NULL_metal_cond  5   1.069313     0.663764  0.708961 0.606900        132
NULL_metal_cond  8   1.118113     0.666901  0.751288 0.541648         99
 REAL_best_tree  0   1.019605          NaN       NaN      NaN        143
 REAL_best_tree  1   1.018688     0.729969  0.860095      NaN        143
 REAL_best_tree  2   1.017217     0.635637  0.754392 5.393183        143
 REAL_best_tree  3   1.016781     0.599522  0.711905 1.204039        143
 REAL_best_tree  5   1.038695     0.592808  0.711189 0.543796        132
 REAL_best_tree  8   1.074243     0.623103  0.753809 0.509916         99

artifacts -> runs/gen7_architecture/kshot_early
