                    comparison  statistic   point  ci_low  ci_high  bca_low  bca_high  block_macro  units_improved  units_total  seeds_positive  n
        BEST_vs_gen6_reference        mae  0.0661 -0.0243   0.1436  -0.0111    0.1646       0.0498            71.8        131.0               5  5
        BEST_vs_gen6_reference offset_mae  0.0667 -0.0328   0.1501  -0.0194    0.1682       0.0526            70.6        131.0               5  5
             BEST_vs_no_ligand        mae  0.1188  0.0184   0.2200   0.0156    0.2180       0.0944            73.2        131.0               5  5
             BEST_vs_no_ligand offset_mae  0.0951 -0.0231   0.2059  -0.0225    0.2066       0.0579            68.2        131.0               5  5
          PADRE_vs_its_control        mae  0.0295 -0.0449   0.0953  -0.0378    0.1035       0.0240            70.4        131.0               3  5
          PADRE_vs_its_control offset_mae  0.0296 -0.0551   0.1069  -0.0503    0.1110       0.0353            68.0        131.0               3  5
SELECT_inner_vs_gen6_reference        mae  0.0271 -0.0491   0.0992  -0.0462    0.1077       0.0277            62.2        131.0               4  5
SELECT_inner_vs_gen6_reference offset_mae  0.0250 -0.0611   0.1057  -0.0591    0.1129       0.0281            61.8        131.0               4  5
        deconfound_vs_its_base        mae -0.0573 -0.1328   0.0032  -0.1225    0.0179      -0.0967            57.8        131.0               0  5
        deconfound_vs_its_base offset_mae -0.0754 -0.1658  -0.0040  -0.1531    0.0125      -0.1231            55.6        131.0               0  5
 exploratory_vs_gen6_reference        mae  0.0472 -0.0239   0.1080  -0.0113    0.1287       0.0142            76.6        131.0               5  5
 exploratory_vs_gen6_reference offset_mae  0.0484 -0.0322   0.1137  -0.0184    0.1313       0.0173            73.0        131.0               5  5
   gen6_reference_vs_no_ligand        mae  0.0527 -0.0629   0.1946  -0.0745    0.1799       0.0446            68.6        131.0               5  5
   gen6_reference_vs_no_ligand offset_mae  0.0284 -0.0964   0.1790  -0.1011    0.1719       0.0053            60.4        131.0               4  5
          indicators_on_vs_off        mae  0.0673  0.0323   0.0974   0.0334    0.0988       0.0641            81.4        131.0               5  5
          indicators_on_vs_off offset_mae  0.0742  0.0355   0.1069   0.0367    0.1080       0.0698            81.2        131.0               5  5
          network_vs_no_ligand        mae -0.0334 -0.1833   0.1152  -0.1888    0.1091      -0.0555            59.8        131.0               1  5
          network_vs_no_ligand offset_mae -0.0730 -0.2402   0.0869  -0.2393    0.0865      -0.1000            55.0        131.0               1  5
