species,file,charge,uhf,mode,n_atoms,est_minutes
lig_069,ligands/lig_069.xyz,0,0,opt,169,6.983471074380167
lig_022,ligands/lig_022.xyz,0,0,opt,169,6.983471074380167
lig_038,ligands/lig_038.xyz,0,0,opt,168,6.901070957015013
lig_037,ligands/lig_037.xyz,0,0,opt,161,6.337962736564134
lig_047,ligands/lig_047.xyz,0,0,opt,155,5.874370384859896
lig_062,ligands/lig_062.xyz,0,0,opt,149,5.4283828060051835
lig_082,ligands/lig_082.xyz,0,0,opt,149,5.4283828060051835
lig_085,ligands/lig_085.xyz,0,0,opt,147,5.2836324514646185
lig_046,ligands/lig_046.xyz,0,0,opt,146,5.211990806396401
lig_083,ligands/lig_083.xyz,0,0,opt,146,5.211990806396401
lig_088,ligands/lig_088.xyz,0,0,opt,144,5.070174580664092
lig_087,ligands/lig_087.xyz,0,0,opt,144,5.070174580664092
lig_084,ligands/lig_084.xyz,0,0,opt,143,5.0
lig_043,ligands/lig_043.xyz,0,0,opt,143,5.0
lig_086,ligands/lig_086.xyz,0,0,opt,141,4.861117903075946
lig_020,ligands/lig_020.xyz,0,0,opt,138,4.656462418700181
lig_056,ligands/lig_056.xyz,0,0,opt,138,4.656462418700181
lig_063,ligands/lig_063.xyz,0,0,opt,137,4.589221966844344
lig_045,ligands/lig_045.xyz,0,0,opt,137,4.589221966844344
lig_036,ligands/lig_036.xyz,0,0,opt,137,4.589221966844344
lig_034,ligands/lig_034.xyz,0,0,opt,137,4.589221966844344
lig_042,ligands/lig_042.xyz,0,0,opt,133,4.3251503741014234
lig_095,ligands/lig_095.xyz,0,0,opt,131,4.196048706538217
lig_064,ligands/lig_064.xyz,0,0,opt,126,3.881852413320945
lig_100,ligands/lig_100.xyz,0,0,opt,126,3.881852413320945
lig_097,ligands/lig_097.xyz,0,0,opt,126,3.881852413320945
lig_070,ligands/lig_070.xyz,0,0,opt,124,3.7595970463103323
lig_075,ligands/lig_075.xyz,0,0,opt,123,3.6992028950070903
lig_093,ligands/lig_093.xyz,0,0,opt,122,3.639297765171891
lig_089,ligands/lig_089.xyz,0,0,opt,120,3.520954569905619
lig_107,ligands/lig_107.xyz,0,0,opt,120,3.520954569905619
lig_092,ligands/lig_092.xyz,0,0,opt,119,3.4625165044745465
lig_068,ligands/lig_068.xyz,0,0,opt,119,3.4625165044745465
lig_060,ligands/lig_060.xyz,0,0,opt,119,3.4625165044745465
lig_065,ligands/lig_065.xyz,0,0,opt,119,3.4625165044745465
lig_021,ligands/lig_021.xyz,0,0,opt,119,3.4625165044745465
lig_094,ligands/lig_094.xyz,0,0,opt,119,3.4625165044745465
lig_025,ligands/lig_025.xyz,0,0,opt,118,3.4045674605115166
lig_028,ligands/lig_028.xyz,0,0,opt,117,3.3471074380165295
lig_066,ligands/lig_066.xyz,0,0,opt,117,3.3471074380165295
lig_076,ligands/lig_076.xyz,0,0,opt,116,3.2901364369895836
lig_120,ligands/lig_120.xyz,0,0,opt,115,3.233654457430681
lig_035,ligands/lig_035.xyz,0,0,opt,114,3.177661499339821
lig_071,ligands/lig_071.xyz,0,0,opt,114,3.177661499339821
lig_078,ligands/lig_078.xyz,0,0,opt,113,3.1221575627170033
lig_033,ligands/lig_033.xyz,0,0,opt,113,3.1221575627170033
lig_044,ligands/lig_044.xyz,0,0,opt,113,3.1221575627170033
lig_111,ligands/lig_111.xyz,0,0,opt,113,3.1221575627170033
lig_096,ligands/lig_096.xyz,0,0,opt,113,3.1221575627170033
lig_099,ligands/lig_099.xyz,0,0,opt,113,3.1221575627170033
lig_058,ligands/lig_058.xyz,0,0,opt,113,3.1221575627170033
lig_023,ligands/lig_023.xyz,0,0,opt,113,3.1221575627170033
lig_122,ligands/lig_122.xyz,0,0,opt,110,2.9585798816568047
lig_067,ligands/lig_067.xyz,0,0,opt,109,2.905032030906156
lig_110,ligands/lig_110.xyz,0,0,opt,109,2.905032030906156
lig_053,ligands/lig_053.xyz,0,0,opt,108,2.851973201623551
lig_009,ligands/lig_009.xyz,0,0,opt,108,2.851973201623551
lig_027,ligands/lig_027.xyz,0,0,opt,107,2.799403393808988
lig_032,ligands/lig_032.xyz,0,0,opt,107,2.799403393808988
lig_029,ligands/lig_029.xyz,0,0,opt,106,2.7473226074624675
lig_129,ligands/lig_129.xyz,0,0,opt,104,2.644628099173554
lig_003,ligands/lig_003.xyz,0,0,opt,102,2.5438896767568098
lig_055,ligands/lig_055.xyz,0,0,opt,102,2.5438896767568098
lig_031,ligands/lig_031.xyz,0,0,opt,101,2.494253997750501
lig_130,ligands/lig_130.xyz,0,0,opt,98,2.3482810895398307
lig_040,ligands/lig_040.xyz,0,0,opt,97,2.3006014964056924
lig_121,ligands/lig_121.xyz,0,0,opt,96,2.253410924739596
lig_132,ligands/lig_132.xyz,0,0,opt,96,2.253410924739596
lig_007,ligands/lig_007.xyz,0,0,opt,95,2.2067093745415427
lig_131,ligands/lig_131.xyz,0,0,opt,95,2.2067093745415427
lig_030,ligands/lig_030.xyz,0,0,opt,95,2.2067093745415427
lig_104,ligands/lig_104.xyz,0,0,opt,94,2.160496845811531
lig_124,ligands/lig_124.xyz,0,0,opt,94,2.160496845811531
lig_054,ligands/lig_054.xyz,0,0,opt,92,2.0695388527556355
lig_050,ligands/lig_050.xyz,0,0,opt,92,2.0695388527556355
lig_073,ligands/lig_073.xyz,0,0,opt,91,2.024793388429752
lig_091,ligands/lig_091.xyz,0,0,opt,90,1.9805369455719108
